id,action_id,action_type,cluster_name,agent_name,status,progress_percentage,steps,metadata,started_at,completed_at,created_at,updated_at
13,act-db25e8b1,scale_deployment,prod-use2-eks,worker-staging-use2-eks-01,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""orders-api-7f89525-97cdd"",""namespace"":""orders"",""reason"":""memory_leak""}",2026-06-07 14:08:11,2026-06-07 14:20:11,2026-06-07 14:08:11,2026-06-23 12:00:00
14,act-c4ecca6a,rollback_deploy,prod-usw2-eks,worker-dr-use1-eks-03,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""session-store-d825e25-14f9f"",""namespace"":""identity"",""reason"":""disk_pressure""}",2026-06-14 15:54:44,2026-06-14 15:57:44,2026-06-14 15:54:44,2026-06-23 12:00:00
15,act-561485e4,drain_node,prod-use2-eks,worker-prod-use2-eks-04,failed,54,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""inventory-svc-df6d343-0a45b"",""namespace"":""inventory"",""reason"":""healthy""}",2026-05-29 06:48:42,,2026-05-29 06:48:42,2026-06-23 12:00:00
16,act-8ed6d524,drain_node,dr-use1-eks,worker-prod-use2-eks-04,running,26,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-4263246-52f3a"",""namespace"":""checkout"",""reason"":""memory_leak""}",2026-06-18 06:50:56,,2026-06-18 06:50:56,2026-06-23 12:00:00
17,act-af6c3777,increase_memory_limit,prod-usw2-eks,cluster_manager-prod-usw2-eks-01,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""auth-gateway-fb1c283-81cc8"",""namespace"":""identity"",""reason"":""healthy""}",2026-06-16 16:28:55,2026-06-16 16:29:55,2026-06-16 16:28:55,2026-06-23 12:00:00
18,act-73c47f79,rollback_deploy,staging-use2-eks,worker-dr-use1-eks-04,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""notifications-26e9347-44fc8"",""namespace"":""notifications"",""reason"":""healthy""}",2026-06-19 03:49:22,2026-06-19 03:59:22,2026-06-19 03:49:22,2026-06-23 12:00:00
19,act-bea07232,rollback_deploy,prod-usw2-eks,worker-staging-use2-eks-05,failed,53,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""recommendation-87e3198-026ea"",""namespace"":""search"",""reason"":""healthy""}",2026-05-31 12:21:12,,2026-05-31 12:21:12,2026-06-23 12:00:00
20,act-63099ce7,restart_pod,prod-usw2-eks,worker-prod-use2-eks-04,failed,87,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""cart-svc-882ca58-64a75"",""namespace"":""checkout"",""reason"":""disk_pressure""}",2026-06-10 18:49:58,,2026-06-10 18:49:58,2026-06-23 12:00:00
21,act-94d80e79,scale_deployment,prod-use2-eks,worker-staging-use2-eks-01,failed,25,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""auth-gateway-bf1d422-2018d"",""namespace"":""identity"",""reason"":""healthy""}",2026-05-27 01:28:14,,2026-05-27 01:28:14,2026-06-23 12:00:00
22,act-9e33ce4d,drain_node,prod-usw2-eks,worker-prod-usw2-eks-03,failed,52,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""auth-gateway-fb1c283-81cc8"",""namespace"":""identity"",""reason"":""healthy""}",2026-06-17 15:59:12,,2026-06-17 15:59:12,2026-06-23 12:00:00
23,act-a4e6cdbb,rollback_deploy,prod-usw2-eks,worker-prod-use2-eks-00,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""coredns-4a8b365-1d9fc"",""namespace"":""kube-system"",""reason"":""network_latency""}",2026-06-19 16:15:37,,2026-06-19 16:15:37,2026-06-23 12:00:00
24,act-54c1f117,drain_node,dr-use1-eks,worker-staging-use2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""orders-worker-f884840-8265c"",""namespace"":""orders"",""reason"":""healthy""}",2026-06-02 08:55:59,2026-06-02 09:02:59,2026-06-02 08:55:59,2026-06-23 12:00:00
25,act-a3ae5cc2,drain_node,prod-usw2-eks,worker-prod-use2-eks-05,failed,29,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-c2b3638-fa6d0"",""namespace"":""checkout"",""reason"":""healthy""}",2026-06-14 02:43:10,,2026-06-14 02:43:10,2026-06-23 12:00:00
26,act-3d960712,rollback_deploy,prod-use2-eks,strategist-prod-usw2-eks-00,running,90,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""orders-api-bfb2f93-32ad3"",""namespace"":""orders"",""reason"":""memory_leak""}",2026-06-07 09:25:05,,2026-06-07 09:25:05,2026-06-23 12:00:00
27,act-0556a2f1,restart_pod,staging-use2-eks,worker-prod-use2-eks-00,failed,56,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-aca9086-f5fe6"",""namespace"":""checkout"",""reason"":""node_pressure""}",2026-06-01 23:13:22,,2026-06-01 23:13:22,2026-06-23 12:00:00
28,act-158bc1c2,rollback_deploy,prod-use2-eks,worker-dr-use1-eks-01,failed,87,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""config-svc-027a395-39a4d"",""namespace"":""platform"",""reason"":""cpu_throttle""}",2026-06-12 04:03:29,,2026-06-12 04:03:29,2026-06-23 12:00:00
29,act-bbfe3a55,scale_deployment,prod-usw2-eks,cluster_manager-staging-use2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""config-svc-370d832-a686a"",""namespace"":""platform"",""reason"":""healthy""}",2026-05-31 01:46:30,2026-05-31 01:57:30,2026-05-31 01:46:30,2026-06-23 12:00:00
30,act-e629957c,drain_node,prod-usw2-eks,cluster_manager-prod-usw2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""recommendation-87e3198-026ea"",""namespace"":""search"",""reason"":""healthy""}",2026-06-18 06:51:44,2026-06-18 06:57:44,2026-06-18 06:51:44,2026-06-23 12:00:00
31,act-28cf16ad,increase_memory_limit,prod-usw2-eks,worker-prod-usw2-eks-04,failed,52,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""payments-worker-b4be648-d2dcb"",""namespace"":""payments"",""reason"":""healthy""}",2026-05-27 08:09:17,,2026-05-27 08:09:17,2026-06-23 12:00:00
32,act-321e48e7,cordon_node,prod-usw2-eks,worker-dr-use1-eks-05,failed,38,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""payments-api-1e23165-1e35b"",""namespace"":""payments"",""reason"":""memory_leak""}",2026-06-05 22:46:23,,2026-06-05 22:46:23,2026-06-23 12:00:00
33,act-7ae77622,rollback_deploy,prod-usw2-eks,worker-prod-use2-eks-05,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""recommendation-87e3198-026ea"",""namespace"":""search"",""reason"":""healthy""}",2026-06-07 05:23:44,2026-06-07 05:29:44,2026-06-07 05:23:44,2026-06-23 12:00:00
34,act-5f8ee96a,restart_pod,prod-use2-eks,cluster_manager-prod-usw2-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""payments-worker-7a57672-86691"",""namespace"":""payments"",""reason"":""healthy""}",2026-06-09 09:04:00,,2026-06-09 09:04:00,2026-06-23 12:00:00
35,act-3d20840a,scale_deployment,prod-usw2-eks,worker-staging-use2-eks-04,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""orders-worker-0696c96-a62c8"",""namespace"":""orders"",""reason"":""healthy""}",2026-05-27 23:26:33,2026-05-27 23:32:33,2026-05-27 23:26:33,2026-06-23 12:00:00
36,act-8a5615e7,cordon_node,prod-usw2-eks,worker-prod-use2-eks-02,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""search-api-a47d446-4ffe2"",""namespace"":""search"",""reason"":""disk_pressure""}",2026-06-09 07:19:13,2026-06-09 07:25:13,2026-06-09 07:19:13,2026-06-23 12:00:00
37,act-7a55b495,drain_node,dr-use1-eks,worker-prod-usw2-eks-01,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""inventory-svc-4ccbe67-9cbde"",""namespace"":""inventory"",""reason"":""healthy""}",2026-06-04 02:22:15,2026-06-04 02:32:15,2026-06-04 02:22:15,2026-06-23 12:00:00
38,act-447aa2f6,restart_pod,staging-use2-eks,worker-dr-use1-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""checkout-web-aca9086-f5fe6"",""namespace"":""checkout"",""reason"":""node_pressure""}",2026-06-13 07:02:43,2026-06-13 07:05:43,2026-06-13 07:02:43,2026-06-23 12:00:00
39,act-19f72c91,increase_memory_limit,prod-usw2-eks,cluster_manager-dr-use1-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-ec64e26-f37ce"",""namespace"":""checkout"",""reason"":""healthy""}",2026-05-26 13:46:48,,2026-05-26 13:46:48,2026-06-23 12:00:00
40,act-1b4ea09a,restart_pod,prod-use2-eks,worker-dr-use1-eks-03,failed,89,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""orders-api-bfb2f93-32ad3"",""namespace"":""orders"",""reason"":""memory_leak""}",2026-06-07 13:55:23,,2026-06-07 13:55:23,2026-06-23 12:00:00
41,act-61f892ce,rollback_deploy,prod-usw2-eks,worker-prod-usw2-eks-05,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""orders-api-21c5d48-15186"",""namespace"":""orders"",""reason"":""oom_crashloop""}",2026-05-26 14:07:12,,2026-05-26 14:07:12,2026-06-23 12:00:00
42,act-ad5dc645,drain_node,prod-usw2-eks,worker-dr-use1-eks-04,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""checkout-web-c2b3638-fa6d0"",""namespace"":""checkout"",""reason"":""healthy""}",2026-06-10 04:12:00,2026-06-10 04:25:00,2026-06-10 04:12:00,2026-06-23 12:00:00
43,act-8e9fce4d,scale_deployment,dr-use1-eks,worker-staging-use2-eks-03,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""search-api-be84964-d972c"",""namespace"":""search"",""reason"":""disk_pressure""}",2026-06-08 11:16:05,2026-06-08 11:26:05,2026-06-08 11:16:05,2026-06-23 12:00:00
44,act-3c593f6d,rollback_deploy,staging-use2-eks,worker-prod-usw2-eks-03,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""search-api-8ca0b98-505ff"",""namespace"":""search"",""reason"":""healthy""}",2026-06-05 09:08:41,2026-06-05 09:10:41,2026-06-05 09:08:41,2026-06-23 12:00:00
45,act-37c6f829,cordon_node,staging-use2-eks,cluster_manager-prod-usw2-eks-00,failed,12,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""auth-gateway-41b4f33-14ef9"",""namespace"":""identity"",""reason"":""healthy""}",2026-06-10 13:18:03,,2026-06-10 13:18:03,2026-06-23 12:00:00
46,act-70f46d9b,restart_pod,prod-usw2-eks,worker-dr-use1-eks-05,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-2e5d994-d724e"",""namespace"":""checkout"",""reason"":""healthy""}",2026-06-10 05:43:04,,2026-06-10 05:43:04,2026-06-23 12:00:00
47,act-7e58ae30,restart_pod,prod-usw2-eks,worker-prod-use2-eks-05,running,28,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""orders-api-21c5d48-15186"",""namespace"":""orders"",""reason"":""oom_crashloop""}",2026-06-22 17:01:14,,2026-06-22 17:01:14,2026-06-23 12:00:00
48,act-416b7cba,cordon_node,prod-use2-eks,worker-prod-usw2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""indexer-b07f520-eaf04"",""namespace"":""search"",""reason"":""healthy""}",2026-05-25 01:21:52,2026-05-25 01:34:52,2026-05-25 01:21:52,2026-06-23 12:00:00
49,act-689efd0d,restart_pod,prod-usw2-eks,cluster_manager-prod-use2-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-ec64e26-f37ce"",""namespace"":""checkout"",""reason"":""healthy""}",2026-05-24 16:39:49,,2026-05-24 16:39:49,2026-06-23 12:00:00
50,act-b224e0e9,rollback_deploy,prod-usw2-eks,worker-prod-usw2-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""payments-api-1e23165-1e35b"",""namespace"":""payments"",""reason"":""memory_leak""}",2026-06-14 00:06:54,,2026-06-14 00:06:54,2026-06-23 12:00:00
51,act-f03b019a,increase_memory_limit,prod-usw2-eks,worker-staging-use2-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""ledger-svc-842cd31-95bfa"",""namespace"":""ledger"",""reason"":""disk_pressure""}",2026-06-14 18:46:24,,2026-06-14 18:46:24,2026-06-23 12:00:00
52,act-5f29ddd7,cordon_node,staging-use2-eks,worker-staging-use2-eks-00,running,40,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""payments-api-2729261-453da"",""namespace"":""payments"",""reason"":""disk_pressure""}",2026-06-20 15:30:31,,2026-06-20 15:30:31,2026-06-23 12:00:00
53,act-f86f6308,restart_pod,prod-use2-eks,worker-prod-use2-eks-05,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""search-api-61d1d17-0014f"",""namespace"":""search"",""reason"":""healthy""}",2026-06-07 22:37:50,2026-06-07 22:56:50,2026-06-07 22:37:50,2026-06-23 12:00:00
54,act-6361c516,scale_deployment,dr-use1-eks,worker-staging-use2-eks-03,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""inventory-svc-4ccbe67-9cbde"",""namespace"":""inventory"",""reason"":""healthy""}",2026-06-11 19:25:55,2026-06-11 19:39:55,2026-06-11 19:25:55,2026-06-23 12:00:00
55,act-8ac6bc26,increase_memory_limit,prod-usw2-eks,worker-staging-use2-eks-05,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""orders-worker-b907131-2627d"",""namespace"":""orders"",""reason"":""disk_pressure""}",2026-06-19 12:17:54,2026-06-19 12:34:54,2026-06-19 12:17:54,2026-06-23 12:00:00
56,act-d226c96f,restart_pod,prod-usw2-eks,worker-prod-usw2-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""auth-gateway-d4d3364-aac01"",""namespace"":""identity"",""reason"":""healthy""}",2026-05-31 18:35:09,,2026-05-31 18:35:09,2026-06-23 12:00:00
57,act-1ee3349f,rollback_deploy,prod-use2-eks,cluster_manager-dr-use1-eks-01,running,33,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""recommendation-c460126-52814"",""namespace"":""search"",""reason"":""healthy""}",2026-06-01 03:59:39,,2026-06-01 03:59:39,2026-06-23 12:00:00
58,act-997e92df,increase_memory_limit,prod-use2-eks,strategist-prod-use2-eks-00,running,23,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""notifications-c882a21-88bb7"",""namespace"":""notifications"",""reason"":""healthy""}",2026-06-07 18:22:07,,2026-06-07 18:22:07,2026-06-23 12:00:00
59,act-79f12c78,rollback_deploy,prod-use2-eks,strategist-staging-use2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""notifications-1938743-28dca"",""namespace"":""notifications"",""reason"":""cpu_throttle""}",2026-05-30 04:36:28,2026-05-30 04:46:28,2026-05-30 04:36:28,2026-06-23 12:00:00
60,act-687e5127,drain_node,prod-use2-eks,strategist-staging-use2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""orders-worker-9681c18-374c7"",""namespace"":""orders"",""reason"":""healthy""}",2026-06-08 19:12:39,2026-06-08 19:21:39,2026-06-08 19:12:39,2026-06-23 12:00:00
61,act-9d1f1f89,increase_memory_limit,dr-use1-eks,cluster_manager-prod-use2-eks-01,failed,63,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-6e9e217-a5c79"",""namespace"":""checkout"",""reason"":""memory_leak""}",2026-05-27 02:11:00,,2026-05-27 02:11:00,2026-06-23 12:00:00
62,act-11724c28,restart_pod,prod-usw2-eks,worker-prod-usw2-eks-03,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""auth-gateway-fb1c283-81cc8"",""namespace"":""identity"",""reason"":""healthy""}",2026-06-11 20:21:51,2026-06-11 20:26:51,2026-06-11 20:21:51,2026-06-23 12:00:00
63,act-80a855c3,drain_node,staging-use2-eks,worker-staging-use2-eks-00,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""checkout-web-2b77739-52fdd"",""namespace"":""checkout"",""reason"":""node_pressure""}",2026-06-01 22:10:28,2026-06-01 22:21:28,2026-06-01 22:10:28,2026-06-23 12:00:00
64,act-83b9b4d8,scale_deployment,prod-usw2-eks,worker-dr-use1-eks-02,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""coredns-4a8b365-1d9fc"",""namespace"":""kube-system"",""reason"":""network_latency""}",2026-06-14 13:50:29,,2026-06-14 13:50:29,2026-06-23 12:00:00
65,act-c83b762a,increase_memory_limit,prod-use2-eks,worker-prod-usw2-eks-05,running,24,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""orders-worker-06e2683-7270e"",""namespace"":""orders"",""reason"":""healthy""}",2026-05-25 09:00:49,,2026-05-25 09:00:49,2026-06-23 12:00:00
66,act-18bcd683,scale_deployment,prod-use2-eks,worker-staging-use2-eks-05,failed,72,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""config-svc-ddd1723-06ca5"",""namespace"":""platform"",""reason"":""healthy""}",2026-06-05 06:35:54,,2026-06-05 06:35:54,2026-06-23 12:00:00
