edge_id,dag_id,from_node_id,to_node_id,edge_type,condition_expression,condition_met,created_at,activated_at,data_transferred,transfer_size_bytes,metadata
edge-30fdcaeb-961,dag-2b2ee456-36d,node-dbabeebc-4b6,node-fcf10253-c63,CONDITIONAL,action_required==true,true,2026-06-06 06:37:07,2026-06-06 06:37:07,"{""bytes"":4081}",3128,"{""hop"":0}"
edge-17783ef3-8b4,dag-2b2ee456-36d,node-fcf10253-c63,node-0bc664af-48e,DATA_FLOW,sop_matched,true,2026-06-03 17:42:34,2026-06-03 17:42:34,"{""bytes"":2521}",2898,"{""hop"":1}"
edge-f3a7cf13-39b,dag-2b2ee456-36d,node-0bc664af-48e,node-60738a1f-ad4,DATA_FLOW,,false,2026-06-04 20:29:38,2026-06-04 20:29:38,"{""bytes"":612}",4376,"{""hop"":2}"
edge-f4c00dfe-3c6,dag-2b2ee456-36d,node-60738a1f-ad4,node-e7b170e7-8d9,DATA_FLOW,risk>0.65,true,2026-05-30 02:40:38,2026-05-30 02:40:38,"{""bytes"":3384}",3251,"{""hop"":3}"
edge-5b12bf9a-e0a,dag-2e9062a6-45f,node-52ef2440-055,node-28acdd51-5d5,CONTROL,sop_matched,true,2026-06-10 13:15:48,2026-06-10 13:15:48,"{""bytes"":1749}",2040,"{""hop"":0}"
edge-b67068fc-caa,dag-2e9062a6-45f,node-28acdd51-5d5,node-5942915c-d59,CONTROL,risk>0.65,true,2026-06-05 16:40:59,2026-06-05 16:40:59,"{""bytes"":3588}",1453,"{""hop"":1}"
edge-629c10d8-b7a,dag-2e9062a6-45f,node-5942915c-d59,node-b70b8953-cbb,CONTROL,risk>0.65,true,2026-05-27 20:18:41,2026-05-27 20:18:41,"{""bytes"":3631}",1352,"{""hop"":2}"
edge-647723e1-3a7,dag-b6f74bb0-4bd,node-29cf087b-059,node-0e729a3f-890,CONDITIONAL,action_required==true,true,2026-06-20 10:10:15,2026-06-20 10:10:15,"{""bytes"":302}",1573,"{""hop"":0}"
edge-49d545d8-737,dag-b6f74bb0-4bd,node-0e729a3f-890,node-64a744ff-eec,CONTROL,action_required==true,false,2026-06-09 21:05:02,2026-06-09 21:05:02,"{""bytes"":1732}",4730,"{""hop"":1}"
edge-00adcb7a-70d,dag-b6f74bb0-4bd,node-64a744ff-eec,node-38dd1a44-bbc,DATA_FLOW,,false,2026-06-10 18:33:47,2026-06-10 18:33:47,"{""bytes"":63}",263,"{""hop"":2}"
edge-7a4bb4ed-aab,dag-ad0612de-9e4,node-6373b8a3-bc6,node-a6bb4ce3-bb2,CONTROL,action_required==true,true,2026-06-04 16:47:55,2026-06-04 16:47:55,"{""bytes"":4702}",4815,"{""hop"":0}"
edge-d08eea64-6ec,dag-ad0612de-9e4,node-a6bb4ce3-bb2,node-a32a036b-06e,DATA_FLOW,,true,2026-06-01 12:11:57,2026-06-01 12:11:57,"{""bytes"":1287}",1259,"{""hop"":1}"
edge-4dcabdec-048,dag-ad0612de-9e4,node-a32a036b-06e,node-31e5eda3-165,CONTROL,action_required==true,true,2026-06-11 16:23:20,2026-06-11 16:23:20,"{""bytes"":4183}",2317,"{""hop"":2}"
edge-eb78040b-276,dag-29d291d3-a5d,node-132c585b-4a1,node-b444ad11-8f9,DATA_FLOW,,false,2026-06-04 16:17:27,2026-06-04 16:17:27,"{""bytes"":1034}",2632,"{""hop"":0}"
edge-e95978ea-fbb,dag-29d291d3-a5d,node-b444ad11-8f9,node-f8344b5f-b58,DATA_FLOW,,true,2026-06-18 00:19:50,2026-06-18 00:19:50,"{""bytes"":4954}",3034,"{""hop"":1}"
edge-3bff9750-862,dag-29d291d3-a5d,node-f8344b5f-b58,node-fdef43d0-5ff,CONDITIONAL,action_required==true,true,2026-06-16 23:57:37,2026-06-16 23:57:37,"{""bytes"":2392}",80,"{""hop"":2}"
edge-c627bbe2-27b,dag-29d291d3-a5d,node-fdef43d0-5ff,node-399ae34a-d8f,DATA_FLOW,action_required==true,true,2026-05-30 16:40:49,2026-05-30 16:40:49,"{""bytes"":789}",126,"{""hop"":3}"
edge-a7a8bdea-0dc,dag-29d291d3-a5d,node-399ae34a-d8f,node-f30bd694-004,CONTROL,sop_matched,true,2026-05-31 00:42:34,2026-05-31 00:42:34,"{""bytes"":2528}",1594,"{""hop"":4}"
edge-0aa7fcd3-a06,dag-29d291d3-a5d,node-f30bd694-004,node-1404520e-8ee,DATA_FLOW,action_required==true,true,2026-06-08 07:10:33,2026-06-08 07:10:33,"{""bytes"":1086}",3783,"{""hop"":5}"
edge-55cf5975-278,dag-29d291d3-a5d,node-1404520e-8ee,node-1626f8e0-ade,DATA_FLOW,action_required==true,false,2026-06-15 18:49:45,2026-06-15 18:49:45,"{""bytes"":1107}",1814,"{""hop"":6}"
edge-bc253706-131,dag-29d291d3-a5d,node-1626f8e0-ade,node-1c229ace-ad8,DATA_FLOW,sop_matched,true,2026-06-09 21:09:38,2026-06-09 21:09:38,"{""bytes"":3018}",3964,"{""hop"":7}"
edge-2533d0b3-5d5,dag-9be788b0-23d,node-87c244f4-a84,node-2eaa5148-f68,CONDITIONAL,,true,2026-05-25 16:34:13,2026-05-25 16:34:13,"{""bytes"":1159}",4481,"{""hop"":0}"
edge-85dd8017-1d7,dag-9be788b0-23d,node-2eaa5148-f68,node-199f568e-93b,CONDITIONAL,sop_matched,true,2026-06-05 07:45:59,2026-06-05 07:45:59,"{""bytes"":967}",879,"{""hop"":1}"
edge-704e6734-3ba,dag-9be788b0-23d,node-199f568e-93b,node-19d43754-551,CONTROL,,true,2026-06-20 17:48:59,2026-06-20 17:48:59,"{""bytes"":516}",1262,"{""hop"":2}"
edge-28e4cc62-e75,dag-9be788b0-23d,node-19d43754-551,node-808a8107-fd7,CONDITIONAL,sop_matched,true,2026-06-04 07:04:56,2026-06-04 07:04:56,"{""bytes"":4041}",4249,"{""hop"":3}"
edge-bd071f29-1b4,dag-9be788b0-23d,node-808a8107-fd7,node-b4200581-417,CONDITIONAL,action_required==true,true,2026-06-05 07:25:16,2026-06-05 07:25:16,"{""bytes"":350}",1588,"{""hop"":4}"
edge-a677555a-b35,dag-9be788b0-23d,node-b4200581-417,node-1a852f03-26b,DATA_FLOW,,true,2026-06-09 12:03:07,2026-06-09 12:03:07,"{""bytes"":4318}",3582,"{""hop"":5}"
edge-d03e1d32-e71,dag-3767290b-ff3,node-5c34963a-511,node-8dffd219-3b8,CONTROL,sop_matched,true,2026-06-03 01:17:28,2026-06-03 01:17:28,"{""bytes"":377}",4963,"{""hop"":0}"
edge-ac56cb3b-ce7,dag-3767290b-ff3,node-8dffd219-3b8,node-f2dd5e37-e5e,CONTROL,,true,2026-05-26 20:22:25,2026-05-26 20:22:25,"{""bytes"":3220}",544,"{""hop"":1}"
edge-7ce80a6e-515,dag-3767290b-ff3,node-f2dd5e37-e5e,node-a93a6955-fdf,DATA_FLOW,risk>0.65,true,2026-05-25 11:37:37,2026-05-25 11:37:37,"{""bytes"":1837}",2862,"{""hop"":2}"
edge-3c47450b-d35,dag-3767290b-ff3,node-a93a6955-fdf,node-d7aed7c1-333,DATA_FLOW,risk>0.65,true,2026-05-30 15:38:30,2026-05-30 15:38:30,"{""bytes"":1933}",3586,"{""hop"":3}"
edge-ce556a33-4ee,dag-3767290b-ff3,node-d7aed7c1-333,node-63c03043-72a,DATA_FLOW,,true,2026-06-19 03:01:53,2026-06-19 03:01:53,"{""bytes"":1071}",3667,"{""hop"":4}"
edge-69e2ebee-093,dag-3767290b-ff3,node-63c03043-72a,node-986451a7-369,CONTROL,risk>0.65,true,2026-05-26 03:24:24,2026-05-26 03:24:24,"{""bytes"":1727}",3852,"{""hop"":5}"
edge-d0f24b37-ee0,dag-3767290b-ff3,node-986451a7-369,node-85a128b9-8a2,CONDITIONAL,action_required==true,true,2026-06-04 07:41:34,2026-06-04 07:41:34,"{""bytes"":4683}",222,"{""hop"":6}"
edge-00fff17e-f16,dag-3767290b-ff3,node-85a128b9-8a2,node-f0979e8f-dcf,CONTROL,sop_matched,true,2026-06-19 06:05:00,2026-06-19 06:05:00,"{""bytes"":4502}",3466,"{""hop"":7}"
edge-32907fac-9f8,dag-cfce6f05-a4f,node-2479c2a0-963,node-1e6686db-b5f,CONTROL,risk>0.65,true,2026-06-11 09:27:48,2026-06-11 09:27:48,"{""bytes"":3625}",3960,"{""hop"":0}"
edge-134a999f-373,dag-cfce6f05-a4f,node-1e6686db-b5f,node-bbb08dbc-85d,DATA_FLOW,,true,2026-05-27 01:33:28,2026-05-27 01:33:28,"{""bytes"":143}",3930,"{""hop"":1}"
edge-af9d7fe5-1ef,dag-cfce6f05-a4f,node-bbb08dbc-85d,node-82279082-bef,DATA_FLOW,sop_matched,true,2026-05-26 09:41:48,2026-05-26 09:41:48,"{""bytes"":4314}",111,"{""hop"":2}"
edge-21df3b14-bcd,dag-cfce6f05-a4f,node-82279082-bef,node-9ceeb50f-e5d,CONTROL,,true,2026-06-02 22:59:39,2026-06-02 22:59:39,"{""bytes"":1171}",3067,"{""hop"":3}"
edge-35da9a52-0d0,dag-cfce6f05-a4f,node-9ceeb50f-e5d,node-7ba4ec3a-a7c,DATA_FLOW,risk>0.65,true,2026-06-03 17:08:13,2026-06-03 17:08:13,"{""bytes"":4548}",3492,"{""hop"":4}"
edge-eec53acf-6cf,dag-cfce6f05-a4f,node-7ba4ec3a-a7c,node-6ce7280d-d4c,DATA_FLOW,sop_matched,true,2026-06-04 09:39:01,2026-06-04 09:39:01,"{""bytes"":2956}",4611,"{""hop"":5}"
edge-d6d31113-ff9,dag-cfce6f05-a4f,node-6ce7280d-d4c,node-2c469c03-bad,DATA_FLOW,risk>0.65,false,2026-06-17 18:20:38,2026-06-17 18:20:38,"{""bytes"":3941}",1812,"{""hop"":6}"
edge-2c1e79be-069,dag-e0f5899e-7d5,node-d4b6cfc1-3ed,node-c2d0ffe8-588,DATA_FLOW,risk>0.65,true,2026-06-03 16:45:57,2026-06-03 16:45:57,"{""bytes"":3558}",3241,"{""hop"":0}"
edge-8a6748ce-0ff,dag-e0f5899e-7d5,node-c2d0ffe8-588,node-c3aafde8-507,DATA_FLOW,sop_matched,true,2026-06-19 21:25:14,2026-06-19 21:25:14,"{""bytes"":2644}",1817,"{""hop"":1}"
edge-76c66a67-dde,dag-811d23e8-ce1,node-a280d2c2-8d1,node-51623f28-4be,DATA_FLOW,,true,2026-06-21 23:29:49,2026-06-21 23:29:49,"{""bytes"":3970}",2343,"{""hop"":0}"
edge-6ea4528b-7a8,dag-811d23e8-ce1,node-51623f28-4be,node-fae71ae8-cac,CONDITIONAL,risk>0.65,true,2026-06-08 10:26:19,2026-06-08 10:26:19,"{""bytes"":1656}",715,"{""hop"":1}"
edge-ed977f03-afc,dag-811d23e8-ce1,node-fae71ae8-cac,node-b73bc92f-64c,CONDITIONAL,,true,2026-06-22 03:00:03,2026-06-22 03:00:03,"{""bytes"":4575}",4816,"{""hop"":2}"
edge-d7b8938e-846,dag-811d23e8-ce1,node-b73bc92f-64c,node-98bab491-4f1,CONDITIONAL,sop_matched,true,2026-06-13 02:24:10,2026-06-13 02:24:10,"{""bytes"":1547}",3458,"{""hop"":3}"
edge-68e7d445-e3c,dag-811d23e8-ce1,node-98bab491-4f1,node-d964217b-116,CONTROL,action_required==true,true,2026-06-19 20:10:23,2026-06-19 20:10:23,"{""bytes"":1220}",1844,"{""hop"":4}"
edge-fa9f252e-f5a,dag-811d23e8-ce1,node-d964217b-116,node-ee440b4e-fbf,DATA_FLOW,risk>0.65,true,2026-06-17 10:56:06,2026-06-17 10:56:06,"{""bytes"":4295}",2502,"{""hop"":5}"
edge-26051457-0e4,dag-811d23e8-ce1,node-ee440b4e-fbf,node-91b3cd98-d79,CONTROL,risk>0.65,true,2026-06-03 16:40:49,2026-06-03 16:40:49,"{""bytes"":775}",2724,"{""hop"":6}"
edge-8755e83f-4dd,dag-8082f6a3-a8d,node-89190208-cf1,node-fc2ac61d-297,CONDITIONAL,action_required==true,true,2026-06-04 21:24:10,2026-06-04 21:24:10,"{""bytes"":1214}",3078,"{""hop"":0}"
edge-385e110c-239,dag-8082f6a3-a8d,node-fc2ac61d-297,node-bd9fa3f0-936,CONTROL,risk>0.65,false,2026-06-03 20:14:58,2026-06-03 20:14:58,"{""bytes"":952}",788,"{""hop"":1}"
edge-1cda9fd5-815,dag-8082f6a3-a8d,node-bd9fa3f0-936,node-78caa954-f96,CONTROL,,true,2026-06-05 12:59:17,2026-06-05 12:59:17,"{""bytes"":1137}",3114,"{""hop"":2}"
edge-f65d14fb-200,dag-778943e7-233,node-bce1d612-621,node-5e022808-903,DATA_FLOW,action_required==true,true,2026-06-06 12:31:36,2026-06-06 12:31:36,"{""bytes"":2588}",1007,"{""hop"":0}"
edge-0153673d-fff,dag-778943e7-233,node-5e022808-903,node-dd1dc97d-2c1,CONTROL,sop_matched,true,2026-06-19 17:51:28,2026-06-19 17:51:28,"{""bytes"":2273}",4154,"{""hop"":1}"
edge-66fdff92-1f0,dag-778943e7-233,node-dd1dc97d-2c1,node-3f34d114-088,CONTROL,risk>0.65,true,2026-06-20 05:36:27,2026-06-20 05:36:27,"{""bytes"":2292}",4303,"{""hop"":2}"
edge-90afcbeb-890,dag-778943e7-233,node-3f34d114-088,node-a869d1c8-fe3,DATA_FLOW,risk>0.65,true,2026-05-31 02:04:48,2026-05-31 02:04:48,"{""bytes"":2628}",1321,"{""hop"":3}"
edge-69bc13ec-9b7,dag-778943e7-233,node-a869d1c8-fe3,node-f8f055d5-bf1,CONDITIONAL,,true,2026-05-30 10:43:37,2026-05-30 10:43:37,"{""bytes"":1052}",3053,"{""hop"":4}"
edge-8be7c0ee-c0e,dag-778943e7-233,node-f8f055d5-bf1,node-799955d9-bea,DATA_FLOW,sop_matched,true,2026-06-12 00:24:06,2026-06-12 00:24:06,"{""bytes"":3431}",3441,"{""hop"":5}"
edge-52dd008d-b78,dag-778943e7-233,node-799955d9-bea,node-7f0b232f-5e2,CONTROL,,true,2026-05-27 12:33:23,2026-05-27 12:33:23,"{""bytes"":4983}",1759,"{""hop"":6}"
edge-8ee44327-63e,dag-2b2c1fce-6b5,node-93d9a24c-b2a,node-f3802ab7-118,CONDITIONAL,,true,2026-06-13 18:01:39,2026-06-13 18:01:39,"{""bytes"":3394}",479,"{""hop"":0}"
edge-65caf0f8-e1a,dag-2b2c1fce-6b5,node-f3802ab7-118,node-da23b956-33d,DATA_FLOW,sop_matched,true,2026-05-24 20:44:37,2026-05-24 20:44:37,"{""bytes"":3867}",2328,"{""hop"":1}"
edge-909d9788-ee3,dag-2b2c1fce-6b5,node-da23b956-33d,node-4603c87f-554,DATA_FLOW,,true,2026-06-08 20:56:47,2026-06-08 20:56:47,"{""bytes"":1643}",4521,"{""hop"":2}"
edge-8ba8f888-e24,dag-2b2c1fce-6b5,node-4603c87f-554,node-0b1b1b3b-8b1,DATA_FLOW,risk>0.65,true,2026-05-31 01:46:34,2026-05-31 01:46:34,"{""bytes"":3409}",1830,"{""hop"":3}"
edge-8a3abe0d-a0c,dag-2b2c1fce-6b5,node-0b1b1b3b-8b1,node-b245a7c3-1e3,CONDITIONAL,action_required==true,true,2026-05-28 17:10:54,2026-05-28 17:10:54,"{""bytes"":2447}",1052,"{""hop"":4}"
edge-4a407e98-ca2,dag-2b2c1fce-6b5,node-b245a7c3-1e3,node-629e739b-786,DATA_FLOW,sop_matched,true,2026-06-22 22:25:07,2026-06-22 22:25:07,"{""bytes"":435}",4998,"{""hop"":5}"
edge-91040401-0c4,dag-2b2c1fce-6b5,node-629e739b-786,node-e266496e-d39,CONDITIONAL,,false,2026-06-19 13:13:23,2026-06-19 13:13:23,"{""bytes"":3887}",3293,"{""hop"":6}"
edge-a0e8b9cf-4ba,dag-0016b17a-cba,node-127ba414-cdd,node-2f11d972-ab2,CONDITIONAL,action_required==true,false,2026-06-01 17:58:15,2026-06-01 17:58:15,"{""bytes"":3722}",1283,"{""hop"":0}"
edge-cb549cc1-7e2,dag-0016b17a-cba,node-2f11d972-ab2,node-cf5fcd18-68e,DATA_FLOW,risk>0.65,false,2026-05-25 03:39:36,2026-05-25 03:39:36,"{""bytes"":1328}",2966,"{""hop"":1}"
edge-e70f9f03-696,dag-0016b17a-cba,node-cf5fcd18-68e,node-cfe44596-df3,DATA_FLOW,,true,2026-06-23 00:38:49,2026-06-23 00:38:49,"{""bytes"":801}",3955,"{""hop"":2}"
edge-6e8324b5-edb,dag-0016b17a-cba,node-cfe44596-df3,node-b4c6044b-8ec,DATA_FLOW,,true,2026-06-14 08:50:56,2026-06-14 08:50:56,"{""bytes"":887}",4093,"{""hop"":3}"
edge-55c1108b-720,dag-0016b17a-cba,node-b4c6044b-8ec,node-5d436bce-796,DATA_FLOW,sop_matched,true,2026-06-22 15:58:01,2026-06-22 15:58:01,"{""bytes"":3192}",1108,"{""hop"":4}"
edge-8e4b5146-448,dag-25087a07-da0,node-3fa6d5d0-fbf,node-1c71a117-161,DATA_FLOW,,true,2026-05-31 19:10:39,2026-05-31 19:10:39,"{""bytes"":4167}",3472,"{""hop"":0}"
edge-92771b37-195,dag-25087a07-da0,node-1c71a117-161,node-bee2585f-2d6,CONDITIONAL,,true,2026-06-01 08:40:17,2026-06-01 08:40:17,"{""bytes"":3047}",340,"{""hop"":1}"
edge-93fbeb61-999,dag-25087a07-da0,node-bee2585f-2d6,node-c4abc901-891,DATA_FLOW,risk>0.65,true,2026-05-27 08:42:30,2026-05-27 08:42:30,"{""bytes"":2204}",1268,"{""hop"":2}"
edge-c6a9764f-cf4,dag-25087a07-da0,node-c4abc901-891,node-77d2c2f3-d58,CONDITIONAL,action_required==true,true,2026-06-01 08:03:57,2026-06-01 08:03:57,"{""bytes"":487}",1308,"{""hop"":3}"
edge-f73a549d-050,dag-25087a07-da0,node-77d2c2f3-d58,node-0357b68c-2c6,CONTROL,,false,2026-05-29 15:31:31,2026-05-29 15:31:31,"{""bytes"":4540}",3376,"{""hop"":4}"
edge-1b9f96f3-c71,dag-25087a07-da0,node-0357b68c-2c6,node-ea7af49c-8ef,CONDITIONAL,risk>0.65,true,2026-06-19 11:35:29,2026-06-19 11:35:29,"{""bytes"":4178}",3034,"{""hop"":5}"
edge-17c6b915-f1a,dag-25087a07-da0,node-ea7af49c-8ef,node-fa514ee6-70c,CONTROL,,true,2026-05-25 05:30:40,2026-05-25 05:30:40,"{""bytes"":2799}",1737,"{""hop"":6}"
edge-eadaa818-419,dag-81097b39-4ab,node-edb1583e-70d,node-0bdc1966-32a,DATA_FLOW,sop_matched,true,2026-06-08 17:21:20,2026-06-08 17:21:20,"{""bytes"":248}",1827,"{""hop"":0}"
edge-d9a1a1b3-060,dag-81097b39-4ab,node-0bdc1966-32a,node-3182bddd-060,CONDITIONAL,sop_matched,true,2026-06-19 12:24:13,2026-06-19 12:24:13,"{""bytes"":262}",2123,"{""hop"":1}"
edge-ac104a55-75a,dag-81097b39-4ab,node-3182bddd-060,node-daa4a9fa-a56,DATA_FLOW,,false,2026-06-20 14:57:35,2026-06-20 14:57:35,"{""bytes"":2897}",1217,"{""hop"":2}"
edge-7c89b368-34c,dag-3b430cb3-786,node-b0414cbe-85c,node-3d45c4a1-149,CONDITIONAL,risk>0.65,true,2026-06-15 21:47:57,2026-06-15 21:47:57,"{""bytes"":2505}",4076,"{""hop"":0}"
edge-dccad95b-bd1,dag-3b430cb3-786,node-3d45c4a1-149,node-5eea77b6-82a,DATA_FLOW,,true,2026-05-25 16:08:10,2026-05-25 16:08:10,"{""bytes"":1834}",2112,"{""hop"":1}"
edge-94cf1e50-e93,dag-17b1193c-dc4,node-064e213b-f6f,node-34e8c84b-929,CONTROL,action_required==true,true,2026-06-05 17:13:16,2026-06-05 17:13:16,"{""bytes"":4558}",4635,"{""hop"":0}"
edge-c4db07c2-90b,dag-17b1193c-dc4,node-34e8c84b-929,node-7efcc8e6-1be,DATA_FLOW,risk>0.65,true,2026-06-03 17:55:04,2026-06-03 17:55:04,"{""bytes"":3603}",4303,"{""hop"":1}"
edge-5e76f609-afd,dag-17b1193c-dc4,node-7efcc8e6-1be,node-460dc2b4-6f8,DATA_FLOW,risk>0.65,true,2026-06-11 19:36:05,2026-06-11 19:36:05,"{""bytes"":4751}",4861,"{""hop"":2}"
edge-46925db3-21e,dag-17b1193c-dc4,node-460dc2b4-6f8,node-ecc87f42-f8c,CONDITIONAL,action_required==true,true,2026-05-29 07:03:10,2026-05-29 07:03:10,"{""bytes"":101}",2476,"{""hop"":3}"
edge-87aca02b-aeb,dag-17b1193c-dc4,node-ecc87f42-f8c,node-c3c62a76-ff4,DATA_FLOW,sop_matched,false,2026-05-29 13:22:48,2026-05-29 13:22:48,"{""bytes"":4058}",3630,"{""hop"":4}"
edge-67bb5bbc-b36,dag-17b1193c-dc4,node-c3c62a76-ff4,node-b857a8a4-ee3,DATA_FLOW,sop_matched,true,2026-06-09 02:28:41,2026-06-09 02:28:41,"{""bytes"":3128}",1022,"{""hop"":5}"
edge-045983b9-102,dag-17b1193c-dc4,node-b857a8a4-ee3,node-a807bdee-2cc,CONTROL,risk>0.65,true,2026-05-24 23:01:59,2026-05-24 23:01:59,"{""bytes"":3841}",225,"{""hop"":6}"
edge-21ec2dc9-811,dag-17b1193c-dc4,node-a807bdee-2cc,node-15d72591-e3b,CONDITIONAL,sop_matched,true,2026-05-31 18:21:35,2026-05-31 18:21:35,"{""bytes"":1276}",2242,"{""hop"":7}"
edge-76401b0d-e70,dag-4bbeebae-10d,node-52afe7b7-ef6,node-6b57bfaf-a9a,DATA_FLOW,action_required==true,true,2026-06-21 22:13:03,2026-06-21 22:13:03,"{""bytes"":4097}",3061,"{""hop"":0}"
edge-3b279de9-edd,dag-4bbeebae-10d,node-6b57bfaf-a9a,node-ca11155e-0f6,DATA_FLOW,sop_matched,true,2026-05-29 18:45:35,2026-05-29 18:45:35,"{""bytes"":1089}",2316,"{""hop"":1}"
edge-01fac22b-14a,dag-4bbeebae-10d,node-ca11155e-0f6,node-956cdba8-e8e,CONDITIONAL,sop_matched,true,2026-05-31 13:47:54,2026-05-31 13:47:54,"{""bytes"":2886}",217,"{""hop"":2}"
edge-5ea2b428-1eb,dag-4bbeebae-10d,node-956cdba8-e8e,node-b3417dd0-84c,DATA_FLOW,,true,2026-06-10 16:01:32,2026-06-10 16:01:32,"{""bytes"":1031}",2176,"{""hop"":3}"
edge-82253479-043,dag-4bbeebae-10d,node-b3417dd0-84c,node-6060accf-325,CONDITIONAL,sop_matched,true,2026-06-15 23:32:23,2026-06-15 23:32:23,"{""bytes"":519}",3824,"{""hop"":4}"
edge-ac7d64b4-b5e,dag-4bbeebae-10d,node-6060accf-325,node-3fa6d36f-1dd,CONTROL,,true,2026-06-09 00:49:37,2026-06-09 00:49:37,"{""bytes"":541}",2393,"{""hop"":5}"
edge-39bf36d2-2dc,dag-f4ff1c88-e9d,node-9276191a-b08,node-23a44316-e81,DATA_FLOW,action_required==true,true,2026-06-01 06:05:11,2026-06-01 06:05:11,"{""bytes"":3776}",4884,"{""hop"":0}"
edge-4bb8bab8-058,dag-f4ff1c88-e9d,node-23a44316-e81,node-973bb848-a99,DATA_FLOW,,true,2026-06-19 06:46:40,2026-06-19 06:46:40,"{""bytes"":1572}",2589,"{""hop"":1}"
edge-14260964-4e4,dag-f4ff1c88-e9d,node-973bb848-a99,node-75482edc-3d1,DATA_FLOW,,true,2026-06-17 13:46:36,2026-06-17 13:46:36,"{""bytes"":1185}",4659,"{""hop"":2}"
edge-a0c218bb-554,dag-f4ff1c88-e9d,node-75482edc-3d1,node-9c4d4ce8-ca2,DATA_FLOW,sop_matched,true,2026-06-02 15:40:04,2026-06-02 15:40:04,"{""bytes"":898}",4248,"{""hop"":3}"
edge-7e35b809-65d,dag-f4ff1c88-e9d,node-9c4d4ce8-ca2,node-f8780d68-34e,CONTROL,,true,2026-06-10 00:59:00,2026-06-10 00:59:00,"{""bytes"":864}",290,"{""hop"":4}"
edge-708c28de-1bf,dag-f4ff1c88-e9d,node-f8780d68-34e,node-ea6666fb-8dc,CONTROL,action_required==true,true,2026-05-30 16:25:25,2026-05-30 16:25:25,"{""bytes"":4020}",4858,"{""hop"":5}"
edge-aab9a16d-640,dag-5e2493d0-48f,node-5a698203-848,node-5edeec9f-81e,DATA_FLOW,action_required==true,true,2026-06-16 02:40:00,2026-06-16 02:40:00,"{""bytes"":1832}",4808,"{""hop"":0}"
edge-c92905e7-23f,dag-5e2493d0-48f,node-5edeec9f-81e,node-9d24af03-8ca,CONTROL,,false,2026-05-29 11:12:15,2026-05-29 11:12:15,"{""bytes"":1322}",3810,"{""hop"":1}"
edge-9483df1e-0c0,dag-5e2493d0-48f,node-9d24af03-8ca,node-eb6dfad7-5f7,DATA_FLOW,risk>0.65,false,2026-06-14 22:30:35,2026-06-14 22:30:35,"{""bytes"":4312}",910,"{""hop"":2}"
edge-c376a14b-49a,dag-5e2493d0-48f,node-eb6dfad7-5f7,node-e182e7d7-a32,CONTROL,,true,2026-05-31 08:08:46,2026-05-31 08:08:46,"{""bytes"":3104}",1653,"{""hop"":3}"
edge-64dd0351-975,dag-5e2493d0-48f,node-e182e7d7-a32,node-26bd9618-0d9,CONDITIONAL,,false,2026-05-29 20:09:49,2026-05-29 20:09:49,"{""bytes"":1841}",401,"{""hop"":4}"
