cache_key,cache_value,created_at,expires_at
mc:prod-use2-eks:platform:image-resizer-9994630-7c707:kube_pod_container_status_restarts_total,"{""value"":48517.04,""ts"":""2026-06-23 11:50:16""}",2026-06-23 11:50:16,2026-06-23 11:55:16
mc:prod-use2-eks:ledger:ledger-svc-f4a6d64-16dde:container_memory_working_set_bytes,"{""value"":40223.39,""ts"":""2026-06-23 08:10:52""}",2026-06-23 08:10:52,2026-06-23 08:15:52
mc:prod-usw2-eks:orders:orders-worker-0696c96-a62c8:http_request_duration_ms,"{""value"":64193.74,""ts"":""2026-06-23 08:57:03""}",2026-06-23 08:57:03,2026-06-23 09:02:03
mc:prod-usw2-eks:search:search-api-15a6d76-12766:http_request_duration_ms,"{""value"":21809.65,""ts"":""2026-06-23 06:20:23""}",2026-06-23 06:20:23,2026-06-23 06:25:23
mc:dr-use1-eks:ledger:ledger-svc-e00a046-6e2d6:http_request_duration_ms,"{""value"":7399.8,""ts"":""2026-06-23 07:55:54""}",2026-06-23 07:55:54,2026-06-23 08:00:54
mc:prod-use2-eks:ledger:ledger-svc-204e643-7d23b:process_open_fds,"{""value"":84006.82,""ts"":""2026-06-23 06:21:25""}",2026-06-23 06:21:25,2026-06-23 06:26:25
mc:prod-use2-eks:platform:config-svc-027a395-39a4d:container_network_receive_bytes_total,"{""value"":45653.55,""ts"":""2026-06-23 11:15:54""}",2026-06-23 11:15:54,2026-06-23 11:20:54
mc:staging-use2-eks:identity:auth-gateway-c975434-e6ef9:container_network_receive_bytes_total,"{""value"":62629.08,""ts"":""2026-06-23 07:49:22""}",2026-06-23 07:49:22,2026-06-23 07:54:22
mc:prod-usw2-eks:platform:config-svc-d193d56-68bd9:process_open_fds,"{""value"":66284.03,""ts"":""2026-06-23 09:19:41""}",2026-06-23 09:19:41,2026-06-23 09:24:41
mc:prod-use2-eks:platform:config-svc-027a395-39a4d:tcp_established,"{""value"":3542.74,""ts"":""2026-06-23 11:44:43""}",2026-06-23 11:44:43,2026-06-23 11:49:43
mc:dr-use1-eks:inventory:inventory-svc-4ccbe67-9cbde:go_gc_duration_seconds,"{""value"":35905.07,""ts"":""2026-06-23 07:53:07""}",2026-06-23 07:53:07,2026-06-23 07:58:07
mc:prod-use2-eks:identity:auth-gateway-bf1d422-2018d:http_request_duration_ms,"{""value"":72626.71,""ts"":""2026-06-23 06:27:36""}",2026-06-23 06:27:36,2026-06-23 06:32:36
mc:prod-use2-eks:ledger:ledger-svc-1232e29-49ea1:container_memory_working_set_bytes,"{""value"":39569.13,""ts"":""2026-06-23 06:58:44""}",2026-06-23 06:58:44,2026-06-23 07:03:44
mc:prod-usw2-eks:checkout:cart-svc-0a94879-c1bba:container_network_receive_bytes_total,"{""value"":26603.97,""ts"":""2026-06-23 10:37:35""}",2026-06-23 10:37:35,2026-06-23 10:42:35
mc:prod-use2-eks:orders:orders-worker-06e2683-7270e:http_requests_total,"{""value"":82072.7,""ts"":""2026-06-23 08:39:40""}",2026-06-23 08:39:40,2026-06-23 08:44:40
mc:prod-usw2-eks:payments:payments-worker-b4be648-d2dcb:http_request_duration_ms,"{""value"":67975.26,""ts"":""2026-06-23 09:26:39""}",2026-06-23 09:26:39,2026-06-23 09:31:39
mc:prod-use2-eks:search:indexer-b07f520-eaf04:tcp_established,"{""value"":35466.05,""ts"":""2026-06-23 08:10:32""}",2026-06-23 08:10:32,2026-06-23 08:15:32
mc:dr-use1-eks:search:search-api-be84964-d972c:process_open_fds,"{""value"":44950.54,""ts"":""2026-06-23 10:30:54""}",2026-06-23 10:30:54,2026-06-23 10:35:54
mc:prod-usw2-eks:orders:orders-api-21c5d48-15186:tcp_established,"{""value"":83849.53,""ts"":""2026-06-23 10:51:54""}",2026-06-23 10:51:54,2026-06-23 10:56:54
mc:prod-use2-eks:payments:payments-api-c9c2b74-00142:process_open_fds,"{""value"":21969.38,""ts"":""2026-06-23 10:12:50""}",2026-06-23 10:12:50,2026-06-23 10:17:50
mc:prod-usw2-eks:checkout:checkout-web-f628153-c1833:http_requests_total,"{""value"":92656.85,""ts"":""2026-06-23 06:52:11""}",2026-06-23 06:52:11,2026-06-23 06:57:11
mc:dr-use1-eks:checkout:cart-svc-da3cf51-00806:container_network_receive_bytes_total,"{""value"":69302.78,""ts"":""2026-06-23 11:32:08""}",2026-06-23 11:32:08,2026-06-23 11:37:08
mc:prod-use2-eks:checkout:cart-svc-26a7d77-aafdc:http_request_duration_ms,"{""value"":63211.82,""ts"":""2026-06-23 10:50:49""}",2026-06-23 10:50:49,2026-06-23 10:55:49
mc:prod-usw2-eks:identity:auth-gateway-7d2aa28-56f78:container_cpu_usage_seconds_total,"{""value"":83130.78,""ts"":""2026-06-23 11:48:19""}",2026-06-23 11:48:19,2026-06-23 11:53:19
mc:staging-use2-eks:identity:session-store-a097c68-649a1:container_cpu_usage_seconds_total,"{""value"":31224.6,""ts"":""2026-06-23 08:48:22""}",2026-06-23 08:48:22,2026-06-23 08:53:22
mc:prod-use2-eks:kube-system:coredns-47d4438-c55d7:container_memory_rss,"{""value"":2545.58,""ts"":""2026-06-23 06:43:58""}",2026-06-23 06:43:58,2026-06-23 06:48:58
mc:staging-use2-eks:search:recommendation-2071c72-c0b22:container_cpu_usage_seconds_total,"{""value"":89698.26,""ts"":""2026-06-23 09:00:24""}",2026-06-23 09:00:24,2026-06-23 09:05:24
mc:prod-use2-eks:checkout:checkout-web-47df111-4e24c:process_open_fds,"{""value"":90015.51,""ts"":""2026-06-23 10:01:53""}",2026-06-23 10:01:53,2026-06-23 10:06:53
mc:prod-use2-eks:search:recommendation-c460126-52814:container_memory_rss,"{""value"":56687.15,""ts"":""2026-06-23 07:25:38""}",2026-06-23 07:25:38,2026-06-23 07:30:38
mc:prod-use2-eks:payments:payments-api-1ce3577-591ac:container_memory_rss,"{""value"":54200.71,""ts"":""2026-06-23 07:22:57""}",2026-06-23 07:22:57,2026-06-23 07:27:57
mc:dr-use1-eks:checkout:checkout-web-6e9e217-a5c79:process_open_fds,"{""value"":6795.75,""ts"":""2026-06-23 08:56:36""}",2026-06-23 08:56:36,2026-06-23 09:01:36
mc:prod-use2-eks:kube-system:coredns-e513a45-fb7bf:http_request_duration_ms,"{""value"":9865.13,""ts"":""2026-06-23 09:11:04""}",2026-06-23 09:11:04,2026-06-23 09:16:04
mc:dr-use1-eks:orders:orders-worker-f884840-8265c:container_memory_working_set_bytes,"{""value"":95903.42,""ts"":""2026-06-23 10:59:17""}",2026-06-23 10:59:17,2026-06-23 11:04:17
mc:prod-use2-eks:payments:payments-api-58c5e74-26d34:kube_pod_container_status_restarts_total,"{""value"":34285.9,""ts"":""2026-06-23 11:41:24""}",2026-06-23 11:41:24,2026-06-23 11:46:24
mc:prod-usw2-eks:search:indexer-6c1eb29-ca471:http_request_duration_ms,"{""value"":37218.81,""ts"":""2026-06-23 07:43:26""}",2026-06-23 07:43:26,2026-06-23 07:48:26
mc:prod-usw2-eks:search:search-api-15a6d76-12766:container_cpu_usage_seconds_total,"{""value"":88892.12,""ts"":""2026-06-23 06:50:53""}",2026-06-23 06:50:53,2026-06-23 06:55:53
mc:prod-usw2-eks:payments:payments-api-b9a1287-dbbfe:container_network_receive_bytes_total,"{""value"":68006.41,""ts"":""2026-06-23 08:13:05""}",2026-06-23 08:13:05,2026-06-23 08:18:05
mc:prod-use2-eks:search:search-api-4350294-dbefb:go_gc_duration_seconds,"{""value"":61923.56,""ts"":""2026-06-23 08:42:44""}",2026-06-23 08:42:44,2026-06-23 08:47:44
mc:prod-use2-eks:identity:auth-gateway-ec6b034-0575b:kube_pod_container_status_restarts_total,"{""value"":3800.25,""ts"":""2026-06-23 09:46:19""}",2026-06-23 09:46:19,2026-06-23 09:51:19
mc:prod-use2-eks:orders:orders-api-e9b4a39-c3784:kube_pod_container_status_restarts_total,"{""value"":775.27,""ts"":""2026-06-23 08:10:36""}",2026-06-23 08:10:36,2026-06-23 08:15:36
mc:prod-usw2-eks:notifications:notifications-abd2926-3451e:process_open_fds,"{""value"":24925.21,""ts"":""2026-06-23 11:03:59""}",2026-06-23 11:03:59,2026-06-23 11:08:59
mc:prod-use2-eks:checkout:checkout-web-c2eb578-2d181:http_requests_total,"{""value"":45505.09,""ts"":""2026-06-23 09:59:18""}",2026-06-23 09:59:18,2026-06-23 10:04:18
mc:prod-use2-eks:search:search-api-4350294-dbefb:container_cpu_usage_seconds_total,"{""value"":62839.42,""ts"":""2026-06-23 06:55:43""}",2026-06-23 06:55:43,2026-06-23 07:00:43
mc:staging-use2-eks:identity:auth-gateway-c975434-e6ef9:container_memory_rss,"{""value"":69392.48,""ts"":""2026-06-23 11:02:15""}",2026-06-23 11:02:15,2026-06-23 11:07:15
mc:prod-usw2-eks:search:search-api-8352074-5b766:container_network_receive_bytes_total,"{""value"":71205.53,""ts"":""2026-06-23 08:56:12""}",2026-06-23 08:56:12,2026-06-23 09:01:12
mc:prod-use2-eks:checkout:checkout-web-c343d41-6a8d2:container_memory_working_set_bytes,"{""value"":14655.37,""ts"":""2026-06-23 10:56:25""}",2026-06-23 10:56:25,2026-06-23 11:01:25
mc:prod-use2-eks:orders:orders-api-7f89525-97cdd:http_requests_total,"{""value"":47841.62,""ts"":""2026-06-23 07:51:15""}",2026-06-23 07:51:15,2026-06-23 07:56:15
mc:prod-usw2-eks:payments:payments-worker-bbc0947-0aa1a:kube_pod_container_status_restarts_total,"{""value"":37316.62,""ts"":""2026-06-23 08:29:34""}",2026-06-23 08:29:34,2026-06-23 08:34:34
mc:prod-use2-eks:platform:config-svc-027a395-39a4d:process_open_fds,"{""value"":13778.28,""ts"":""2026-06-23 10:04:53""}",2026-06-23 10:04:53,2026-06-23 10:09:53
mc:prod-use2-eks:inventory:inventory-svc-3e28589-98330:go_gc_duration_seconds,"{""value"":29468.69,""ts"":""2026-06-23 09:54:21""}",2026-06-23 09:54:21,2026-06-23 09:59:21
mc:prod-usw2-eks:identity:auth-gateway-ebb2b70-575e4:container_network_receive_bytes_total,"{""value"":14228.89,""ts"":""2026-06-23 07:51:30""}",2026-06-23 07:51:30,2026-06-23 07:56:30
mc:staging-use2-eks:checkout:checkout-web-aca9086-f5fe6:container_fs_usage_bytes,"{""value"":58886.34,""ts"":""2026-06-23 11:20:48""}",2026-06-23 11:20:48,2026-06-23 11:25:48
mc:prod-usw2-eks:search:recommendation-87e3198-026ea:container_memory_rss,"{""value"":68740.82,""ts"":""2026-06-23 08:33:18""}",2026-06-23 08:33:18,2026-06-23 08:38:18
mc:prod-usw2-eks:search:indexer-b957537-8aa20:container_fs_usage_bytes,"{""value"":45646.47,""ts"":""2026-06-23 11:12:31""}",2026-06-23 11:12:31,2026-06-23 11:17:31
mc:prod-usw2-eks:search:search-api-15a6d76-12766:container_memory_rss,"{""value"":70947.43,""ts"":""2026-06-23 08:41:17""}",2026-06-23 08:41:17,2026-06-23 08:46:17
mc:prod-usw2-eks:identity:auth-gateway-fb1c283-81cc8:go_gc_duration_seconds,"{""value"":65169.54,""ts"":""2026-06-23 08:49:53""}",2026-06-23 08:49:53,2026-06-23 08:54:53
mc:staging-use2-eks:notifications:notifications-26e9347-44fc8:container_network_receive_bytes_total,"{""value"":97436.53,""ts"":""2026-06-23 11:59:59""}",2026-06-23 11:59:59,2026-06-23 12:04:59
mc:prod-use2-eks:search:search-api-61d1d17-0014f:container_memory_working_set_bytes,"{""value"":7376.85,""ts"":""2026-06-23 06:10:57""}",2026-06-23 06:10:57,2026-06-23 06:15:57
mc:staging-use2-eks:search:search-api-8ca0b98-505ff:go_gc_duration_seconds,"{""value"":72414.4,""ts"":""2026-06-23 06:15:08""}",2026-06-23 06:15:08,2026-06-23 06:20:08
mc:staging-use2-eks:identity:auth-gateway-c975434-e6ef9:container_memory_rss,"{""value"":16878.64,""ts"":""2026-06-23 10:32:29""}",2026-06-23 10:32:29,2026-06-23 10:37:29
mc:prod-usw2-eks:kube-system:coredns-37f1521-4cd3d:go_gc_duration_seconds,"{""value"":84276.53,""ts"":""2026-06-23 10:49:58""}",2026-06-23 10:49:58,2026-06-23 10:54:58
mc:prod-usw2-eks:search:indexer-6c1eb29-ca471:container_network_receive_bytes_total,"{""value"":803.12,""ts"":""2026-06-23 09:19:37""}",2026-06-23 09:19:37,2026-06-23 09:24:37
mc:prod-usw2-eks:payments:payments-api-6c2b997-3e07d:container_network_receive_bytes_total,"{""value"":70283.3,""ts"":""2026-06-23 11:10:14""}",2026-06-23 11:10:14,2026-06-23 11:15:14
mc:staging-use2-eks:identity:auth-gateway-41b4f33-14ef9:container_network_receive_bytes_total,"{""value"":45602.1,""ts"":""2026-06-23 08:24:05""}",2026-06-23 08:24:05,2026-06-23 08:29:05
mc:prod-use2-eks:notifications:notifications-c882a21-88bb7:http_request_duration_ms,"{""value"":75380.27,""ts"":""2026-06-23 07:55:09""}",2026-06-23 07:55:09,2026-06-23 08:00:09
mc:prod-use2-eks:inventory:inventory-svc-3e28589-98330:container_memory_working_set_bytes,"{""value"":42856.33,""ts"":""2026-06-23 07:50:48""}",2026-06-23 07:50:48,2026-06-23 07:55:48
mc:prod-usw2-eks:checkout:cart-svc-0a94879-c1bba:container_cpu_usage_seconds_total,"{""value"":95056.99,""ts"":""2026-06-23 09:08:31""}",2026-06-23 09:08:31,2026-06-23 09:13:31
mc:prod-use2-eks:checkout:cart-svc-51c2594-4d271:kube_pod_container_status_restarts_total,"{""value"":90660.54,""ts"":""2026-06-23 06:05:13""}",2026-06-23 06:05:13,2026-06-23 06:10:13
mc:prod-use2-eks:payments:payments-api-58c5e74-26d34:http_request_duration_ms,"{""value"":33963.77,""ts"":""2026-06-23 08:50:05""}",2026-06-23 08:50:05,2026-06-23 08:55:05
mc:staging-use2-eks:identity:auth-gateway-41b4f33-14ef9:http_request_duration_ms,"{""value"":5299.28,""ts"":""2026-06-23 08:38:21""}",2026-06-23 08:38:21,2026-06-23 08:43:21
mc:prod-usw2-eks:identity:auth-gateway-fb1c283-81cc8:container_cpu_usage_seconds_total,"{""value"":73441.07,""ts"":""2026-06-23 11:02:48""}",2026-06-23 11:02:48,2026-06-23 11:07:48
mc:prod-usw2-eks:ledger:ledger-svc-0744083-43011:container_fs_usage_bytes,"{""value"":78348.3,""ts"":""2026-06-23 07:31:41""}",2026-06-23 07:31:41,2026-06-23 07:36:41
mc:dr-use1-eks:notifications:notifications-b036879-82982:container_memory_rss,"{""value"":26243.59,""ts"":""2026-06-23 08:04:11""}",2026-06-23 08:04:11,2026-06-23 08:09:11
mc:prod-usw2-eks:search:search-api-15a6d76-12766:container_network_receive_bytes_total,"{""value"":26466.21,""ts"":""2026-06-23 11:01:59""}",2026-06-23 11:01:59,2026-06-23 11:06:59
mc:prod-usw2-eks:ledger:ledger-svc-842cd31-95bfa:go_gc_duration_seconds,"{""value"":86595.68,""ts"":""2026-06-23 06:16:45""}",2026-06-23 06:16:45,2026-06-23 06:21:45
mc:dr-use1-eks:search:indexer-6af7422-f66fc:container_fs_usage_bytes,"{""value"":31067.29,""ts"":""2026-06-23 07:37:33""}",2026-06-23 07:37:33,2026-06-23 07:42:33
mc:prod-use2-eks:checkout:cart-svc-51c2594-4d271:container_memory_working_set_bytes,"{""value"":42315.3,""ts"":""2026-06-23 07:33:20""}",2026-06-23 07:33:20,2026-06-23 07:38:20
mc:prod-usw2-eks:payments:payments-worker-1d1bf52-dff66:container_cpu_usage_seconds_total,"{""value"":21011.1,""ts"":""2026-06-23 08:29:17""}",2026-06-23 08:29:17,2026-06-23 08:34:17
mc:prod-use2-eks:inventory:inventory-svc-bfded25-1e6d2:kube_pod_container_status_restarts_total,"{""value"":27391.85,""ts"":""2026-06-23 09:01:51""}",2026-06-23 09:01:51,2026-06-23 09:06:51
mc:prod-usw2-eks:identity:auth-gateway-ebb2b70-575e4:process_open_fds,"{""value"":37501.75,""ts"":""2026-06-23 11:34:35""}",2026-06-23 11:34:35,2026-06-23 11:39:35
mc:prod-use2-eks:orders:orders-worker-6ee3345-b0d20:tcp_established,"{""value"":11708.65,""ts"":""2026-06-23 11:37:59""}",2026-06-23 11:37:59,2026-06-23 11:42:59
mc:prod-use2-eks:payments:payments-worker-bff7264-02c23:go_gc_duration_seconds,"{""value"":91521.91,""ts"":""2026-06-23 07:09:31""}",2026-06-23 07:09:31,2026-06-23 07:14:31
mc:staging-use2-eks:platform:config-svc-929cd33-16be4:container_network_receive_bytes_total,"{""value"":88106.89,""ts"":""2026-06-23 11:08:34""}",2026-06-23 11:08:34,2026-06-23 11:13:34
mc:prod-use2-eks:orders:orders-api-e9b4a39-c3784:kube_pod_container_status_restarts_total,"{""value"":54040.88,""ts"":""2026-06-23 11:59:40""}",2026-06-23 11:59:40,2026-06-23 12:04:40
mc:prod-usw2-eks:payments:payments-worker-b4be648-d2dcb:kube_pod_container_status_restarts_total,"{""value"":27486.93,""ts"":""2026-06-23 11:02:49""}",2026-06-23 11:02:49,2026-06-23 11:07:49
mc:prod-use2-eks:orders:orders-worker-06e2683-7270e:container_network_receive_bytes_total,"{""value"":1632.5,""ts"":""2026-06-23 06:27:25""}",2026-06-23 06:27:25,2026-06-23 06:32:25
mc:prod-usw2-eks:identity:session-store-28ebc77-cf7c8:container_fs_usage_bytes,"{""value"":18635.74,""ts"":""2026-06-23 08:37:10""}",2026-06-23 08:37:10,2026-06-23 08:42:10
mc:prod-usw2-eks:orders:orders-api-cbca488-26609:container_memory_rss,"{""value"":72943.48,""ts"":""2026-06-23 10:26:29""}",2026-06-23 10:26:29,2026-06-23 10:31:29
mc:prod-usw2-eks:checkout:cart-svc-882ca58-64a75:container_memory_working_set_bytes,"{""value"":36209.6,""ts"":""2026-06-23 10:59:49""}",2026-06-23 10:59:49,2026-06-23 11:04:49
mc:prod-usw2-eks:ledger:ledger-svc-0744083-43011:kube_pod_container_status_restarts_total,"{""value"":97772.99,""ts"":""2026-06-23 06:30:51""}",2026-06-23 06:30:51,2026-06-23 06:35:51
mc:prod-usw2-eks:identity:auth-gateway-7d2aa28-56f78:container_memory_working_set_bytes,"{""value"":50000.29,""ts"":""2026-06-23 10:56:58""}",2026-06-23 10:56:58,2026-06-23 11:01:58
mc:prod-usw2-eks:platform:image-resizer-9683178-b7560:container_cpu_usage_seconds_total,"{""value"":32374.99,""ts"":""2026-06-23 11:52:06""}",2026-06-23 11:52:06,2026-06-23 11:57:06
mc:dr-use1-eks:notifications:notifications-b036879-82982:container_memory_working_set_bytes,"{""value"":71253.04,""ts"":""2026-06-23 08:03:58""}",2026-06-23 08:03:58,2026-06-23 08:08:58
mc:prod-use2-eks:payments:payments-api-58c5e74-26d34:go_gc_duration_seconds,"{""value"":47085.15,""ts"":""2026-06-23 08:18:08""}",2026-06-23 08:18:08,2026-06-23 08:23:08
mc:prod-usw2-eks:platform:image-resizer-6542c92-1100b:go_gc_duration_seconds,"{""value"":8267.1,""ts"":""2026-06-23 07:35:52""}",2026-06-23 07:35:52,2026-06-23 07:40:52
mc:prod-usw2-eks:platform:image-resizer-6542c92-1100b:kube_pod_container_status_restarts_total,"{""value"":84339.74,""ts"":""2026-06-23 07:54:05""}",2026-06-23 07:54:05,2026-06-23 07:59:05
mc:prod-usw2-eks:search:recommendation-87e3198-026ea:process_open_fds,"{""value"":7258.63,""ts"":""2026-06-23 11:37:40""}",2026-06-23 11:37:40,2026-06-23 11:42:40
mc:prod-usw2-eks:payments:payments-api-423b015-b80bd:http_request_duration_ms,"{""value"":10836.22,""ts"":""2026-06-23 07:22:57""}",2026-06-23 07:22:57,2026-06-23 07:27:57
mc:staging-use2-eks:search:search-api-1605640-8abaf:container_fs_usage_bytes,"{""value"":14437.38,""ts"":""2026-06-23 09:11:53""}",2026-06-23 09:11:53,2026-06-23 09:16:53
mc:prod-usw2-eks:kube-system:coredns-4a8b365-1d9fc:container_cpu_usage_seconds_total,"{""value"":20223.09,""ts"":""2026-06-23 07:58:41""}",2026-06-23 07:58:41,2026-06-23 08:03:41
mc:prod-usw2-eks:search:search-api-db28570-d359e:go_gc_duration_seconds,"{""value"":9306.34,""ts"":""2026-06-23 10:55:34""}",2026-06-23 10:55:34,2026-06-23 11:00:34
mc:prod-use2-eks:payments:payments-worker-6e38c94-75bbf:http_request_duration_ms,"{""value"":2864.47,""ts"":""2026-06-23 09:08:41""}",2026-06-23 09:08:41,2026-06-23 09:13:41
mc:staging-use2-eks:notifications:notifications-26e9347-44fc8:container_network_receive_bytes_total,"{""value"":17075.26,""ts"":""2026-06-23 06:44:51""}",2026-06-23 06:44:51,2026-06-23 06:49:51
mc:prod-use2-eks:orders:orders-api-e9b4a39-c3784:http_requests_total,"{""value"":48517.38,""ts"":""2026-06-23 06:44:09""}",2026-06-23 06:44:09,2026-06-23 06:49:09
mc:staging-use2-eks:identity:session-store-a097c68-649a1:process_open_fds,"{""value"":35084.07,""ts"":""2026-06-23 09:06:45""}",2026-06-23 09:06:45,2026-06-23 09:11:45
mc:prod-usw2-eks:search:recommendation-1e52697-e4756:process_open_fds,"{""value"":15793.77,""ts"":""2026-06-23 06:46:02""}",2026-06-23 06:46:02,2026-06-23 06:51:02
mc:staging-use2-eks:search:recommendation-2071c72-c0b22:http_requests_total,"{""value"":34067.75,""ts"":""2026-06-23 07:49:28""}",2026-06-23 07:49:28,2026-06-23 07:54:28
mc:prod-usw2-eks:checkout:cart-svc-0a94879-c1bba:tcp_established,"{""value"":2093.72,""ts"":""2026-06-23 09:25:17""}",2026-06-23 09:25:17,2026-06-23 09:30:17
mc:staging-use2-eks:search:search-api-8ca0b98-505ff:container_fs_usage_bytes,"{""value"":14934.93,""ts"":""2026-06-23 06:11:49""}",2026-06-23 06:11:49,2026-06-23 06:16:49
mc:prod-use2-eks:orders:orders-api-bfb2f93-32ad3:container_fs_usage_bytes,"{""value"":13987.87,""ts"":""2026-06-23 06:07:20""}",2026-06-23 06:07:20,2026-06-23 06:12:20
mc:prod-usw2-eks:platform:image-resizer-9683178-b7560:container_memory_working_set_bytes,"{""value"":38390.05,""ts"":""2026-06-23 07:48:45""}",2026-06-23 07:48:45,2026-06-23 07:53:45
mc:staging-use2-eks:notifications:notifications-26e9347-44fc8:container_memory_rss,"{""value"":51645.87,""ts"":""2026-06-23 11:13:57""}",2026-06-23 11:13:57,2026-06-23 11:18:57
