id,pattern_type,pattern_name,cluster_name,namespace,signature_vector,confidence,occurrence_count,first_seen,last_seen,metadata,created_at
22,memory_leak,coredns-rampup,prod-use2-eks,kube-system,"[0.114,0.769,0.263,0.478,0.621,0.508,0.619,0.179,0.427,0.386,0.994,0.271]",0.5966,58,2026-05-23 02:08:10,2026-05-25 10:33:46,"{""svc"":""coredns"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
23,cpu_spike,orders-worker-spike,prod-use2-eks,orders,"[0.749,0.949,0.907,0.553,0.564,0.414,0.647,0.208,0.326,0.723,0.261,0.317]",0.9266,153,2026-05-03 06:52:03,2026-06-19 17:08:18,"{""svc"":""orders-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
24,oom,inventory-svc-sawtooth,staging-use2-eks,inventory,"[0.083,0.586,0.464,0.332,0.814,0.031,0.668,0.251,0.376,0.655,0.787,0.69]",0.679,47,2026-04-29 21:40:38,2026-06-01 19:54:16,"{""svc"":""inventory-svc"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
25,cpu_spike,search-api-sawtooth,prod-use2-eks,search,"[0.104,0.176,0.995,0.339,0.286,0.737,0.084,0.631,0.032,0.234,0.536,0.463]",0.6994,68,2026-05-06 23:35:43,2026-06-14 02:49:42,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
26,oom,payments-api-plateau,prod-usw2-eks,payments,"[0.583,0.483,0.03,0.783,0.588,0.583,0.598,0.062,0.674,0.718,0.059,0.216]",0.792,111,2026-05-07 20:28:13,2026-06-14 08:30:04,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
27,latency,orders-worker-plateau,prod-usw2-eks,orders,"[0.269,0.665,0.39,0.065,0.778,0.709,0.63,0.113,0.228,0.527,0.292,0.683]",0.8434,91,2026-05-03 00:27:12,2026-05-28 02:48:55,"{""svc"":""orders-worker"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
28,crashloop,ledger-svc-sawtooth,prod-usw2-eks,ledger,"[0.366,0.029,0.507,0.677,0.501,0.831,0.578,0.095,0.865,0.692,0.189,0.926]",0.7936,79,2026-05-03 04:52:15,2026-06-21 15:18:56,"{""svc"":""ledger-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
29,latency,auth-gateway-spike,prod-use2-eks,identity,"[0.485,0.084,0.086,0.119,0.865,0.427,0.113,0.159,0.831,0.72,0.499,0.037]",0.6368,116,2026-05-15 15:38:09,2026-06-20 03:57:32,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
30,crashloop,orders-api-rampup,prod-usw2-eks,orders,"[0.675,0.224,0.567,0.772,0.554,0.133,0.024,0.507,0.238,0.367,0.701,0.843]",0.5304,28,2026-05-15 04:10:13,2026-06-05 05:52:50,"{""svc"":""orders-api"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
31,latency,config-svc-plateau,prod-use2-eks,platform,"[0.243,0.371,0.152,0.991,0.74,0.474,0.16,0.831,0.011,0.15,0.727,0.036]",0.9152,191,2026-05-22 09:10:54,2026-06-22 21:51:34,"{""svc"":""config-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
32,oom,notifications-sawtooth,prod-usw2-eks,notifications,"[0.531,0.299,0.715,0.721,0.601,0.657,0.806,0.923,0.853,0.862,0.413,0.936]",0.9069,15,2026-04-30 01:07:15,2026-06-04 11:06:59,"{""svc"":""notifications"",""scenario"":""healthy""}",2026-06-23 12:00:00
33,oom,recommendation-plateau,prod-usw2-eks,search,"[0.788,0.124,0.674,0.919,0.629,0.982,0.657,0.639,0.414,0.955,0.488,0.819]",0.6939,37,2026-04-27 13:55:28,2026-06-12 06:32:21,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
34,latency,checkout-web-sawtooth,prod-usw2-eks,checkout,"[0.225,0.513,0.31,0.639,0.096,0.776,0.572,0.132,0.332,0.473,0.723,0.565]",0.7087,45,2026-04-25 05:58:59,2026-06-07 09:14:06,"{""svc"":""checkout-web"",""scenario"":""healthy""}",2026-06-23 12:00:00
35,crashloop,search-api-rampup,prod-use2-eks,search,"[0.001,0.74,0.057,0.998,0.958,0.395,0.258,0.967,0.182,0.532,0.549,0.229]",0.8523,68,2026-05-22 08:21:46,2026-06-11 20:31:10,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
36,cpu_spike,cart-svc-sawtooth,prod-use2-eks,checkout,"[0.914,0.144,0.636,0.086,0.673,0.043,0.621,0.439,0.034,0.449,0.7,0.45]",0.865,193,2026-05-03 16:50:57,2026-06-16 07:02:29,"{""svc"":""cart-svc"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
37,latency,checkout-web-rampup,prod-use2-eks,checkout,"[0.071,0.741,0.107,0.415,0.752,0.828,0.989,0.599,0.524,0.804,0.223,0.68]",0.6334,5,2026-05-03 09:31:40,2026-06-05 14:55:21,"{""svc"":""checkout-web"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
38,crashloop,checkout-web-spike,dr-use1-eks,checkout,"[0.124,0.714,0.214,0.198,0.872,0.06,0.033,0.033,0.545,0.27,0.019,0.758]",0.9126,81,2026-05-06 10:34:23,2026-06-17 12:27:30,"{""svc"":""checkout-web"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
39,crashloop,search-api-spike,dr-use1-eks,search,"[0.773,0.33,0.203,0.032,0.733,0.878,0.957,0.427,0.492,0.469,0.435,0.416]",0.5745,178,2026-05-10 10:30:11,2026-06-03 00:50:08,"{""svc"":""search-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
40,latency,orders-api-spike,prod-use2-eks,orders,"[0.958,0.607,0.436,0.265,0.803,0.63,0.284,0.555,0.891,0.883,0.268,0.821]",0.5513,179,2026-04-29 02:50:25,2026-06-17 18:20:01,"{""svc"":""orders-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
41,oom,payments-worker-plateau,prod-use2-eks,payments,"[0.797,0.003,0.936,0.423,0.45,0.032,0.744,0.767,0.736,0.569,0.739,0.991]",0.5415,148,2026-04-25 08:09:27,2026-06-10 11:00:26,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
42,latency,checkout-web-sawtooth,prod-use2-eks,checkout,"[0.143,0.695,0.934,0.696,0.147,0.576,0.95,0.2,0.733,0.657,0.46,0.837]",0.8068,31,2026-05-14 00:48:10,2026-06-05 21:39:05,"{""svc"":""checkout-web"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
43,cpu_spike,inventory-svc-sawtooth,prod-use2-eks,inventory,"[0.223,0.844,0.438,0.162,0.491,0.471,0.96,0.239,0.054,0.017,0.625,0.194]",0.6646,23,2026-05-17 02:35:57,2026-05-31 05:40:57,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
44,latency,auth-gateway-plateau,staging-use2-eks,identity,"[0.581,0.339,0.259,0.432,0.722,0.685,0.682,0.919,0.345,0.502,0.222,0.57]",0.5109,129,2026-05-16 23:30:35,2026-06-07 03:36:29,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
45,cpu_spike,inventory-svc-plateau,prod-usw2-eks,inventory,"[0.406,0.557,0.884,0.022,0.717,0.748,0.069,0.479,0.332,0.421,0.965,0.342]",0.8871,27,2026-04-29 02:05:26,2026-05-24 13:09:22,"{""svc"":""inventory-svc"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
46,oom,auth-gateway-plateau,prod-usw2-eks,identity,"[0.634,0.082,0.172,0.11,0.185,0.451,0.437,0.883,0.19,0.347,0.131,0.092]",0.8854,171,2026-04-29 02:56:45,2026-05-24 17:29:38,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
47,memory_leak,config-svc-plateau,staging-use2-eks,platform,"[0.123,0.43,0.658,0.651,0.981,0.523,0.692,0.055,0.025,0.9,0.508,0.573]",0.6885,17,2026-05-18 23:58:52,2026-06-14 09:19:39,"{""svc"":""config-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
48,crashloop,indexer-plateau,prod-usw2-eks,search,"[0.422,0.585,0.372,0.013,0.756,0.06,0.745,0.392,0.692,0.695,0.614,0.033]",0.9013,159,2026-05-04 22:15:38,2026-06-07 15:58:24,"{""svc"":""indexer"",""scenario"":""healthy""}",2026-06-23 12:00:00
49,latency,search-api-spike,prod-use2-eks,search,"[0.239,0.677,0.753,0.52,0.164,0.036,0.368,0.677,0.117,0.288,0.989,0.73]",0.5219,178,2026-05-20 12:26:19,2026-05-27 01:28:14,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
50,latency,search-api-spike,prod-usw2-eks,search,"[0.203,0.096,0.66,0.947,0.592,0.995,0.854,0.236,0.482,0.352,0.785,0.26]",0.5075,105,2026-05-04 08:56:53,2026-05-29 12:47:50,"{""svc"":""search-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
51,crashloop,checkout-web-spike,prod-use2-eks,checkout,"[0.032,0.052,0.273,0.169,0.368,0.864,0.529,0.788,0.584,0.884,0.711,0.632]",0.6767,61,2026-05-11 19:02:37,2026-06-12 00:23:28,"{""svc"":""checkout-web"",""scenario"":""healthy""}",2026-06-23 12:00:00
52,latency,recommendation-rampup,prod-use2-eks,search,"[0.039,0.42,0.685,0.919,0.033,0.81,0.28,0.377,0.326,0.661,0.273,0.14]",0.7578,152,2026-05-14 00:08:16,2026-06-05 11:48:17,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
53,oom,checkout-web-plateau,prod-use2-eks,checkout,"[0.418,0.599,0.858,0.24,0.876,0.842,0.369,0.118,0.581,0.959,0.034,0.673]",0.8123,44,2026-05-03 15:11:59,2026-06-06 07:33:49,"{""svc"":""checkout-web"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
54,oom,search-api-sawtooth,staging-use2-eks,search,"[0.294,0.038,0.653,0.281,0.911,0.876,0.377,0.487,0.61,0.246,0.379,0.348]",0.7917,29,2026-05-13 12:04:22,2026-06-01 10:33:47,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
55,cpu_spike,payments-worker-rampup,prod-usw2-eks,payments,"[0.006,0.943,0.443,0.737,0.118,0.18,0.171,0.418,0.514,0.061,0.813,0.252]",0.5196,197,2026-05-05 12:51:30,2026-06-03 18:43:10,"{""svc"":""payments-worker"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
56,memory_leak,image-resizer-sawtooth,prod-use2-eks,platform,"[0.876,0.116,0.701,0.216,0.106,0.619,0.856,0.403,0.495,0.339,0.158,0.562]",0.5922,81,2026-05-17 20:28:23,2026-06-19 04:15:13,"{""svc"":""image-resizer"",""scenario"":""network_latency""}",2026-06-23 12:00:00
57,oom,search-api-rampup,staging-use2-eks,search,"[0.443,0.401,0.865,0.014,0.977,0.984,0.488,0.058,0.902,0.388,0.272,0.651]",0.7337,32,2026-05-07 03:00:26,2026-06-15 07:39:24,"{""svc"":""search-api"",""scenario"":""network_latency""}",2026-06-23 12:00:00
58,memory_leak,orders-worker-rampup,prod-usw2-eks,orders,"[0.434,0.529,0.529,0.345,0.131,0.051,0.02,0.011,0.663,0.275,0.89,0.47]",0.5944,108,2026-05-14 09:30:46,2026-05-31 00:20:49,"{""svc"":""orders-worker"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
59,latency,payments-worker-rampup,prod-use2-eks,payments,"[0.29,0.703,0.218,0.077,0.978,0.66,0.238,0.891,0.498,0.871,0.376,0.596]",0.9421,185,2026-05-19 00:45:25,2026-06-14 05:12:18,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
60,cpu_spike,search-api-plateau,prod-usw2-eks,search,"[0.259,0.453,0.684,0.427,0.677,0.318,0.374,0.565,0.238,0.211,0.246,0.979]",0.6462,10,2026-04-28 19:02:15,2026-06-06 02:50:08,"{""svc"":""search-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
61,memory_leak,auth-gateway-sawtooth,prod-use2-eks,identity,"[0.941,0.925,0.918,0.179,0.391,0.481,0.825,0.343,0.232,0.62,0.562,0.807]",0.8247,57,2026-05-06 22:43:00,2026-06-06 09:39:59,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
62,latency,auth-gateway-spike,staging-use2-eks,identity,"[0.053,0.993,0.748,0.731,0.243,0.615,0.049,0.255,0.382,0.115,0.385,0.661]",0.8011,109,2026-04-27 21:15:57,2026-05-25 00:08:30,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
63,crashloop,inventory-svc-rampup,prod-use2-eks,inventory,"[0.493,0.343,0.638,0.099,0.212,0.336,0.527,0.36,0.483,0.524,0.551,0.292]",0.8251,183,2026-05-12 00:32:14,2026-05-25 10:21:49,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
64,crashloop,recommendation-plateau,prod-usw2-eks,search,"[0.363,0.777,0.881,0.907,0.043,0.328,0.271,0.454,0.844,0.357,0.86,0.275]",0.7323,92,2026-05-08 17:54:53,2026-06-22 22:15:32,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
65,cpu_spike,session-store-sawtooth,staging-use2-eks,identity,"[0.299,0.201,0.794,0.478,0.174,0.294,0.241,0.965,0.066,0.256,0.094,0.793]",0.6512,15,2026-05-21 01:33:29,2026-06-06 13:59:40,"{""svc"":""session-store"",""scenario"":""network_latency""}",2026-06-23 12:00:00
66,memory_leak,orders-api-spike,prod-usw2-eks,orders,"[0.514,0.616,0.936,0.36,0.192,0.582,0.741,0.815,0.035,0.365,0.64,0.362]",0.8601,159,2026-04-28 09:23:00,2026-06-11 22:25:58,"{""svc"":""orders-api"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
67,cpu_spike,ledger-svc-sawtooth,prod-use2-eks,ledger,"[0.207,0.609,0.426,0.042,0.339,0.368,0.588,0.162,0.109,0.823,0.512,0.813]",0.9526,146,2026-05-07 08:44:24,2026-06-19 18:21:42,"{""svc"":""ledger-svc"",""scenario"":""cpu_throttle""}",2026-06-23 12:00:00
68,cpu_spike,payments-api-spike,prod-usw2-eks,payments,"[0.265,0.625,0.976,0.21,0.855,0.584,0.145,0.634,0.025,0.984,0.221,0.311]",0.6661,145,2026-05-12 18:33:40,2026-06-21 13:44:38,"{""svc"":""payments-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
69,crashloop,orders-worker-spike,prod-use2-eks,orders,"[0.548,0.209,0.125,0.089,0.198,0.832,0.357,0.825,0.656,0.732,0.988,0.356]",0.8982,34,2026-05-08 08:29:15,2026-06-14 12:29:05,"{""svc"":""orders-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
70,memory_leak,metrics-server-sawtooth,prod-use2-eks,kube-system,"[0.008,0.927,0.912,0.704,0.309,0.793,0.333,0.527,0.822,0.642,0.496,0.831]",0.9196,58,2026-05-15 04:56:00,2026-06-23 02:34:37,"{""svc"":""metrics-server"",""scenario"":""network_latency""}",2026-06-23 12:00:00
71,crashloop,notifications-plateau,prod-use2-eks,notifications,"[0.588,0.991,0.677,0.323,0.638,0.979,0.036,0.792,0.017,0.612,0.531,0.223]",0.8325,98,2026-05-09 21:11:51,2026-06-05 19:46:50,"{""svc"":""notifications"",""scenario"":""cpu_throttle""}",2026-06-23 12:00:00
72,memory_leak,auth-gateway-rampup,staging-use2-eks,identity,"[0.309,0.905,0.483,0.706,0.212,0.911,0.161,0.205,0.811,0.773,0.377,0.883]",0.6862,151,2026-04-30 13:38:28,2026-06-10 06:07:41,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
73,cpu_spike,ledger-svc-spike,prod-use2-eks,ledger,"[0.961,0.816,0.947,0.708,0.501,0.924,0.976,0.921,0.955,0.031,0.924,0.823]",0.572,55,2026-04-26 03:29:53,2026-06-21 09:03:10,"{""svc"":""ledger-svc"",""scenario"":""cpu_throttle""}",2026-06-23 12:00:00
74,oom,auth-gateway-rampup,prod-usw2-eks,identity,"[0.067,0.756,0.167,0.313,0.239,0.708,0.75,0.515,0.28,0.142,0.249,0.701]",0.5475,57,2026-04-29 07:20:01,2026-06-05 22:02:22,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
75,memory_leak,search-api-rampup,prod-use2-eks,search,"[0.526,0.25,0.869,0.249,0.593,0.629,0.31,0.36,0.166,0.438,0.53,0.699]",0.7252,16,2026-04-26 17:01:58,2026-05-26 19:48:41,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
76,cpu_spike,checkout-web-plateau,prod-use2-eks,checkout,"[0.277,0.735,0.605,0.607,0.102,0.451,0.742,0.618,0.717,0.377,0.504,0.469]",0.6921,28,2026-04-25 09:03:10,2026-06-10 03:27:09,"{""svc"":""checkout-web"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
77,memory_leak,checkout-web-plateau,prod-use2-eks,checkout,"[0.967,0.92,0.593,0.582,0.486,0.473,0.912,0.924,0.8,0.521,0.186,0.117]",0.8638,100,2026-05-08 10:25:56,2026-05-26 12:18:00,"{""svc"":""checkout-web"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
78,memory_leak,orders-api-spike,prod-use2-eks,orders,"[0.604,0.285,0.786,0.39,0.691,0.881,0.913,0.402,0.951,0.144,0.371,0.537]",0.5938,162,2026-05-15 12:33:15,2026-06-13 08:00:49,"{""svc"":""orders-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
79,latency,indexer-rampup,prod-usw2-eks,search,"[0.273,0.936,0.328,0.58,0.826,0.928,0.845,0.811,0.578,0.182,0.539,0.885]",0.5242,164,2026-05-06 15:32:20,2026-06-21 19:01:39,"{""svc"":""indexer"",""scenario"":""healthy""}",2026-06-23 12:00:00
80,crashloop,checkout-web-sawtooth,dr-use1-eks,checkout,"[0.11,0.449,0.694,0.417,0.841,0.973,0.294,0.876,0.931,0.666,0.234,0.583]",0.5453,200,2026-05-05 22:26:52,2026-06-16 07:25:26,"{""svc"":""checkout-web"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
81,cpu_spike,search-api-spike,prod-usw2-eks,search,"[0.326,0.723,0.736,0.142,0.572,0.639,0.679,0.679,0.99,0.622,0.272,0.991]",0.591,174,2026-05-14 04:07:22,2026-06-11 07:52:41,"{""svc"":""search-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
82,memory_leak,inventory-svc-rampup,dr-use1-eks,inventory,"[0.808,0.986,0.592,0.688,0.225,0.566,0.617,0.21,0.711,0.946,0.71,0.145]",0.7999,107,2026-05-22 03:02:54,2026-06-06 17:27:08,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
83,oom,config-svc-rampup,prod-usw2-eks,platform,"[0.442,0.911,0.625,0.013,0.142,0.056,0.748,0.117,0.922,0.626,0.559,0.817]",0.9247,84,2026-05-23 09:26:14,2026-06-20 07:40:47,"{""svc"":""config-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
84,oom,payments-api-plateau,prod-use2-eks,payments,"[0.874,0.324,0.429,0.094,0.675,0.633,0.368,0.91,0.74,0.435,0.178,0.647]",0.6305,18,2026-05-02 20:42:26,2026-06-11 02:39:43,"{""svc"":""payments-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
85,cpu_spike,notifications-spike,prod-usw2-eks,notifications,"[0.475,0.004,0.517,0.668,0.418,0.957,0.101,0.141,0.832,0.655,0.646,0.228]",0.8424,134,2026-05-13 19:38:16,2026-06-13 21:47:07,"{""svc"":""notifications"",""scenario"":""healthy""}",2026-06-23 12:00:00
86,cpu_spike,search-api-rampup,staging-use2-eks,search,"[0.219,0.785,0.986,0.895,0.434,0.399,0.207,0.47,0.108,0.832,0.413,0.013]",0.9695,33,2026-05-12 00:26:54,2026-05-24 19:58:26,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
87,oom,search-api-plateau,prod-use2-eks,search,"[0.038,0.664,0.516,0.425,0.114,0.671,0.216,0.187,0.342,0.0,0.268,0.846]",0.7867,3,2026-05-14 23:10:18,2026-05-24 13:06:39,"{""svc"":""search-api"",""scenario"":""healthy""}",2026-06-23 12:00:00
88,memory_leak,payments-worker-plateau,prod-use2-eks,payments,"[0.201,0.215,0.397,0.18,0.436,0.369,0.205,0.952,0.988,0.867,0.311,0.396]",0.792,166,2026-05-16 03:17:06,2026-05-28 12:40:40,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
89,crashloop,auth-gateway-rampup,prod-use2-eks,identity,"[0.581,0.081,0.877,0.862,0.753,0.286,0.898,0.637,0.504,0.492,0.33,0.041]",0.6933,142,2026-05-11 15:09:31,2026-06-16 22:42:57,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
