id,cluster_name,node_name,ready_status,cpu_capacity,memory_capacity,pod_capacity,cpu_allocatable,memory_allocatable,pod_allocatable,collected_at
30,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-24 21:00:19
31,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,106,2026-05-24 21:00:19
32,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,108,2026-05-24 21:00:19
33,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,53,2026-05-24 21:00:19
34,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,107,2026-05-24 21:00:19
35,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,104,2026-05-24 21:00:19
36,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,107,2026-05-24 21:00:19
37,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,false,16,64Gi,58,15200m,58Gi,53,2026-05-25 06:00:12
38,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,50,2026-05-25 06:00:12
39,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,108,2026-05-25 06:00:12
40,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,107,2026-05-25 06:00:12
41,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,50,2026-05-25 06:00:12
42,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,103,2026-05-25 06:00:12
43,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,104,2026-05-25 06:00:12
44,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,51,2026-05-25 06:00:12
45,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,106,2026-05-25 06:00:12
46,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-25 06:00:12
47,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,53,2026-05-25 06:00:12
48,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,108,2026-05-25 06:00:12
49,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,106,2026-05-25 06:00:12
50,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,106,2026-05-25 06:00:12
51,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,51,2026-05-25 06:00:12
52,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,102,2026-05-25 06:00:12
53,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,103,2026-05-25 06:00:12
54,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,105,2026-05-25 06:00:12
55,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,56,2026-05-25 15:00:07
56,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,51,2026-05-25 15:00:07
57,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,105,2026-05-25 15:00:07
58,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,104,2026-05-25 15:00:07
59,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,56,2026-05-25 15:00:07
60,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,104,2026-05-25 15:00:07
61,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,108,2026-05-25 15:00:07
62,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,54,2026-05-25 15:00:07
63,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,105,2026-05-25 15:00:07
64,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-25 15:00:07
65,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,55,2026-05-25 15:00:07
66,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,105,2026-05-25 15:00:07
67,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,104,2026-05-25 15:00:07
68,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,108,2026-05-25 15:00:07
69,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,55,2026-05-25 15:00:07
70,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,102,2026-05-25 15:00:07
71,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,false,8,64Gi,110,7600m,58Gi,105,2026-05-25 15:00:07
72,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,105,2026-05-25 15:00:07
73,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,52,2026-05-26 00:00:25
74,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,53,2026-05-26 00:00:25
75,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,105,2026-05-26 00:00:25
76,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,103,2026-05-26 00:00:25
77,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,54,2026-05-26 00:00:25
78,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,102,2026-05-26 00:00:25
79,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,105,2026-05-26 00:00:25
80,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,56,2026-05-26 00:00:25
81,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,false,16,64Gi,110,15200m,58Gi,103,2026-05-26 00:00:25
82,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,104,2026-05-26 00:00:25
83,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,53,2026-05-26 00:00:25
84,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,104,2026-05-26 00:00:25
85,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,105,2026-05-26 00:00:25
86,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,104,2026-05-26 00:00:25
87,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,53,2026-05-26 00:00:25
88,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,103,2026-05-26 00:00:25
89,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-26 00:00:25
90,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,103,2026-05-26 00:00:25
91,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,false,16,64Gi,58,15200m,58Gi,56,2026-05-26 08:59:41
92,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,50,2026-05-26 08:59:41
93,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,107,2026-05-26 08:59:41
94,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,105,2026-05-26 08:59:41
95,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,55,2026-05-26 08:59:41
96,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,106,2026-05-26 08:59:41
97,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,104,2026-05-26 08:59:41
98,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,51,2026-05-26 08:59:41
99,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,108,2026-05-26 08:59:41
100,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,107,2026-05-26 08:59:41
101,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,53,2026-05-26 08:59:41
102,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,104,2026-05-26 08:59:41
103,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,104,2026-05-26 08:59:41
104,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,104,2026-05-26 08:59:41
105,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,51,2026-05-26 08:59:41
106,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,106,2026-05-26 08:59:41
107,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,107,2026-05-26 08:59:41
108,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,108,2026-05-26 08:59:41
109,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,53,2026-05-26 18:00:20
110,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,56,2026-05-26 18:00:20
111,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,105,2026-05-26 18:00:20
112,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,103,2026-05-26 18:00:20
113,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,53,2026-05-26 18:00:20
114,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,108,2026-05-26 18:00:20
115,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,106,2026-05-26 18:00:20
116,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,56,2026-05-26 18:00:20
117,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,106,2026-05-26 18:00:20
118,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,108,2026-05-26 18:00:20
119,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,52,2026-05-26 18:00:20
120,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-26 18:00:20
121,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,106,2026-05-26 18:00:20
122,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,102,2026-05-26 18:00:20
123,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,56,2026-05-26 18:00:20
124,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,103,2026-05-26 18:00:20
125,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,104,2026-05-26 18:00:20
126,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,108,2026-05-26 18:00:20
127,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,55,2026-05-27 03:00:14
128,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,50,2026-05-27 03:00:14
129,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,105,2026-05-27 03:00:14
130,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,102,2026-05-27 03:00:14
131,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,55,2026-05-27 03:00:14
132,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,105,2026-05-27 03:00:14
133,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,105,2026-05-27 03:00:14
134,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,56,2026-05-27 03:00:14
135,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,108,2026-05-27 03:00:14
136,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,103,2026-05-27 03:00:14
137,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,56,2026-05-27 03:00:14
138,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,107,2026-05-27 03:00:14
139,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,108,2026-05-27 03:00:14
140,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,104,2026-05-27 03:00:14
141,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,55,2026-05-27 03:00:14
142,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,108,2026-05-27 03:00:14
143,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,103,2026-05-27 03:00:14
144,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,106,2026-05-27 03:00:14
145,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,54,2026-05-27 11:59:52
146,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,56,2026-05-27 11:59:52
147,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,106,2026-05-27 11:59:52
148,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,108,2026-05-27 11:59:52
149,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,52,2026-05-27 11:59:52
150,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,false,16,32Gi,110,15200m,29Gi,103,2026-05-27 11:59:52
151,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,104,2026-05-27 11:59:52
152,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,52,2026-05-27 11:59:52
153,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,104,2026-05-27 11:59:52
154,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,105,2026-05-27 11:59:52
155,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,55,2026-05-27 11:59:52
156,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,105,2026-05-27 11:59:52
157,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,105,2026-05-27 11:59:52
158,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,107,2026-05-27 11:59:52
159,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,50,2026-05-27 11:59:52
160,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,106,2026-05-27 11:59:52
161,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,107,2026-05-27 11:59:52
162,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,108,2026-05-27 11:59:52
163,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,52,2026-05-27 20:59:41
164,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,55,2026-05-27 20:59:41
165,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,104,2026-05-27 20:59:41
166,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,107,2026-05-27 20:59:41
167,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,56,2026-05-27 20:59:41
168,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,103,2026-05-27 20:59:41
169,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,105,2026-05-27 20:59:41
170,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,false,16,32Gi,58,15200m,29Gi,52,2026-05-27 20:59:41
171,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,105,2026-05-27 20:59:41
172,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,106,2026-05-27 20:59:41
173,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,53,2026-05-27 20:59:41
174,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,104,2026-05-27 20:59:41
175,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,107,2026-05-27 20:59:41
176,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,104,2026-05-27 20:59:41
177,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,53,2026-05-27 20:59:41
178,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,106,2026-05-27 20:59:41
179,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-27 20:59:41
180,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,105,2026-05-27 20:59:41
181,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,55,2026-05-28 06:00:02
182,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,56,2026-05-28 06:00:02
183,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,106,2026-05-28 06:00:02
184,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,105,2026-05-28 06:00:02
185,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,51,2026-05-28 06:00:02
186,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,102,2026-05-28 06:00:02
187,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,108,2026-05-28 06:00:02
188,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,56,2026-05-28 06:00:02
189,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,104,2026-05-28 06:00:02
190,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,108,2026-05-28 06:00:02
191,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,56,2026-05-28 06:00:02
192,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-28 06:00:02
193,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,102,2026-05-28 06:00:02
194,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,108,2026-05-28 06:00:02
195,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,53,2026-05-28 06:00:02
196,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,108,2026-05-28 06:00:02
197,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-28 06:00:02
198,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,107,2026-05-28 06:00:02
199,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,55,2026-05-28 15:00:00
200,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,52,2026-05-28 15:00:00
201,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,106,2026-05-28 15:00:00
202,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,104,2026-05-28 15:00:00
203,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,56,2026-05-28 15:00:00
204,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,105,2026-05-28 15:00:00
205,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,105,2026-05-28 15:00:00
206,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,55,2026-05-28 15:00:00
207,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,104,2026-05-28 15:00:00
