node_id,dag_id,node_type,task_name,agent_name,agent_layer,status,created_at,started_at,completed_at,duration_ms,input_data,output_data,error_message,retry_count,max_retries,cpu_usage_ms,memory_usage_mb,metadata,updated_at
node-49fcd98d-e60,dag-a43df2a1-883,task,decide_action,worker-dr-use1-eks-01,worker,FAILED,2026-06-03 17:28:29,2026-06-03 17:28:29,2026-06-03 17:28:32,2630,"{""k"":2}","{""ok"":false}",exception,2,3,2280,373,"{""layer"":""worker""}",2026-06-23 12:00:00
node-ea53601f-608,dag-a43df2a1-883,action,evaluate_risk,cluster_manager-dr-use1-eks-01,manager,RUNNING,2026-06-03 17:28:32,2026-06-03 17:28:32,,,"{""k"":3}","{""ok"":false}",,0,3,1832,33,"{""layer"":""manager""}",2026-06-23 12:00:00
node-8f8a06cf-fc0,dag-a43df2a1-883,action,notify,worker-prod-usw2-eks-03,worker,COMPLETED,2026-06-03 17:28:35,2026-06-03 17:28:35,2026-06-03 17:28:41,6071,"{""k"":4}","{""ok"":true}",,0,3,120,253,"{""layer"":""worker""}",2026-06-23 12:00:00
node-dbabeebc-4b6,dag-2b2ee456-36d,task,decide_action,worker-dr-use1-eks-04,worker,COMPLETED,2026-06-04 07:41:09,2026-06-04 07:41:09,2026-06-04 07:41:12,2254,"{""k"":0}","{""ok"":true}",,0,3,1634,85,"{""layer"":""worker""}",2026-06-23 12:00:00
node-fcf10253-c63,dag-2b2ee456-36d,task,decide_action,strategist-dr-use1-eks-00,strategist,COMPLETED,2026-06-04 07:41:12,2026-06-04 07:41:12,2026-06-04 07:41:17,4616,"{""k"":1}","{""ok"":true}",,0,3,2993,133,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-0bc664af-48e,dag-2b2ee456-36d,io,execute_action,worker-prod-use2-eks-02,worker,COMPLETED,2026-06-04 07:41:15,2026-06-04 07:41:15,2026-06-04 07:41:18,2587,"{""k"":2}","{""ok"":true}",,0,3,164,122,"{""layer"":""worker""}",2026-06-23 12:00:00
node-60738a1f-ad4,dag-2b2ee456-36d,decision,evaluate_risk,worker-prod-use2-eks-01,worker,COMPLETED,2026-06-04 07:41:18,2026-06-04 07:41:18,2026-06-04 07:41:26,7819,"{""k"":3}","{""ok"":true}",,0,3,598,90,"{""layer"":""worker""}",2026-06-23 12:00:00
node-e7b170e7-8d9,dag-2b2ee456-36d,io,match_sop,worker-prod-use2-eks-01,worker,COMPLETED,2026-06-04 07:41:21,2026-06-04 07:41:21,2026-06-04 07:41:26,4440,"{""k"":4}","{""ok"":true}",,0,3,453,200,"{""layer"":""worker""}",2026-06-23 12:00:00
node-52ef2440-055,dag-2e9062a6-45f,task,decide_action,worker-staging-use2-eks-01,worker,COMPLETED,2026-06-11 13:45:38,2026-06-11 13:45:38,2026-06-11 13:45:43,4904,"{""k"":0}","{""ok"":true}",,0,3,459,231,"{""layer"":""worker""}",2026-06-23 12:00:00
node-28acdd51-5d5,dag-2e9062a6-45f,io,execute_action,worker-prod-usw2-eks-04,worker,PENDING,2026-06-11 13:45:41,2026-06-11 13:45:41,,,"{""k"":1}","{""ok"":false}",,0,3,625,218,"{""layer"":""worker""}",2026-06-23 12:00:00
node-5942915c-d59,dag-2e9062a6-45f,action,collect_metrics,cluster_manager-prod-use2-eks-00,manager,PENDING,2026-06-11 13:45:44,2026-06-11 13:45:44,,,"{""k"":2}","{""ok"":false}",,0,3,3486,272,"{""layer"":""manager""}",2026-06-23 12:00:00
node-b70b8953-cbb,dag-2e9062a6-45f,decision,decide_action,cluster_manager-prod-use2-eks-01,manager,PENDING,2026-06-11 13:45:47,2026-06-11 13:45:47,,,"{""k"":3}","{""ok"":false}",,0,3,838,255,"{""layer"":""manager""}",2026-06-23 12:00:00
node-29cf087b-059,dag-b6f74bb0-4bd,decision,run_prediction,cluster_manager-dr-use1-eks-01,manager,COMPLETED,2026-06-01 13:32:02,2026-06-01 13:32:02,2026-06-01 13:32:03,612,"{""k"":0}","{""ok"":true}",,0,3,1422,361,"{""layer"":""manager""}",2026-06-23 12:00:00
node-0e729a3f-890,dag-b6f74bb0-4bd,decision,decide_action,worker-staging-use2-eks-02,worker,RUNNING,2026-06-01 13:32:05,2026-06-01 13:32:05,,,"{""k"":1}","{""ok"":false}",,0,3,2418,229,"{""layer"":""worker""}",2026-06-23 12:00:00
node-64a744ff-eec,dag-b6f74bb0-4bd,action,notify,worker-staging-use2-eks-01,worker,RUNNING,2026-06-01 13:32:08,2026-06-01 13:32:08,,,"{""k"":2}","{""ok"":false}",,0,3,2699,297,"{""layer"":""worker""}",2026-06-23 12:00:00
node-38dd1a44-bbc,dag-b6f74bb0-4bd,task,match_sop,worker-prod-use2-eks-04,worker,PENDING,2026-06-01 13:32:11,2026-06-01 13:32:11,,,"{""k"":3}","{""ok"":false}",,0,3,1574,491,"{""layer"":""worker""}",2026-06-23 12:00:00
node-6373b8a3-bc6,dag-ad0612de-9e4,io,execute_action,strategist-staging-use2-eks-00,strategist,COMPLETED,2026-05-25 00:54:34,2026-05-25 00:54:34,2026-05-25 00:54:34,187,"{""k"":0}","{""ok"":true}",,0,3,3031,131,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-a6bb4ce3-bb2,dag-ad0612de-9e4,decision,evaluate_risk,cluster_manager-prod-usw2-eks-01,manager,COMPLETED,2026-05-25 00:54:37,2026-05-25 00:54:37,2026-05-25 00:54:42,5416,"{""k"":1}","{""ok"":true}",,0,3,2003,56,"{""layer"":""manager""}",2026-06-23 12:00:00
node-a32a036b-06e,dag-ad0612de-9e4,task,match_sop,worker-prod-usw2-eks-00,worker,COMPLETED,2026-05-25 00:54:40,2026-05-25 00:54:40,2026-05-25 00:54:43,3584,"{""k"":2}","{""ok"":true}",,0,3,3908,494,"{""layer"":""worker""}",2026-06-23 12:00:00
node-31e5eda3-165,dag-ad0612de-9e4,task,verify_outcome,worker-prod-use2-eks-03,worker,COMPLETED,2026-05-25 00:54:43,2026-05-25 00:54:43,2026-05-25 00:54:47,4138,"{""k"":3}","{""ok"":true}",,0,3,513,38,"{""layer"":""worker""}",2026-06-23 12:00:00
node-132c585b-4a1,dag-29d291d3-a5d,task,match_sop,worker-staging-use2-eks-03,worker,PENDING,2026-06-16 03:14:53,2026-06-16 03:14:53,,,"{""k"":0}","{""ok"":false}",,0,3,1556,272,"{""layer"":""worker""}",2026-06-23 12:00:00
node-b444ad11-8f9,dag-29d291d3-a5d,task,execute_action,strategist-staging-use2-eks-00,strategist,PENDING,2026-06-16 03:14:56,2026-06-16 03:14:56,,,"{""k"":1}","{""ok"":false}",,0,3,2878,335,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-f8344b5f-b58,dag-29d291d3-a5d,io,notify,worker-dr-use1-eks-00,worker,RUNNING,2026-06-16 03:14:59,2026-06-16 03:14:59,,,"{""k"":2}","{""ok"":false}",,0,3,3342,103,"{""layer"":""worker""}",2026-06-23 12:00:00
node-fdef43d0-5ff,dag-29d291d3-a5d,io,collect_metrics,worker-staging-use2-eks-04,worker,COMPLETED,2026-06-16 03:15:02,2026-06-16 03:15:02,2026-06-16 03:15:10,7947,"{""k"":3}","{""ok"":true}",,0,3,3580,29,"{""layer"":""worker""}",2026-06-23 12:00:00
node-399ae34a-d8f,dag-29d291d3-a5d,decision,evaluate_risk,worker-staging-use2-eks-03,worker,RUNNING,2026-06-16 03:15:05,2026-06-16 03:15:05,,,"{""k"":4}","{""ok"":false}",,0,3,3286,394,"{""layer"":""worker""}",2026-06-23 12:00:00
node-f30bd694-004,dag-29d291d3-a5d,decision,notify,cluster_manager-dr-use1-eks-01,manager,PENDING,2026-06-16 03:15:08,2026-06-16 03:15:08,,,"{""k"":5}","{""ok"":false}",,0,3,484,241,"{""layer"":""manager""}",2026-06-23 12:00:00
node-1404520e-8ee,dag-29d291d3-a5d,decision,decide_action,worker-dr-use1-eks-02,worker,FAILED,2026-06-16 03:15:11,2026-06-16 03:15:11,2026-06-16 03:15:13,2124,"{""k"":6}","{""ok"":false}",exception,2,3,3711,407,"{""layer"":""worker""}",2026-06-23 12:00:00
node-1626f8e0-ade,dag-29d291d3-a5d,decision,match_sop,worker-prod-usw2-eks-01,worker,RUNNING,2026-06-16 03:15:14,2026-06-16 03:15:14,,,"{""k"":7}","{""ok"":false}",,0,3,49,94,"{""layer"":""worker""}",2026-06-23 12:00:00
node-1c229ace-ad8,dag-29d291d3-a5d,decision,decide_action,strategist-prod-use2-eks-00,strategist,COMPLETED,2026-06-16 03:15:17,2026-06-16 03:15:17,2026-06-16 03:15:17,170,"{""k"":8}","{""ok"":true}",,0,3,3357,74,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-87c244f4-a84,dag-9be788b0-23d,action,run_prediction,strategist-prod-usw2-eks-00,strategist,FAILED,2026-05-25 06:08:20,2026-05-25 06:08:20,2026-05-25 06:08:25,4483,"{""k"":0}","{""ok"":false}",invalid input,2,3,2170,447,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-2eaa5148-f68,dag-9be788b0-23d,task,collect_metrics,worker-dr-use1-eks-04,worker,FAILED,2026-05-25 06:08:23,2026-05-25 06:08:23,2026-05-25 06:08:28,4500,"{""k"":1}","{""ok"":false}",invalid input,3,3,1204,502,"{""layer"":""worker""}",2026-06-23 12:00:00
node-199f568e-93b,dag-9be788b0-23d,action,execute_action,cluster_manager-dr-use1-eks-00,manager,PENDING,2026-05-25 06:08:26,2026-05-25 06:08:26,,,"{""k"":2}","{""ok"":false}",,0,3,3992,189,"{""layer"":""manager""}",2026-06-23 12:00:00
node-19d43754-551,dag-9be788b0-23d,action,collect_metrics,strategist-dr-use1-eks-00,strategist,RUNNING,2026-05-25 06:08:29,2026-05-25 06:08:29,,,"{""k"":3}","{""ok"":false}",,0,3,2548,268,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-808a8107-fd7,dag-9be788b0-23d,task,run_prediction,worker-staging-use2-eks-02,worker,PENDING,2026-05-25 06:08:32,2026-05-25 06:08:32,,,"{""k"":4}","{""ok"":false}",,0,3,1909,486,"{""layer"":""worker""}",2026-06-23 12:00:00
node-b4200581-417,dag-9be788b0-23d,io,decide_action,worker-staging-use2-eks-03,worker,PENDING,2026-05-25 06:08:35,2026-05-25 06:08:35,,,"{""k"":5}","{""ok"":false}",,0,3,514,20,"{""layer"":""worker""}",2026-06-23 12:00:00
node-1a852f03-26b,dag-9be788b0-23d,action,verify_outcome,worker-dr-use1-eks-02,worker,PENDING,2026-05-25 06:08:38,2026-05-25 06:08:38,,,"{""k"":6}","{""ok"":false}",,0,3,3887,103,"{""layer"":""worker""}",2026-06-23 12:00:00
node-5c34963a-511,dag-3767290b-ff3,task,run_prediction,worker-dr-use1-eks-03,worker,COMPLETED,2026-06-16 07:39:51,2026-06-16 07:39:51,2026-06-16 07:39:56,5234,"{""k"":0}","{""ok"":true}",,0,3,3075,71,"{""layer"":""worker""}",2026-06-23 12:00:00
node-8dffd219-3b8,dag-3767290b-ff3,io,decide_action,worker-dr-use1-eks-05,worker,COMPLETED,2026-06-16 07:39:54,2026-06-16 07:39:54,2026-06-16 07:39:59,4844,"{""k"":1}","{""ok"":true}",,0,3,2618,358,"{""layer"":""worker""}",2026-06-23 12:00:00
node-f2dd5e37-e5e,dag-3767290b-ff3,decision,collect_metrics,cluster_manager-staging-use2-eks-00,manager,COMPLETED,2026-06-16 07:39:57,2026-06-16 07:39:57,2026-06-16 07:40:04,7052,"{""k"":2}","{""ok"":true}",,0,3,1013,472,"{""layer"":""manager""}",2026-06-23 12:00:00
node-a93a6955-fdf,dag-3767290b-ff3,action,notify,worker-prod-usw2-eks-00,worker,COMPLETED,2026-06-16 07:40:00,2026-06-16 07:40:00,2026-06-16 07:40:05,5247,"{""k"":3}","{""ok"":true}",,0,3,1763,25,"{""layer"":""worker""}",2026-06-23 12:00:00
node-d7aed7c1-333,dag-3767290b-ff3,action,execute_action,worker-dr-use1-eks-01,worker,COMPLETED,2026-06-16 07:40:03,2026-06-16 07:40:03,2026-06-16 07:40:03,56,"{""k"":4}","{""ok"":true}",,0,3,3099,137,"{""layer"":""worker""}",2026-06-23 12:00:00
node-63c03043-72a,dag-3767290b-ff3,decision,execute_action,cluster_manager-prod-use2-eks-01,manager,COMPLETED,2026-06-16 07:40:06,2026-06-16 07:40:06,2026-06-16 07:40:08,2666,"{""k"":5}","{""ok"":true}",,0,3,1370,77,"{""layer"":""manager""}",2026-06-23 12:00:00
node-986451a7-369,dag-3767290b-ff3,task,run_prediction,cluster_manager-staging-use2-eks-00,manager,COMPLETED,2026-06-16 07:40:09,2026-06-16 07:40:09,2026-06-16 07:40:14,4831,"{""k"":6}","{""ok"":true}",,0,3,970,145,"{""layer"":""manager""}",2026-06-23 12:00:00
node-85a128b9-8a2,dag-3767290b-ff3,task,collect_metrics,strategist-dr-use1-eks-00,strategist,COMPLETED,2026-06-16 07:40:12,2026-06-16 07:40:12,2026-06-16 07:40:19,7781,"{""k"":7}","{""ok"":true}",,0,3,3671,231,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-f0979e8f-dcf,dag-3767290b-ff3,io,run_prediction,cluster_manager-prod-usw2-eks-00,manager,COMPLETED,2026-06-16 07:40:15,2026-06-16 07:40:15,2026-06-16 07:40:21,6801,"{""k"":8}","{""ok"":true}",,0,3,3660,479,"{""layer"":""manager""}",2026-06-23 12:00:00
node-2479c2a0-963,dag-cfce6f05-a4f,action,collect_metrics,worker-prod-use2-eks-01,worker,COMPLETED,2026-06-09 04:34:21,2026-06-09 04:34:21,2026-06-09 04:34:24,2904,"{""k"":0}","{""ok"":true}",,0,3,3218,255,"{""layer"":""worker""}",2026-06-23 12:00:00
node-1e6686db-b5f,dag-cfce6f05-a4f,decision,verify_outcome,worker-prod-usw2-eks-04,worker,COMPLETED,2026-06-09 04:34:24,2026-06-09 04:34:24,2026-06-09 04:34:28,4230,"{""k"":1}","{""ok"":true}",,0,3,2125,218,"{""layer"":""worker""}",2026-06-23 12:00:00
node-bbb08dbc-85d,dag-cfce6f05-a4f,io,collect_metrics,worker-prod-use2-eks-00,worker,COMPLETED,2026-06-09 04:34:27,2026-06-09 04:34:27,2026-06-09 04:34:35,7953,"{""k"":2}","{""ok"":true}",,0,3,978,426,"{""layer"":""worker""}",2026-06-23 12:00:00
node-82279082-bef,dag-cfce6f05-a4f,io,evaluate_risk,worker-dr-use1-eks-01,worker,COMPLETED,2026-06-09 04:34:30,2026-06-09 04:34:30,2026-06-09 04:34:34,3892,"{""k"":3}","{""ok"":true}",,0,3,1298,163,"{""layer"":""worker""}",2026-06-23 12:00:00
node-9ceeb50f-e5d,dag-cfce6f05-a4f,io,evaluate_risk,strategist-dr-use1-eks-00,strategist,COMPLETED,2026-06-09 04:34:33,2026-06-09 04:34:33,2026-06-09 04:34:36,3040,"{""k"":4}","{""ok"":true}",,0,3,2548,474,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-7ba4ec3a-a7c,dag-cfce6f05-a4f,action,run_prediction,worker-dr-use1-eks-02,worker,COMPLETED,2026-06-09 04:34:36,2026-06-09 04:34:36,2026-06-09 04:34:36,346,"{""k"":5}","{""ok"":true}",,0,3,1133,439,"{""layer"":""worker""}",2026-06-23 12:00:00
node-6ce7280d-d4c,dag-cfce6f05-a4f,io,match_sop,cluster_manager-prod-use2-eks-00,manager,COMPLETED,2026-06-09 04:34:39,2026-06-09 04:34:39,2026-06-09 04:34:39,680,"{""k"":6}","{""ok"":true}",,0,3,506,135,"{""layer"":""manager""}",2026-06-23 12:00:00
node-2c469c03-bad,dag-cfce6f05-a4f,io,notify,cluster_manager-staging-use2-eks-01,manager,COMPLETED,2026-06-09 04:34:42,2026-06-09 04:34:42,2026-06-09 04:34:43,1676,"{""k"":7}","{""ok"":true}",,0,3,1726,283,"{""layer"":""manager""}",2026-06-23 12:00:00
node-d4b6cfc1-3ed,dag-e0f5899e-7d5,task,execute_action,worker-prod-use2-eks-00,worker,PENDING,2026-06-16 06:59:43,2026-06-16 06:59:43,,,"{""k"":0}","{""ok"":false}",,0,3,896,191,"{""layer"":""worker""}",2026-06-23 12:00:00
node-c2d0ffe8-588,dag-e0f5899e-7d5,decision,run_prediction,worker-staging-use2-eks-04,worker,FAILED,2026-06-16 06:59:46,2026-06-16 06:59:46,2026-06-16 06:59:50,3648,"{""k"":1}","{""ok"":false}",invalid input,3,3,1986,433,"{""layer"":""worker""}",2026-06-23 12:00:00
node-c3aafde8-507,dag-e0f5899e-7d5,action,collect_metrics,worker-prod-usw2-eks-04,worker,FAILED,2026-06-16 06:59:49,2026-06-16 06:59:49,2026-06-16 06:59:54,4233,"{""k"":2}","{""ok"":false}",exception,3,3,3100,214,"{""layer"":""worker""}",2026-06-23 12:00:00
node-a280d2c2-8d1,dag-811d23e8-ce1,task,decide_action,cluster_manager-staging-use2-eks-01,manager,FAILED,2026-06-14 01:27:51,2026-06-14 01:27:51,2026-06-14 01:27:59,7783,"{""k"":0}","{""ok"":false}",timeout,2,3,1366,82,"{""layer"":""manager""}",2026-06-23 12:00:00
node-51623f28-4be,dag-811d23e8-ce1,task,decide_action,cluster_manager-staging-use2-eks-00,manager,PENDING,2026-06-14 01:27:54,2026-06-14 01:27:54,,,"{""k"":1}","{""ok"":false}",,0,3,797,439,"{""layer"":""manager""}",2026-06-23 12:00:00
node-fae71ae8-cac,dag-811d23e8-ce1,action,verify_outcome,strategist-staging-use2-eks-00,strategist,PENDING,2026-06-14 01:27:57,2026-06-14 01:27:57,,,"{""k"":2}","{""ok"":false}",,0,3,82,289,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-b73bc92f-64c,dag-811d23e8-ce1,action,execute_action,worker-staging-use2-eks-01,worker,COMPLETED,2026-06-14 01:28:00,2026-06-14 01:28:00,2026-06-14 01:28:06,5768,"{""k"":3}","{""ok"":true}",,0,3,1791,134,"{""layer"":""worker""}",2026-06-23 12:00:00
node-98bab491-4f1,dag-811d23e8-ce1,task,collect_metrics,strategist-dr-use1-eks-00,strategist,COMPLETED,2026-06-14 01:28:03,2026-06-14 01:28:03,2026-06-14 01:28:09,5876,"{""k"":4}","{""ok"":true}",,0,3,1641,384,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-d964217b-116,dag-811d23e8-ce1,io,run_prediction,worker-dr-use1-eks-05,worker,RUNNING,2026-06-14 01:28:06,2026-06-14 01:28:06,,,"{""k"":5}","{""ok"":false}",,0,3,3998,215,"{""layer"":""worker""}",2026-06-23 12:00:00
node-ee440b4e-fbf,dag-811d23e8-ce1,task,collect_metrics,strategist-prod-use2-eks-00,strategist,COMPLETED,2026-06-14 01:28:09,2026-06-14 01:28:09,2026-06-14 01:28:11,2493,"{""k"":6}","{""ok"":true}",,0,3,2947,356,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-91b3cd98-d79,dag-811d23e8-ce1,io,notify,strategist-prod-usw2-eks-00,strategist,PENDING,2026-06-14 01:28:12,2026-06-14 01:28:12,,,"{""k"":7}","{""ok"":false}",,0,3,2488,505,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-89190208-cf1,dag-8082f6a3-a8d,io,verify_outcome,worker-prod-use2-eks-05,worker,PENDING,2026-06-03 11:39:00,2026-06-03 11:39:00,,,"{""k"":0}","{""ok"":false}",,0,3,931,291,"{""layer"":""worker""}",2026-06-23 12:00:00
node-fc2ac61d-297,dag-8082f6a3-a8d,task,run_prediction,strategist-staging-use2-eks-00,strategist,RUNNING,2026-06-03 11:39:03,2026-06-03 11:39:03,,,"{""k"":1}","{""ok"":false}",,0,3,2201,205,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-bd9fa3f0-936,dag-8082f6a3-a8d,decision,notify,worker-dr-use1-eks-00,worker,COMPLETED,2026-06-03 11:39:06,2026-06-03 11:39:06,2026-06-03 11:39:09,3516,"{""k"":2}","{""ok"":true}",,0,3,3283,215,"{""layer"":""worker""}",2026-06-23 12:00:00
node-78caa954-f96,dag-8082f6a3-a8d,decision,run_prediction,cluster_manager-staging-use2-eks-01,manager,FAILED,2026-06-03 11:39:09,2026-06-03 11:39:09,2026-06-03 11:39:10,1291,"{""k"":3}","{""ok"":false}",timeout,1,3,620,422,"{""layer"":""manager""}",2026-06-23 12:00:00
node-bce1d612-621,dag-778943e7-233,task,decide_action,strategist-staging-use2-eks-00,strategist,COMPLETED,2026-06-13 20:34:33,2026-06-13 20:34:33,2026-06-13 20:34:36,2684,"{""k"":0}","{""ok"":true}",,0,3,3909,341,"{""layer"":""strategist""}",2026-06-23 12:00:00
node-5e022808-903,dag-778943e7-233,action,verify_outcome,worker-prod-usw2-eks-00,worker,COMPLETED,2026-06-13 20:34:36,2026-06-13 20:34:36,2026-06-13 20:34:42,5897,"{""k"":1}","{""ok"":true}",,0,3,638,342,"{""layer"":""worker""}",2026-06-23 12:00:00
node-dd1dc97d-2c1,dag-778943e7-233,task,match_sop,worker-prod-usw2-eks-04,worker,COMPLETED,2026-06-13 20:34:39,2026-06-13 20:34:39,2026-06-13 20:34:41,1429,"{""k"":2}","{""ok"":true}",,0,3,2492,449,"{""layer"":""worker""}",2026-06-23 12:00:00
node-3f34d114-088,dag-778943e7-233,task,notify,cluster_manager-staging-use2-eks-00,manager,COMPLETED,2026-06-13 20:34:42,2026-06-13 20:34:42,2026-06-13 20:34:47,4455,"{""k"":3}","{""ok"":true}",,0,3,2309,114,"{""layer"":""manager""}",2026-06-23 12:00:00
node-a869d1c8-fe3,dag-778943e7-233,io,decide_action,worker-dr-use1-eks-00,worker,COMPLETED,2026-06-13 20:34:45,2026-06-13 20:34:45,2026-06-13 20:34:51,5112,"{""k"":4}","{""ok"":true}",,0,3,3293,323,"{""layer"":""worker""}",2026-06-23 12:00:00
node-f8f055d5-bf1,dag-778943e7-233,io,execute_action,cluster_manager-staging-use2-eks-00,manager,COMPLETED,2026-06-13 20:34:48,2026-06-13 20:34:48,2026-06-13 20:34:51,2889,"{""k"":5}","{""ok"":true}",,0,3,933,242,"{""layer"":""manager""}",2026-06-23 12:00:00
node-799955d9-bea,dag-778943e7-233,decision,notify,worker-prod-usw2-eks-01,worker,COMPLETED,2026-06-13 20:34:51,2026-06-13 20:34:51,2026-06-13 20:34:54,2299,"{""k"":6}","{""ok"":true}",,0,3,2679,367,"{""layer"":""worker""}",2026-06-23 12:00:00
node-7f0b232f-5e2,dag-778943e7-233,action,decide_action,worker-prod-usw2-eks-04,worker,COMPLETED,2026-06-13 20:34:54,2026-06-13 20:34:54,2026-06-13 20:35:01,6722,"{""k"":7}","{""ok"":true}",,0,3,2516,322,"{""layer"":""worker""}",2026-06-23 12:00:00
node-93d9a24c-b2a,dag-2b2c1fce-6b5,io,execute_action,worker-staging-use2-eks-04,worker,RUNNING,2026-05-30 22:41:00,2026-05-30 22:41:00,,,"{""k"":0}","{""ok"":false}",,0,3,2732,117,"{""layer"":""worker""}",2026-06-23 12:00:00
node-f3802ab7-118,dag-2b2c1fce-6b5,task,notify,worker-prod-usw2-eks-03,worker,PENDING,2026-05-30 22:41:03,2026-05-30 22:41:03,,,"{""k"":1}","{""ok"":false}",,0,3,1302,150,"{""layer"":""worker""}",2026-06-23 12:00:00
node-da23b956-33d,dag-2b2c1fce-6b5,io,execute_action,worker-prod-usw2-eks-00,worker,PENDING,2026-05-30 22:41:06,2026-05-30 22:41:06,,,"{""k"":2}","{""ok"":false}",,0,3,683,162,"{""layer"":""worker""}",2026-06-23 12:00:00
node-4603c87f-554,dag-2b2c1fce-6b5,io,execute_action,worker-prod-usw2-eks-00,worker,COMPLETED,2026-05-30 22:41:09,2026-05-30 22:41:09,2026-05-30 22:41:09,268,"{""k"":3}","{""ok"":true}",,0,3,3039,59,"{""layer"":""worker""}",2026-06-23 12:00:00
node-0b1b1b3b-8b1,dag-2b2c1fce-6b5,action,verify_outcome,worker-dr-use1-eks-01,worker,PENDING,2026-05-30 22:41:12,2026-05-30 22:41:12,,,"{""k"":4}","{""ok"":false}",,0,3,2016,470,"{""layer"":""worker""}",2026-06-23 12:00:00
node-b245a7c3-1e3,dag-2b2c1fce-6b5,io,execute_action,worker-dr-use1-eks-01,worker,PENDING,2026-05-30 22:41:15,2026-05-30 22:41:15,,,"{""k"":5}","{""ok"":false}",,0,3,3875,33,"{""layer"":""worker""}",2026-06-23 12:00:00
node-629e739b-786,dag-2b2c1fce-6b5,io,execute_action,worker-prod-use2-eks-01,worker,PENDING,2026-05-30 22:41:18,2026-05-30 22:41:18,,,"{""k"":6}","{""ok"":false}",,0,3,2348,411,"{""layer"":""worker""}",2026-06-23 12:00:00
