id,agent_id,agent_type,agent_layer,cluster_group,environment,status,last_heartbeat,uptime_seconds,messages_processed,predictions_made,escalations_sent,actions_executed,created_at,updated_at
28,worker-dr-use1-eks-00,worker,worker,dr-use1-eks,dr,active,2026-06-23 11:56:20,542456,97718,8126,635,4040,2026-06-17 05:19:04,2026-06-23 12:00:00
29,worker-dr-use1-eks-01,worker,worker,dr-use1-eks,dr,active,2026-06-23 11:56:14,2432828,333382,9907,2737,2533,2026-05-26 08:12:52,2026-06-23 12:00:00
30,worker-dr-use1-eks-02,worker,worker,dr-use1-eks,dr,active,2026-06-23 11:55:13,990859,378427,9632,2892,3318,2026-06-12 00:45:41,2026-06-23 12:00:00
31,worker-dr-use1-eks-03,worker,worker,dr-use1-eks,dr,active,2026-06-23 11:59:30,1265036,421728,14621,3199,778,2026-06-08 20:36:04,2026-06-23 12:00:00
32,worker-dr-use1-eks-04,worker,worker,dr-use1-eks,dr,active,2026-06-23 11:57:32,330326,399294,23575,2541,1927,2026-06-19 16:14:34,2026-06-23 12:00:00
33,worker-dr-use1-eks-05,worker,worker,dr-use1-eks,dr,active,2026-06-23 11:59:20,2136392,22356,21594,1406,503,2026-05-29 18:33:28,2026-06-23 12:00:00
34,cluster_manager-dr-use1-eks-00,cluster_manager,manager,dr-use1-eks,dr,active,2026-06-23 11:57:35,1348846,68217,1068,1945,6542,2026-06-07 21:19:14,2026-06-23 12:00:00
35,cluster_manager-dr-use1-eks-01,cluster_manager,manager,dr-use1-eks,dr,degraded,2026-06-23 11:57:40,65604,90337,25055,1985,2770,2026-06-22 17:46:36,2026-06-23 12:00:00
36,strategist-dr-use1-eks-00,strategist,strategist,dr-use1-eks,dr,active,2026-06-23 11:59:22,2165253,311908,1334,226,3486,2026-05-29 10:32:27,2026-06-23 12:00:00
37,worker-prod-use2-eks-h000,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:07,1045471,4585,9558,1401,5203,2026-06-11 09:35:29,2026-06-23 12:00:00
38,worker-prod-use2-eks-h001,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:15,1096195,449648,28532,3127,2950,2026-06-10 19:30:05,2026-06-23 12:00:00
39,worker-prod-use2-eks-h002,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:58:11,2020805,31406,30563,3458,7550,2026-05-31 02:39:55,2026-06-23 12:00:00
40,worker-prod-use2-eks-h003,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:12,1018058,449334,3408,2035,2239,2026-06-11 17:12:22,2026-06-23 12:00:00
41,worker-prod-use2-eks-h004,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:43,42473,182696,18730,1821,4978,2026-06-23 00:12:07,2026-06-23 12:00:00
42,worker-prod-use2-eks-h005,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:58:12,1700810,345033,39062,1074,4605,2026-06-03 19:33:10,2026-06-23 12:00:00
43,worker-prod-use2-eks-h006,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:55:35,228093,265394,37662,1899,560,2026-06-20 20:38:27,2026-06-23 12:00:00
44,worker-prod-use2-eks-h007,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:57:30,157726,300954,12104,3975,1236,2026-06-21 16:11:14,2026-06-23 12:00:00
45,worker-prod-use2-eks-h008,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:05,1974706,86723,34882,3482,5361,2026-05-31 15:28:14,2026-06-23 12:00:00
46,worker-prod-use2-eks-h009,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:55:57,1409256,207201,20742,3050,2894,2026-06-07 04:32:24,2026-06-23 12:00:00
47,worker-prod-use2-eks-h010,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:55:52,1912330,410514,19112,2292,5172,2026-06-01 08:47:50,2026-06-23 12:00:00
48,worker-prod-use2-eks-h011,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:57:46,1006504,417004,28268,2113,3985,2026-06-11 20:24:56,2026-06-23 12:00:00
49,worker-prod-use2-eks-h012,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:26,1308526,223803,7409,1622,5832,2026-06-08 08:31:14,2026-06-23 12:00:00
50,worker-prod-use2-eks-h013,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:56:02,1625549,345661,14278,3728,5995,2026-06-04 16:27:31,2026-06-23 12:00:00
51,worker-prod-use2-eks-h014,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:59,2437135,62682,37046,2624,5730,2026-05-26 07:01:05,2026-06-23 12:00:00
52,worker-prod-use2-eks-h015,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:46,213252,39391,1119,1425,1953,2026-06-21 00:45:48,2026-06-23 12:00:00
53,worker-prod-use2-eks-h016,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:56:33,1972929,199173,33503,732,2050,2026-05-31 15:57:51,2026-06-23 12:00:00
54,worker-prod-use2-eks-h017,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:59:26,544569,422225,23124,2000,1007,2026-06-17 04:43:51,2026-06-23 12:00:00
55,worker-prod-use2-eks-h018,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:42,1157311,238977,17947,1077,3735,2026-06-10 02:31:29,2026-06-23 12:00:00
56,worker-prod-use2-eks-h019,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:54,2298916,245648,31482,3846,7208,2026-05-27 21:24:44,2026-06-23 12:00:00
57,worker-prod-use2-eks-h020,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:58:55,937015,475832,8905,2173,676,2026-06-12 15:43:05,2026-06-23 12:00:00
58,worker-prod-use2-eks-h021,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:50,1924376,80727,37832,772,1567,2026-06-01 05:27:04,2026-06-23 12:00:00
59,worker-prod-use2-eks-h022,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:57:41,2100154,129598,25513,2412,6808,2026-05-30 04:37:26,2026-06-23 12:00:00
60,worker-prod-use2-eks-h023,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:58:59,2413639,31960,37661,3913,4476,2026-05-26 13:32:41,2026-06-23 12:00:00
61,worker-prod-use2-eks-h024,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:59:43,2449950,441015,7362,3384,4876,2026-05-26 03:27:30,2026-06-23 12:00:00
62,worker-prod-use2-eks-h025,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:04,1777905,342939,39573,666,605,2026-06-02 22:08:15,2026-06-23 12:00:00
63,worker-prod-use2-eks-h026,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:20,1558857,448752,13087,1138,7612,2026-06-05 10:59:03,2026-06-23 12:00:00
64,worker-prod-use2-eks-h027,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:42,1702457,156630,7174,1478,1020,2026-06-03 19:05:43,2026-06-23 12:00:00
65,worker-prod-use2-eks-h028,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:30,2322512,427062,16172,3859,4498,2026-05-27 14:51:28,2026-06-23 12:00:00
66,worker-prod-use2-eks-h029,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:38,941947,19455,39784,1029,16,2026-06-12 14:20:53,2026-06-23 12:00:00
67,worker-prod-use2-eks-h030,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:36,1124723,190461,14242,3092,533,2026-06-10 11:34:37,2026-06-23 12:00:00
68,worker-prod-use2-eks-h031,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:59:30,1156896,131332,3884,538,7771,2026-06-10 02:38:24,2026-06-23 12:00:00
69,worker-prod-use2-eks-h032,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:55:54,2141980,285884,3448,2685,3741,2026-05-29 17:00:20,2026-06-23 12:00:00
70,worker-prod-use2-eks-h033,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:15,766459,482123,6853,254,6485,2026-06-14 15:05:41,2026-06-23 12:00:00
71,worker-prod-use2-eks-h000,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:59:43,1586222,178755,3080,3272,5184,2026-06-05 03:22:58,2026-06-23 12:00:00
72,worker-prod-use2-eks-h001,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:51,2059376,186598,6540,489,1876,2026-05-30 15:57:04,2026-06-23 12:00:00
73,worker-prod-use2-eks-h002,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:55:01,2149862,77938,35792,3775,1823,2026-05-29 14:48:58,2026-06-23 12:00:00
74,worker-prod-use2-eks-h003,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:36,1152421,252029,21734,93,6435,2026-06-10 03:52:59,2026-06-23 12:00:00
75,worker-prod-use2-eks-h004,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:05,2380407,431583,11162,3173,408,2026-05-26 22:46:33,2026-06-23 12:00:00
76,worker-prod-use2-eks-h005,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:30,1525612,113270,3345,481,7495,2026-06-05 20:13:08,2026-06-23 12:00:00
77,worker-prod-use2-eks-h006,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:04,729497,433250,6059,1384,335,2026-06-15 01:21:43,2026-06-23 12:00:00
78,worker-prod-use2-eks-h007,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:58:44,706748,415170,18791,368,241,2026-06-15 07:40:52,2026-06-23 12:00:00
79,worker-prod-use2-eks-h008,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:17,1582023,12826,31710,2546,1871,2026-06-05 04:32:57,2026-06-23 12:00:00
80,worker-prod-use2-eks-h009,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:06,565592,367082,22380,919,5360,2026-06-16 22:53:28,2026-06-23 12:00:00
81,worker-prod-use2-eks-h010,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:52,723440,245319,32946,1904,481,2026-06-15 03:02:40,2026-06-23 12:00:00
82,worker-prod-use2-eks-h011,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:59:49,525737,147165,21266,3508,6390,2026-06-17 09:57:43,2026-06-23 12:00:00
83,worker-prod-use2-eks-h012,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:34,2479575,171049,32140,3284,7614,2026-05-25 19:13:45,2026-06-23 12:00:00
84,worker-prod-use2-eks-h013,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:56:37,157579,313381,20570,3117,5258,2026-06-21 16:13:41,2026-06-23 12:00:00
85,worker-prod-use2-eks-h014,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:38,367639,378968,9986,1362,5078,2026-06-19 05:52:41,2026-06-23 12:00:00
86,worker-prod-use2-eks-h015,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:55:49,1488953,11639,28416,3259,1978,2026-06-06 06:24:07,2026-06-23 12:00:00
87,worker-prod-use2-eks-h016,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:37,1717118,116175,26125,624,4658,2026-06-03 15:01:22,2026-06-23 12:00:00
88,worker-prod-use2-eks-h017,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:05,2179309,182901,9794,768,7875,2026-05-29 06:38:11,2026-06-23 12:00:00
89,worker-prod-use2-eks-h018,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:59:01,5209,483841,5666,1335,1701,2026-06-23 10:33:11,2026-06-23 12:00:00
90,worker-prod-use2-eks-h019,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:59:43,377439,121938,178,2563,7690,2026-06-19 03:09:21,2026-06-23 12:00:00
91,worker-prod-use2-eks-h020,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:55:01,2378873,159912,25641,262,6355,2026-05-26 23:12:07,2026-06-23 12:00:00
92,worker-prod-use2-eks-h021,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:55:49,1787287,20145,36865,3140,939,2026-06-02 19:31:53,2026-06-23 12:00:00
93,worker-prod-use2-eks-h022,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:58:17,1296112,432873,28578,335,1160,2026-06-08 11:58:08,2026-06-23 12:00:00
94,worker-prod-use2-eks-h023,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:52,715363,387105,17904,3588,5702,2026-06-15 05:17:17,2026-06-23 12:00:00
95,worker-prod-use2-eks-h024,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:34,2591391,216905,3939,3631,1384,2026-05-24 12:10:09,2026-06-23 12:00:00
96,worker-prod-use2-eks-h025,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:21,1659850,61349,5675,554,4959,2026-06-04 06:55:50,2026-06-23 12:00:00
97,worker-prod-use2-eks-h026,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:11,1594785,335389,12261,3935,4998,2026-06-05 01:00:15,2026-06-23 12:00:00
98,worker-prod-use2-eks-h027,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:34,637534,105030,33238,1247,3582,2026-06-16 02:54:26,2026-06-23 12:00:00
99,worker-prod-use2-eks-h028,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:13,2232481,60804,35303,2849,4098,2026-05-28 15:51:59,2026-06-23 12:00:00
100,worker-prod-use2-eks-h029,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:29,218652,389081,9169,1330,3557,2026-06-20 23:15:48,2026-06-23 12:00:00
101,worker-prod-use2-eks-h030,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:49,1375591,425029,6757,662,3821,2026-06-07 13:53:29,2026-06-23 12:00:00
102,worker-prod-use2-eks-h031,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:57:37,265565,49598,4272,1689,3212,2026-06-20 10:13:55,2026-06-23 12:00:00
103,worker-prod-use2-eks-h032,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:12,1534763,486913,14486,456,7286,2026-06-05 17:40:37,2026-06-23 12:00:00
104,worker-prod-use2-eks-h033,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:57:50,1131378,430145,15020,2887,3693,2026-06-10 09:43:42,2026-06-23 12:00:00
105,worker-prod-use2-eks-h000,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:59:14,264104,178458,29710,3960,1528,2026-06-20 10:38:16,2026-06-23 12:00:00
106,worker-prod-use2-eks-h001,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:02,486520,438394,14243,2228,2224,2026-06-17 20:51:20,2026-06-23 12:00:00
107,worker-prod-use2-eks-h002,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:58:58,1405934,20447,10183,1377,1706,2026-06-07 05:27:46,2026-06-23 12:00:00
108,worker-prod-use2-eks-h003,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:57:08,629981,241317,2880,459,1521,2026-06-16 05:00:19,2026-06-23 12:00:00
109,worker-prod-use2-eks-h004,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:58:46,1706856,496581,9626,150,7563,2026-06-03 17:52:24,2026-06-23 12:00:00
110,worker-prod-use2-eks-h005,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:55:51,120070,240972,27490,2482,5448,2026-06-22 02:38:50,2026-06-23 12:00:00
111,worker-prod-use2-eks-h006,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:58:26,1409685,123184,28230,446,5628,2026-06-07 04:25:15,2026-06-23 12:00:00
112,worker-prod-use2-eks-h007,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:29,1028381,388300,30212,1755,7922,2026-06-11 14:20:19,2026-06-23 12:00:00
113,worker-prod-use2-eks-h008,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:46,1437801,177714,11883,1479,4485,2026-06-06 20:36:39,2026-06-23 12:00:00
114,worker-prod-use2-eks-h009,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:55,2489655,483754,12059,2838,4120,2026-05-25 16:25:45,2026-06-23 12:00:00
115,worker-prod-use2-eks-h010,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:33,887314,279458,20130,538,7884,2026-06-13 05:31:26,2026-06-23 12:00:00
116,worker-prod-use2-eks-h011,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:59:18,2126710,357217,6675,237,6203,2026-05-29 21:14:50,2026-06-23 12:00:00
117,worker-prod-use2-eks-h012,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:35,778931,321996,35689,3187,656,2026-06-14 11:37:49,2026-06-23 12:00:00
118,worker-prod-use2-eks-h013,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:57:34,2061733,450142,32941,3385,508,2026-05-30 15:17:47,2026-06-23 12:00:00
119,worker-prod-use2-eks-h014,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:24,563026,3878,5003,1495,243,2026-06-16 23:36:14,2026-06-23 12:00:00
120,worker-prod-use2-eks-h015,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:58:48,2128395,188154,223,245,7393,2026-05-29 20:46:45,2026-06-23 12:00:00
121,worker-prod-use2-eks-h016,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:58:17,1845919,331352,25908,2703,125,2026-06-02 03:14:41,2026-06-23 12:00:00
122,worker-prod-use2-eks-h017,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:01,1565856,84340,7722,2565,4719,2026-06-05 09:02:24,2026-06-23 12:00:00
123,worker-prod-use2-eks-h018,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:58,1276105,81446,20683,3557,6919,2026-06-08 17:31:35,2026-06-23 12:00:00
124,worker-prod-use2-eks-h019,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:31,1543032,385224,36999,2470,7607,2026-06-05 15:22:48,2026-06-23 12:00:00
125,worker-prod-use2-eks-h020,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:29,1466919,460913,18150,3524,7088,2026-06-06 12:31:21,2026-06-23 12:00:00
126,worker-prod-use2-eks-h021,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:10,701375,169811,7766,1817,5927,2026-06-15 09:10:25,2026-06-23 12:00:00
127,worker-prod-use2-eks-h022,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:23,1187072,369333,1389,3491,2838,2026-06-09 18:15:28,2026-06-23 12:00:00
128,worker-prod-use2-eks-h023,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:26,1213435,229027,32847,3786,6091,2026-06-09 10:56:05,2026-06-23 12:00:00
129,worker-prod-use2-eks-h024,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:57:45,1324557,160399,20529,2008,563,2026-06-08 04:04:03,2026-06-23 12:00:00
130,worker-prod-use2-eks-h025,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:27,2421696,42010,27803,1784,1595,2026-05-26 11:18:24,2026-06-23 12:00:00
131,worker-prod-use2-eks-h026,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:58:47,670197,367648,37945,2675,2190,2026-06-15 17:50:03,2026-06-23 12:00:00
132,worker-prod-use2-eks-h027,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:58:52,2583967,245695,22007,3199,5314,2026-05-24 14:13:53,2026-06-23 12:00:00
133,worker-prod-use2-eks-h028,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:40,2393626,197156,14483,234,5478,2026-05-26 19:06:14,2026-06-23 12:00:00
134,worker-prod-use2-eks-h029,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:28,2570566,40792,16792,1855,1676,2026-05-24 17:57:14,2026-06-23 12:00:00
135,worker-prod-use2-eks-h030,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:56,583548,339708,17831,3322,7547,2026-06-16 17:54:12,2026-06-23 12:00:00
136,worker-prod-use2-eks-h031,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:11,2419658,404463,787,2996,7319,2026-05-26 11:52:22,2026-06-23 12:00:00
137,worker-prod-use2-eks-h032,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:35,2081739,119701,39960,1677,7818,2026-05-30 09:44:21,2026-06-23 12:00:00
138,worker-prod-use2-eks-h033,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:59:50,1527795,134867,22304,1680,4048,2026-06-05 19:36:45,2026-06-23 12:00:00
139,worker-prod-use2-eks-h000,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:38,928753,461957,8361,2752,668,2026-06-12 18:00:47,2026-06-23 12:00:00
140,worker-prod-use2-eks-h001,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:48,2392443,327136,27850,3263,34,2026-05-26 19:25:57,2026-06-23 12:00:00
141,worker-prod-use2-eks-h002,worker,worker,prod-use2-eks,prod,stopped,2026-06-23 11:58:53,494169,54237,33888,3933,6862,2026-06-17 18:43:51,2026-06-23 12:00:00
142,worker-prod-use2-eks-h003,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:58:29,990318,130342,8310,3696,6693,2026-06-12 00:54:42,2026-06-23 12:00:00
143,worker-prod-use2-eks-h004,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:57:57,2160444,245632,17846,3719,5447,2026-05-29 11:52:36,2026-06-23 12:00:00
144,worker-prod-use2-eks-h005,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:57:20,1402615,399964,28288,3211,74,2026-06-07 06:23:05,2026-06-23 12:00:00
145,worker-prod-use2-eks-h006,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:18,1079010,205756,5312,3020,1606,2026-06-11 00:16:30,2026-06-23 12:00:00
146,worker-prod-use2-eks-h007,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:03,902698,157511,19792,2747,1925,2026-06-13 01:15:02,2026-06-23 12:00:00
147,worker-prod-use2-eks-h008,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:18,282354,72036,7874,492,4125,2026-06-20 05:34:06,2026-06-23 12:00:00
148,worker-prod-use2-eks-h009,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:56:08,953592,465113,6364,1004,3568,2026-06-12 11:06:48,2026-06-23 12:00:00
149,worker-prod-use2-eks-h010,worker,worker,prod-use2-eks,prod,degraded,2026-06-23 11:59:48,1914452,64108,30724,3061,3327,2026-06-01 08:12:28,2026-06-23 12:00:00
