id,pod_name,namespace,cluster_name,metric_name,mean_value,stddev_value,p95_value,min_value,max_value,sample_count,window_days,computed_at
17,payments-api-c9c2b74-00142,payments,prod-use2-eks,http_requests_total,652.569,78.308,913.596,326.284,1239.88,4790,7,2026-06-22 08:49:09
18,payments-api-c9c2b74-00142,payments,prod-use2-eks,container_fs_usage_bytes,4280.154,513.619,5992.216,2140.077,8132.293,2542,7,2026-06-23 11:35:12
19,payments-api-c9c2b74-00142,payments,prod-use2-eks,container_network_receive_bytes_total,2175.642,261.077,3045.899,1087.821,4133.72,4474,7,2026-06-21 20:48:24
20,payments-api-c9c2b74-00142,payments,prod-use2-eks,go_gc_duration_seconds,2737.416,328.49,3832.383,1368.708,5201.091,989,7,2026-06-22 05:54:09
21,payments-api-c9c2b74-00142,payments,prod-use2-eks,process_open_fds,4582.127,549.855,6414.977,2291.063,8706.04,4354,7,2026-06-21 13:09:07
22,payments-api-c9c2b74-00142,payments,prod-use2-eks,tcp_established,1329.343,159.521,1861.08,664.672,2525.752,3786,7,2026-06-22 00:50:45
23,payments-api-1ce3577-591ac,payments,prod-use2-eks,container_memory_working_set_bytes,2390.189,286.823,3346.265,1195.094,4541.359,3838,7,2026-06-22 21:06:22
24,payments-api-1ce3577-591ac,payments,prod-use2-eks,container_cpu_usage_seconds_total,24.038,2.885,33.653,12.019,45.672,3877,7,2026-06-23 09:34:31
25,payments-api-1ce3577-591ac,payments,prod-use2-eks,container_memory_rss,2163.612,259.633,3029.057,1081.806,4110.863,4161,7,2026-06-23 07:16:03
26,payments-api-1ce3577-591ac,payments,prod-use2-eks,kube_pod_container_status_restarts_total,2953.756,354.451,4135.258,1476.878,5612.136,3696,7,2026-06-21 23:35:50
27,payments-api-1ce3577-591ac,payments,prod-use2-eks,http_request_duration_ms,2704.532,324.544,3786.345,1352.266,5138.612,3065,7,2026-06-21 18:33:34
28,payments-api-1ce3577-591ac,payments,prod-use2-eks,http_requests_total,2961.562,355.387,4146.186,1480.781,5626.967,3553,7,2026-06-21 16:12:57
29,payments-api-1ce3577-591ac,payments,prod-use2-eks,container_fs_usage_bytes,3312.338,397.481,4637.273,1656.169,6293.442,2882,7,2026-06-21 17:17:35
30,payments-api-1ce3577-591ac,payments,prod-use2-eks,container_network_receive_bytes_total,1513.295,181.595,2118.613,756.647,2875.26,2629,7,2026-06-23 11:39:03
31,payments-api-1ce3577-591ac,payments,prod-use2-eks,go_gc_duration_seconds,4186.564,502.388,5861.19,2093.282,7954.472,4268,7,2026-06-23 10:07:18
32,payments-api-1ce3577-591ac,payments,prod-use2-eks,process_open_fds,815.394,97.847,1141.551,407.697,1549.248,578,7,2026-06-23 04:08:11
33,payments-api-1ce3577-591ac,payments,prod-use2-eks,tcp_established,2992.345,359.081,4189.283,1496.173,5685.456,1383,7,2026-06-23 10:31:52
34,payments-api-7fa4649-debd8,payments,prod-use2-eks,container_memory_working_set_bytes,2638.453,316.614,3693.835,1319.227,5013.061,4740,7,2026-06-23 00:36:07
35,payments-api-7fa4649-debd8,payments,prod-use2-eks,container_cpu_usage_seconds_total,1889.284,226.714,2644.997,944.642,3589.639,962,7,2026-06-23 00:29:18
36,payments-api-7fa4649-debd8,payments,prod-use2-eks,container_memory_rss,1040.43,124.852,1456.602,520.215,1976.817,4713,7,2026-06-22 17:06:36
37,payments-api-7fa4649-debd8,payments,prod-use2-eks,kube_pod_container_status_restarts_total,1472.9,176.748,2062.061,736.45,2798.511,3978,7,2026-06-21 16:08:20
38,payments-api-7fa4649-debd8,payments,prod-use2-eks,http_request_duration_ms,3142.922,377.151,4400.091,1571.461,5971.552,3330,7,2026-06-23 03:04:13
39,payments-api-7fa4649-debd8,payments,prod-use2-eks,http_requests_total,4563.833,547.66,6389.366,2281.916,8671.282,4145,7,2026-06-21 18:56:30
40,payments-api-7fa4649-debd8,payments,prod-use2-eks,container_fs_usage_bytes,986.468,118.376,1381.055,493.234,1874.289,698,7,2026-06-23 04:29:57
41,payments-api-7fa4649-debd8,payments,prod-use2-eks,container_network_receive_bytes_total,3997.334,479.68,5596.268,1998.667,7594.935,2371,7,2026-06-23 02:06:04
42,payments-api-7fa4649-debd8,payments,prod-use2-eks,go_gc_duration_seconds,3693.258,443.191,5170.561,1846.629,7017.19,1947,7,2026-06-23 09:13:57
43,payments-api-7fa4649-debd8,payments,prod-use2-eks,process_open_fds,4033.329,483.999,5646.66,2016.664,7663.325,4635,7,2026-06-22 13:46:46
44,payments-api-7fa4649-debd8,payments,prod-use2-eks,tcp_established,2048.821,245.858,2868.349,1024.41,3892.759,743,7,2026-06-22 12:47:21
45,payments-worker-7a57672-86691,payments,prod-use2-eks,container_memory_working_set_bytes,4719.519,566.342,6607.327,2359.76,8967.086,1270,7,2026-06-22 09:23:34
46,payments-worker-7a57672-86691,payments,prod-use2-eks,container_cpu_usage_seconds_total,1493.645,179.237,2091.103,746.823,2837.926,3957,7,2026-06-23 11:09:32
47,payments-worker-7a57672-86691,payments,prod-use2-eks,container_memory_rss,1112.557,133.507,1557.579,556.278,2113.858,4342,7,2026-06-22 01:18:35
48,payments-worker-7a57672-86691,payments,prod-use2-eks,kube_pod_container_status_restarts_total,143.992,17.279,201.589,71.996,273.585,3684,7,2026-06-23 01:58:14
49,payments-worker-7a57672-86691,payments,prod-use2-eks,http_request_duration_ms,1261.859,151.423,1766.603,630.93,2397.532,1271,7,2026-06-22 12:36:29
50,payments-worker-7a57672-86691,payments,prod-use2-eks,http_requests_total,2570.913,308.51,3599.278,1285.456,4884.734,747,7,2026-06-22 11:19:57
51,payments-worker-7a57672-86691,payments,prod-use2-eks,container_fs_usage_bytes,483.181,57.982,676.453,241.59,918.043,4771,7,2026-06-23 09:10:35
52,payments-worker-7a57672-86691,payments,prod-use2-eks,container_network_receive_bytes_total,4523.727,542.847,6333.218,2261.864,8595.082,844,7,2026-06-22 04:46:58
53,payments-worker-7a57672-86691,payments,prod-use2-eks,go_gc_duration_seconds,3644.128,437.295,5101.78,1822.064,6923.844,1676,7,2026-06-22 18:52:38
54,payments-worker-7a57672-86691,payments,prod-use2-eks,process_open_fds,1177.653,141.318,1648.714,588.826,2237.54,2597,7,2026-06-22 19:48:12
55,payments-worker-7a57672-86691,payments,prod-use2-eks,tcp_established,1454.932,174.592,2036.905,727.466,2764.371,2945,7,2026-06-22 14:12:19
56,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,container_memory_working_set_bytes,2821.235,338.548,3949.729,1410.617,5360.346,3049,7,2026-06-22 09:10:04
57,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,container_cpu_usage_seconds_total,959.777,115.173,1343.687,479.888,1823.575,3384,7,2026-06-23 05:10:03
58,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,container_memory_rss,1421.18,170.542,1989.652,710.59,2700.242,4701,7,2026-06-23 07:21:12
59,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,kube_pod_container_status_restarts_total,4509.003,541.08,6312.604,2254.501,8567.106,3418,7,2026-06-23 01:35:13
60,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,http_request_duration_ms,4759.806,571.177,6663.728,2379.903,9043.631,775,7,2026-06-23 04:18:09
61,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,http_requests_total,4354.022,522.483,6095.631,2177.011,8272.642,3913,7,2026-06-21 23:50:02
62,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,container_fs_usage_bytes,4741.308,568.957,6637.831,2370.654,9008.485,2949,7,2026-06-21 16:19:08
63,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,container_network_receive_bytes_total,671.023,80.523,939.433,335.512,1274.944,1728,7,2026-06-22 05:06:39
64,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,go_gc_duration_seconds,2189.613,262.754,3065.458,1094.806,4160.264,3044,7,2026-06-23 01:19:27
65,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,process_open_fds,4948.07,593.768,6927.298,2474.035,9401.333,1322,7,2026-06-21 20:45:08
66,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,tcp_established,559.757,67.171,783.66,279.879,1063.538,4228,7,2026-06-23 07:48:11
67,payments-worker-bff7264-02c23,payments,prod-use2-eks,container_memory_working_set_bytes,2239.872,268.785,3135.82,1119.936,4255.756,3648,7,2026-06-21 20:53:17
68,payments-worker-bff7264-02c23,payments,prod-use2-eks,container_cpu_usage_seconds_total,3406.884,408.826,4769.637,1703.442,6473.079,2632,7,2026-06-22 04:32:12
69,payments-worker-bff7264-02c23,payments,prod-use2-eks,container_memory_rss,3052.063,366.248,4272.888,1526.031,5798.919,3074,7,2026-06-21 17:59:21
70,payments-worker-bff7264-02c23,payments,prod-use2-eks,kube_pod_container_status_restarts_total,3680.239,441.629,5152.335,1840.12,6992.454,3986,7,2026-06-22 14:40:54
71,payments-worker-bff7264-02c23,payments,prod-use2-eks,http_request_duration_ms,4131.552,495.786,5784.172,2065.776,7849.948,3709,7,2026-06-21 19:48:58
72,payments-worker-bff7264-02c23,payments,prod-use2-eks,http_requests_total,1533.029,183.963,2146.241,766.515,2912.755,4178,7,2026-06-21 22:16:04
73,payments-worker-bff7264-02c23,payments,prod-use2-eks,container_fs_usage_bytes,936.228,112.347,1310.72,468.114,1778.834,773,7,2026-06-21 13:42:11
74,payments-worker-bff7264-02c23,payments,prod-use2-eks,container_network_receive_bytes_total,631.222,75.747,883.711,315.611,1199.322,2210,7,2026-06-22 07:22:25
75,payments-worker-bff7264-02c23,payments,prod-use2-eks,go_gc_duration_seconds,3080.099,369.612,4312.138,1540.049,5852.188,2193,7,2026-06-22 09:08:51
76,payments-worker-bff7264-02c23,payments,prod-use2-eks,process_open_fds,4249.712,509.965,5949.597,2124.856,8074.453,2104,7,2026-06-21 15:34:47
77,payments-worker-bff7264-02c23,payments,prod-use2-eks,tcp_established,683.584,82.03,957.018,341.792,1298.81,3063,7,2026-06-21 17:58:23
78,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,container_memory_working_set_bytes,1632.018,195.842,2284.825,816.009,3100.834,4046,7,2026-06-22 15:20:21
79,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,container_cpu_usage_seconds_total,777.77,93.332,1088.878,388.885,1477.763,4420,7,2026-06-23 00:55:35
80,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,container_memory_rss,525.022,63.003,735.031,262.511,997.542,3904,7,2026-06-22 21:55:18
81,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,kube_pod_container_status_restarts_total,16.141,1.937,22.597,8.07,30.667,1718,7,2026-06-22 08:00:59
82,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,http_request_duration_ms,3182.822,381.939,4455.95,1591.411,6047.361,2216,7,2026-06-22 02:15:48
83,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,http_requests_total,4706.88,564.826,6589.631,2353.44,8943.071,644,7,2026-06-22 14:44:28
84,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,container_fs_usage_bytes,4614.946,553.793,6460.924,2307.473,8768.397,2148,7,2026-06-21 12:16:04
85,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,container_network_receive_bytes_total,1518.3,182.196,2125.621,759.15,2884.771,4875,7,2026-06-22 08:00:31
86,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,go_gc_duration_seconds,3760.493,451.259,5264.69,1880.247,7144.937,1372,7,2026-06-21 18:35:43
87,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,process_open_fds,2704.199,324.504,3785.879,1352.1,5137.978,3389,7,2026-06-22 22:41:03
88,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,tcp_established,4148.388,497.807,5807.743,2074.194,7881.937,1541,7,2026-06-21 13:20:09
89,orders-api-7f89525-97cdd,orders,prod-use2-eks,container_memory_working_set_bytes,1764.886,211.786,2470.84,882.443,3353.283,4423,7,2026-06-21 12:59:00
90,orders-api-7f89525-97cdd,orders,prod-use2-eks,container_cpu_usage_seconds_total,886.51,106.381,1241.114,443.255,1684.369,2180,7,2026-06-21 15:32:46
91,orders-api-7f89525-97cdd,orders,prod-use2-eks,container_memory_rss,1135.068,136.208,1589.095,567.534,2156.629,3991,7,2026-06-23 09:16:57
92,orders-api-7f89525-97cdd,orders,prod-use2-eks,kube_pod_container_status_restarts_total,4297.492,515.699,6016.489,2148.746,8165.235,1116,7,2026-06-23 07:43:02
93,orders-api-7f89525-97cdd,orders,prod-use2-eks,http_request_duration_ms,3734.159,448.099,5227.822,1867.079,7094.902,2138,7,2026-06-23 02:34:22
94,orders-api-7f89525-97cdd,orders,prod-use2-eks,http_requests_total,3589.923,430.791,5025.892,1794.962,6820.854,1275,7,2026-06-22 04:15:05
95,orders-api-7f89525-97cdd,orders,prod-use2-eks,container_fs_usage_bytes,4382.929,525.951,6136.101,2191.465,8327.565,3777,7,2026-06-22 22:02:37
96,orders-api-7f89525-97cdd,orders,prod-use2-eks,container_network_receive_bytes_total,1641.616,196.994,2298.263,820.808,3119.071,4623,7,2026-06-22 18:45:17
97,orders-api-7f89525-97cdd,orders,prod-use2-eks,go_gc_duration_seconds,3275.769,393.092,4586.076,1637.884,6223.96,2888,7,2026-06-21 15:19:57
98,orders-api-7f89525-97cdd,orders,prod-use2-eks,process_open_fds,3621.252,434.55,5069.753,1810.626,6880.379,1981,7,2026-06-22 22:47:29
99,orders-api-7f89525-97cdd,orders,prod-use2-eks,tcp_established,178.103,21.372,249.344,89.051,338.395,3373,7,2026-06-22 10:58:30
100,orders-api-e9b4a39-c3784,orders,prod-use2-eks,container_memory_working_set_bytes,377.455,45.295,528.437,188.728,717.165,2909,7,2026-06-22 14:27:33
101,orders-api-e9b4a39-c3784,orders,prod-use2-eks,container_cpu_usage_seconds_total,291.92,35.03,408.688,145.96,554.647,577,7,2026-06-22 23:30:28
102,orders-api-e9b4a39-c3784,orders,prod-use2-eks,container_memory_rss,2239.315,268.718,3135.041,1119.657,4254.698,2340,7,2026-06-21 17:41:32
103,orders-api-e9b4a39-c3784,orders,prod-use2-eks,kube_pod_container_status_restarts_total,3117.28,374.074,4364.192,1558.64,5922.833,2931,7,2026-06-22 13:37:48
104,orders-api-e9b4a39-c3784,orders,prod-use2-eks,http_request_duration_ms,2842.988,341.159,3980.183,1421.494,5401.677,3782,7,2026-06-22 11:37:35
105,orders-api-e9b4a39-c3784,orders,prod-use2-eks,http_requests_total,1064.983,127.798,1490.977,532.492,2023.468,4148,7,2026-06-22 22:14:47
106,orders-api-e9b4a39-c3784,orders,prod-use2-eks,container_fs_usage_bytes,3100.811,372.097,4341.135,1550.405,5891.541,1187,7,2026-06-21 18:46:47
107,orders-api-e9b4a39-c3784,orders,prod-use2-eks,container_network_receive_bytes_total,3783.012,453.961,5296.217,1891.506,7187.723,2361,7,2026-06-23 05:53:54
108,orders-api-e9b4a39-c3784,orders,prod-use2-eks,go_gc_duration_seconds,4336.389,520.367,6070.944,2168.194,8239.139,2535,7,2026-06-23 03:47:35
109,orders-api-e9b4a39-c3784,orders,prod-use2-eks,process_open_fds,3094.272,371.313,4331.981,1547.136,5879.117,3799,7,2026-06-21 19:07:23
110,orders-api-e9b4a39-c3784,orders,prod-use2-eks,tcp_established,2769.677,332.361,3877.547,1384.838,5262.386,4896,7,2026-06-23 07:17:44
111,orders-worker-9681c18-374c7,orders,prod-use2-eks,container_memory_working_set_bytes,3109.965,373.196,4353.951,1554.983,5908.934,648,7,2026-06-22 19:56:26
112,orders-worker-9681c18-374c7,orders,prod-use2-eks,container_cpu_usage_seconds_total,363.844,43.661,509.382,181.922,691.304,677,7,2026-06-23 11:48:33
113,orders-worker-9681c18-374c7,orders,prod-use2-eks,container_memory_rss,18.541,2.225,25.958,9.271,35.228,2345,7,2026-06-22 16:20:47
114,orders-worker-9681c18-374c7,orders,prod-use2-eks,kube_pod_container_status_restarts_total,3533.768,424.052,4947.275,1766.884,6714.159,4718,7,2026-06-23 02:46:13
115,orders-worker-9681c18-374c7,orders,prod-use2-eks,http_request_duration_ms,403.501,48.42,564.901,201.75,766.652,738,7,2026-06-22 17:31:53
116,orders-worker-9681c18-374c7,orders,prod-use2-eks,http_requests_total,3120.89,374.507,4369.246,1560.445,5929.691,3972,7,2026-06-23 00:03:41
117,orders-worker-9681c18-374c7,orders,prod-use2-eks,container_fs_usage_bytes,4825.761,579.091,6756.066,2412.881,9168.947,3578,7,2026-06-22 15:33:23
118,orders-worker-9681c18-374c7,orders,prod-use2-eks,container_network_receive_bytes_total,1417.51,170.101,1984.514,708.755,2693.269,2994,7,2026-06-22 23:22:02
119,orders-worker-9681c18-374c7,orders,prod-use2-eks,go_gc_duration_seconds,4354.954,522.594,6096.936,2177.477,8274.413,3739,7,2026-06-22 14:15:16
120,orders-worker-9681c18-374c7,orders,prod-use2-eks,process_open_fds,3412.571,409.509,4777.599,1706.285,6483.885,1663,7,2026-06-22 09:23:24
121,orders-worker-9681c18-374c7,orders,prod-use2-eks,tcp_established,4112.736,493.528,5757.83,2056.368,7814.198,4200,7,2026-06-22 18:57:59
122,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,container_memory_working_set_bytes,4861.752,583.41,6806.453,2430.876,9237.33,2457,7,2026-06-21 17:48:29
123,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,container_cpu_usage_seconds_total,4803.754,576.45,6725.255,2401.877,9127.132,4643,7,2026-06-22 04:46:22
124,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,container_memory_rss,4681.365,561.764,6553.911,2340.683,8894.594,4315,7,2026-06-22 07:44:49
125,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,kube_pod_container_status_restarts_total,2269.474,272.337,3177.264,1134.737,4312.001,4775,7,2026-06-22 10:59:56
126,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,http_request_duration_ms,1637.474,196.497,2292.463,818.737,3111.2,624,7,2026-06-23 07:37:54
127,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,http_requests_total,11.323,1.359,15.852,5.661,21.513,2434,7,2026-06-22 19:18:48
128,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,container_fs_usage_bytes,2690.392,322.847,3766.548,1345.196,5111.744,2469,7,2026-06-23 10:26:39
129,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,container_network_receive_bytes_total,3294.834,395.38,4612.768,1647.417,6260.185,1798,7,2026-06-23 09:05:55
130,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,go_gc_duration_seconds,123.647,14.838,173.106,61.824,234.93,2529,7,2026-06-22 08:38:48
131,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,process_open_fds,1191.138,142.937,1667.593,595.569,2263.162,3640,7,2026-06-21 18:24:04
132,orders-worker-6ee3345-b0d20,orders,prod-use2-eks,tcp_established,3028.679,363.442,4240.151,1514.34,5754.491,4633,7,2026-06-23 03:44:56
133,orders-worker-06e2683-7270e,orders,prod-use2-eks,container_memory_working_set_bytes,4731.754,567.811,6624.456,2365.877,8990.333,2707,7,2026-06-23 10:11:08
134,orders-worker-06e2683-7270e,orders,prod-use2-eks,container_cpu_usage_seconds_total,2182.209,261.865,3055.093,1091.105,4146.197,529,7,2026-06-21 19:05:38
135,orders-worker-06e2683-7270e,orders,prod-use2-eks,container_memory_rss,2972.311,356.677,4161.235,1486.155,5647.39,817,7,2026-06-22 03:17:07
136,orders-worker-06e2683-7270e,orders,prod-use2-eks,kube_pod_container_status_restarts_total,187.997,22.56,263.195,93.998,357.193,1439,7,2026-06-23 00:59:47
137,orders-worker-06e2683-7270e,orders,prod-use2-eks,http_request_duration_ms,3281.105,393.733,4593.547,1640.553,6234.1,4802,7,2026-06-22 09:53:09
138,orders-worker-06e2683-7270e,orders,prod-use2-eks,http_requests_total,3629.291,435.515,5081.008,1814.646,6895.653,4207,7,2026-06-22 01:51:11
139,orders-worker-06e2683-7270e,orders,prod-use2-eks,container_fs_usage_bytes,3477.508,417.301,4868.511,1738.754,6607.265,2304,7,2026-06-23 08:58:36
140,orders-worker-06e2683-7270e,orders,prod-use2-eks,container_network_receive_bytes_total,290.596,34.872,406.835,145.298,552.133,1330,7,2026-06-23 05:06:11
141,orders-worker-06e2683-7270e,orders,prod-use2-eks,go_gc_duration_seconds,3457.866,414.944,4841.012,1728.933,6569.945,789,7,2026-06-21 16:04:53
142,orders-worker-06e2683-7270e,orders,prod-use2-eks,process_open_fds,1486.282,178.354,2080.795,743.141,2823.936,1142,7,2026-06-22 06:29:20
143,orders-worker-06e2683-7270e,orders,prod-use2-eks,tcp_established,2171.351,260.562,3039.892,1085.676,4125.567,3181,7,2026-06-22 03:48:15
144,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,container_memory_working_set_bytes,1766.838,212.021,2473.574,883.419,3356.993,3123,7,2026-06-22 11:16:06
145,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,container_cpu_usage_seconds_total,4076.039,489.125,5706.455,2038.02,7744.474,3859,7,2026-06-21 22:49:50
146,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,container_memory_rss,2984.187,358.102,4177.862,1492.094,5669.956,1760,7,2026-06-23 11:17:48
147,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,kube_pod_container_status_restarts_total,4597.152,551.658,6436.012,2298.576,8734.588,2050,7,2026-06-22 14:06:51
148,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,http_request_duration_ms,515.471,61.857,721.659,257.735,979.395,3314,7,2026-06-22 23:30:37
149,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,http_requests_total,2402.125,288.255,3362.976,1201.063,4564.038,2397,7,2026-06-22 01:02:28
150,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,container_fs_usage_bytes,2768.716,332.246,3876.202,1384.358,5260.56,4962,7,2026-06-21 15:43:59
151,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,container_network_receive_bytes_total,311.629,37.395,436.28,155.814,592.095,2212,7,2026-06-22 16:59:32
152,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,go_gc_duration_seconds,2110.604,253.272,2954.845,1055.302,4010.147,2666,7,2026-06-21 21:57:06
153,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,process_open_fds,3101.617,372.194,4342.264,1550.808,5893.072,1961,7,2026-06-22 23:01:18
154,auth-gateway-bf1d422-2018d,identity,prod-use2-eks,tcp_established,4492.722,539.127,6289.811,2246.361,8536.172,2740,7,2026-06-22 16:50:29
155,auth-gateway-7b28269-a7447,identity,prod-use2-eks,container_memory_working_set_bytes,4426.498,531.18,6197.098,2213.249,8410.347,4402,7,2026-06-23 07:39:07
156,auth-gateway-7b28269-a7447,identity,prod-use2-eks,container_cpu_usage_seconds_total,122.581,14.71,171.613,61.29,232.903,3298,7,2026-06-23 11:15:38
157,auth-gateway-7b28269-a7447,identity,prod-use2-eks,container_memory_rss,3432.897,411.948,4806.056,1716.449,6522.505,1615,7,2026-06-22 20:40:23
158,auth-gateway-7b28269-a7447,identity,prod-use2-eks,kube_pod_container_status_restarts_total,68.016,8.162,95.223,34.008,129.231,3300,7,2026-06-22 23:39:50
159,auth-gateway-7b28269-a7447,identity,prod-use2-eks,http_request_duration_ms,4070.36,488.443,5698.503,2035.18,7733.683,4280,7,2026-06-23 01:31:40
160,auth-gateway-7b28269-a7447,identity,prod-use2-eks,http_requests_total,1239.794,148.775,1735.712,619.897,2355.609,991,7,2026-06-23 05:11:49
161,auth-gateway-7b28269-a7447,identity,prod-use2-eks,container_fs_usage_bytes,4752.229,570.267,6653.121,2376.114,9029.235,1542,7,2026-06-23 02:47:54
162,auth-gateway-7b28269-a7447,identity,prod-use2-eks,container_network_receive_bytes_total,3362.409,403.489,4707.373,1681.205,6388.577,3198,7,2026-06-22 06:06:04
163,auth-gateway-7b28269-a7447,identity,prod-use2-eks,go_gc_duration_seconds,2856.72,342.806,3999.409,1428.36,5427.769,4722,7,2026-06-23 04:14:33
164,auth-gateway-7b28269-a7447,identity,prod-use2-eks,process_open_fds,4630.595,555.671,6482.833,2315.297,8798.13,4055,7,2026-06-22 16:32:58
165,auth-gateway-7b28269-a7447,identity,prod-use2-eks,tcp_established,4668.007,560.161,6535.21,2334.004,8869.214,2987,7,2026-06-22 22:25:46
166,auth-gateway-9bddb17-f3d59,identity,prod-use2-eks,container_memory_working_set_bytes,3698.751,443.85,5178.252,1849.376,7027.628,3415,7,2026-06-21 17:37:45
167,auth-gateway-9bddb17-f3d59,identity,prod-use2-eks,container_cpu_usage_seconds_total,3624.037,434.884,5073.651,1812.018,6885.67,1982,7,2026-06-22 18:20:23
168,auth-gateway-9bddb17-f3d59,identity,prod-use2-eks,container_memory_rss,1713.852,205.662,2399.393,856.926,3256.319,2891,7,2026-06-23 00:31:57
169,auth-gateway-9bddb17-f3d59,identity,prod-use2-eks,kube_pod_container_status_restarts_total,831.021,99.723,1163.429,415.51,1578.94,1169,7,2026-06-22 07:33:46
170,auth-gateway-9bddb17-f3d59,identity,prod-use2-eks,http_request_duration_ms,2540.839,304.901,3557.175,1270.42,4827.595,2078,7,2026-06-22 07:35:12
