id,query_name,status,result_count,sample_data,tested_at
57,cpu_usage,success,246,"{""sample"":[93744.29,95771.68,70362.58]}",2026-06-10 18:46:39
58,http_5xx,success,159,"{""sample"":[67216.13,16362.57,61818.1]}",2026-06-01 20:55:06
59,cpu_usage,error,0,"{""sample"":[22255.7,60205.51,13934.32]}",2026-06-21 20:04:55
60,restart_total,success,216,"{""sample"":[52806.46,40621.2,66881.13]}",2026-06-10 21:59:07
61,http_5xx,success,479,"{""sample"":[6192.27,34454.07,19142.0]}",2026-05-28 19:48:59
62,restart_total,no_data,0,"{""sample"":[52600.2,47285.41,50882.94]}",2026-06-01 08:02:03
63,cpu_usage,success,252,"{""sample"":[74929.47,33894.85,10384.9]}",2026-06-10 05:50:38
64,restart_total,success,130,"{""sample"":[27952.25,19254.64,97095.6]}",2026-06-08 06:35:04
65,net_latency,success,2,"{""sample"":[25202.97,63011.45,51332.72]}",2026-06-02 22:44:42
66,mem_working_set,success,445,"{""sample"":[59607.4,31513.56,9952.98]}",2026-05-31 21:37:48
67,net_latency,success,472,"{""sample"":[56536.59,12344.35,7931.82]}",2026-06-04 18:57:09
68,http_5xx,success,86,"{""sample"":[9469.93,43771.24,81984.72]}",2026-06-09 18:27:51
69,restart_total,success,446,"{""sample"":[99488.68,5757.51,78846.61]}",2026-05-29 13:31:11
70,net_latency,success,414,"{""sample"":[17649.55,6535.17,76739.9]}",2026-06-06 03:09:37
71,restart_total,success,343,"{""sample"":[30526.31,81976.52,53240.62]}",2026-06-18 11:22:05
72,restart_total,success,193,"{""sample"":[76070.11,32966.6,11446.16]}",2026-06-15 08:35:59
73,restart_total,success,207,"{""sample"":[99145.92,38702.23,29268.94]}",2026-05-31 20:52:14
74,cpu_usage,success,145,"{""sample"":[31913.12,11246.51,71121.55]}",2026-05-27 12:12:46
75,cpu_usage,timeout,0,"{""sample"":[48067.95,90260.15,37501.87]}",2026-06-13 03:32:58
76,mem_working_set,success,227,"{""sample"":[41517.9,11709.54,26266.74]}",2026-06-03 07:08:07
77,cpu_usage,success,444,"{""sample"":[78880.4,32978.61,44127.53]}",2026-05-27 11:18:56
78,restart_total,success,208,"{""sample"":[91982.53,3696.1,95150.06]}",2026-06-22 15:09:42
79,net_latency,success,301,"{""sample"":[54845.1,96253.12,43142.23]}",2026-05-28 07:43:25
80,restart_total,no_data,0,"{""sample"":[83304.2,28689.29,87274.16]}",2026-05-29 17:28:15
81,cpu_usage,success,365,"{""sample"":[16160.85,21743.03,5603.38]}",2026-06-21 10:01:40
82,cpu_usage,success,403,"{""sample"":[63499.05,68383.54,74576.13]}",2026-06-02 03:05:12
83,restart_total,success,238,"{""sample"":[15965.31,94865.02,87257.54]}",2026-05-31 19:42:06
84,restart_total,success,215,"{""sample"":[3362.05,32182.3,33343.14]}",2026-06-23 00:42:55
85,restart_total,success,185,"{""sample"":[27028.79,97309.25,38282.59]}",2026-06-12 10:13:32
86,net_latency,success,277,"{""sample"":[21891.38,20515.41,53503.38]}",2026-05-26 06:23:23
87,net_latency,success,134,"{""sample"":[70923.13,92379.2,64279.38]}",2026-05-31 14:47:03
88,restart_total,success,285,"{""sample"":[84900.13,73492.54,73729.91]}",2026-06-21 17:28:07
89,mem_working_set,success,7,"{""sample"":[31391.85,88066.03,15379.65]}",2026-06-23 02:09:16
90,cpu_usage,success,53,"{""sample"":[62215.82,18739.55,63003.95]}",2026-05-28 09:15:33
91,mem_working_set,success,218,"{""sample"":[88372.85,81024.92,76733.39]}",2026-06-04 15:21:40
92,http_5xx,success,476,"{""sample"":[91544.33,45499.04,65145.43]}",2026-06-06 20:41:55
93,mem_working_set,success,234,"{""sample"":[81594.06,32392.4,60353.13]}",2026-06-21 07:26:15
94,http_5xx,success,377,"{""sample"":[8630.92,55746.6,11084.41]}",2026-06-12 05:31:18
95,net_latency,success,479,"{""sample"":[77271.33,75747.19,54157.33]}",2026-06-21 19:59:33
96,mem_working_set,success,417,"{""sample"":[93319.44,33438.77,53075.22]}",2026-06-12 18:27:31
97,cpu_usage,success,80,"{""sample"":[44949.74,49859.3,90698.43]}",2026-05-29 09:25:09
98,net_latency,timeout,0,"{""sample"":[66858.74,30156.46,39447.08]}",2026-06-08 15:45:43
99,mem_working_set,success,164,"{""sample"":[79999.98,48969.85,59074.2]}",2026-06-09 02:10:36
100,http_5xx,success,499,"{""sample"":[95985.69,45139.87,84033.99]}",2026-06-20 22:26:19
101,restart_total,success,426,"{""sample"":[16390.05,72443.08,38255.73]}",2026-06-06 16:46:52
102,restart_total,success,213,"{""sample"":[25860.76,77059.86,87689.97]}",2026-06-14 02:02:39
103,restart_total,success,53,"{""sample"":[16028.16,47003.83,57382.48]}",2026-06-19 17:45:09
104,restart_total,success,342,"{""sample"":[82976.3,83968.55,76652.86]}",2026-05-30 19:49:21
105,mem_working_set,timeout,0,"{""sample"":[17747.33,79594.21,21666.78]}",2026-06-05 17:57:42
106,restart_total,success,464,"{""sample"":[95000.82,4558.22,90107.65]}",2026-06-22 02:40:13
107,cpu_usage,success,418,"{""sample"":[22667.93,69651.6,20689.37]}",2026-06-18 09:38:57
108,http_5xx,success,246,"{""sample"":[5426.64,86724.66,6907.7]}",2026-06-22 04:11:54
109,restart_total,timeout,0,"{""sample"":[26470.98,76331.84,11029.19]}",2026-05-27 09:54:04
110,net_latency,success,84,"{""sample"":[47400.19,56425.78,93001.8]}",2026-06-04 03:18:44
111,mem_working_set,success,251,"{""sample"":[52209.82,73830.45,86217.26]}",2026-06-06 08:47:20
112,net_latency,success,66,"{""sample"":[53560.09,7061.17,67931.44]}",2026-05-27 05:39:10
113,cpu_usage,success,346,"{""sample"":[529.38,71879.89,51762.18]}",2026-06-21 06:19:09
114,http_5xx,success,269,"{""sample"":[32897.67,72867.93,54608.48]}",2026-06-22 12:58:12
115,http_5xx,success,142,"{""sample"":[96067.99,95477.58,30899.34]}",2026-05-31 00:39:32
116,net_latency,success,66,"{""sample"":[40414.58,8745.01,85662.64]}",2026-06-22 21:21:16
117,net_latency,success,342,"{""sample"":[56821.82,41135.15,65643.48]}",2026-05-28 19:18:20
118,net_latency,success,326,"{""sample"":[54075.79,509.15,23023.13]}",2026-06-21 02:56:55
119,restart_total,success,199,"{""sample"":[22821.27,72995.08,30194.67]}",2026-06-19 22:03:49
120,restart_total,success,483,"{""sample"":[27634.07,14877.58,55628.45]}",2026-05-24 16:08:04
121,http_5xx,success,459,"{""sample"":[85228.44,56388.37,32166.9]}",2026-06-04 22:38:02
122,http_5xx,success,453,"{""sample"":[29146.95,57413.79,77455.39]}",2026-06-22 18:34:40
123,net_latency,success,238,"{""sample"":[15147.71,97516.91,31942.19]}",2026-06-09 12:18:20
124,restart_total,success,451,"{""sample"":[61463.73,21930.27,62536.6]}",2026-05-26 18:07:20
125,net_latency,success,112,"{""sample"":[45885.81,60864.05,62516.33]}",2026-06-08 04:50:40
126,http_5xx,success,200,"{""sample"":[259.33,20968.93,98969.85]}",2026-05-27 16:59:52
127,cpu_usage,success,63,"{""sample"":[40431.39,66872.7,50359.91]}",2026-06-15 12:29:04
128,net_latency,success,111,"{""sample"":[69707.92,65072.61,53883.17]}",2026-06-10 04:43:01
129,mem_working_set,success,28,"{""sample"":[98190.26,42466.84,71435.54]}",2026-06-19 21:34:06
130,http_5xx,success,453,"{""sample"":[78488.15,34194.64,56032.19]}",2026-05-28 15:08:01
131,cpu_usage,success,292,"{""sample"":[93645.31,85615.5,28193.89]}",2026-06-02 14:43:48
132,http_5xx,success,206,"{""sample"":[97484.52,76161.99,42452.42]}",2026-06-06 23:44:02
133,cpu_usage,success,358,"{""sample"":[82470.17,25347.64,42301.9]}",2026-05-30 01:34:37
134,mem_working_set,success,414,"{""sample"":[94181.71,32526.53,57728.59]}",2026-06-13 04:18:40
135,mem_working_set,success,282,"{""sample"":[57034.75,27605.17,22416.62]}",2026-06-10 22:54:24
136,restart_total,success,122,"{""sample"":[81356.39,91308.97,34077.34]}",2026-06-05 01:49:56
137,net_latency,success,186,"{""sample"":[65689.04,60525.18,63407.08]}",2026-06-21 21:01:43
138,restart_total,success,35,"{""sample"":[84145.79,61593.78,97726.01]}",2026-06-16 20:58:25
139,cpu_usage,success,275,"{""sample"":[73832.25,16633.38,30606.25]}",2026-06-19 19:29:09
140,cpu_usage,success,107,"{""sample"":[39005.96,66148.38,8370.23]}",2026-06-09 16:11:16
141,restart_total,success,168,"{""sample"":[58078.25,58085.93,41364.66]}",2026-06-11 10:06:43
142,cpu_usage,success,341,"{""sample"":[53034.03,13841.49,31143.56]}",2026-05-31 10:54:09
143,http_5xx,success,56,"{""sample"":[36346.06,45405.89,10956.17]}",2026-06-20 08:38:24
144,restart_total,success,145,"{""sample"":[70604.93,34064.87,6407.1]}",2026-05-25 09:42:51
145,restart_total,success,136,"{""sample"":[71533.6,87181.87,47749.97]}",2026-05-31 16:41:27
146,http_5xx,success,179,"{""sample"":[57412.8,20553.79,86394.45]}",2026-06-10 11:28:34
147,mem_working_set,success,214,"{""sample"":[43871.29,16193.03,20827.75]}",2026-06-16 11:37:36
148,cpu_usage,success,27,"{""sample"":[55734.46,50991.01,99734.7]}",2026-06-13 06:45:11
149,net_latency,success,156,"{""sample"":[79207.98,45268.23,49039.57]}",2026-06-09 23:29:03
150,net_latency,success,313,"{""sample"":[4606.23,57742.47,4986.0]}",2026-06-12 19:15:42
151,net_latency,timeout,0,"{""sample"":[24731.45,79674.32,37913.48]}",2026-05-30 20:13:09
152,net_latency,success,284,"{""sample"":[23700.67,27619.73,50767.92]}",2026-05-26 15:32:21
153,restart_total,success,255,"{""sample"":[13394.85,52014.13,94361.79]}",2026-05-31 15:40:03
154,restart_total,success,334,"{""sample"":[22992.09,79781.37,84850.98]}",2026-06-21 00:35:01
155,http_5xx,success,74,"{""sample"":[49907.21,5316.7,41802.12]}",2026-06-18 16:27:53
156,mem_working_set,success,223,"{""sample"":[78338.64,52803.55,10461.39]}",2026-06-17 09:03:32
157,http_5xx,no_data,0,"{""sample"":[9918.9,77537.14,86889.32]}",2026-05-29 04:06:10
158,cpu_usage,success,104,"{""sample"":[5264.14,3097.68,72004.68]}",2026-06-09 10:06:07
159,net_latency,success,291,"{""sample"":[21219.17,22762.13,66599.67]}",2026-06-17 22:53:30
160,cpu_usage,success,428,"{""sample"":[35394.43,75169.53,91933.64]}",2026-05-26 19:49:43
161,http_5xx,success,28,"{""sample"":[99865.42,83488.32,88939.19]}",2026-06-12 23:55:33
162,http_5xx,success,457,"{""sample"":[90607.35,94706.83,34862.06]}",2026-05-27 06:07:20
163,cpu_usage,success,45,"{""sample"":[97744.56,3975.85,37020.23]}",2026-06-02 01:11:44
164,mem_working_set,success,403,"{""sample"":[10451.5,11556.79,76788.04]}",2026-06-03 15:21:50
165,http_5xx,success,163,"{""sample"":[96704.12,32889.73,42925.32]}",2026-05-25 21:55:26
166,http_5xx,success,152,"{""sample"":[49917.53,17279.01,30627.67]}",2026-06-13 06:38:10
167,http_5xx,success,371,"{""sample"":[51250.98,93464.44,37997.37]}",2026-06-20 18:52:31
168,cpu_usage,success,264,"{""sample"":[59267.63,44979.36,88298.97]}",2026-05-31 01:46:27
169,http_5xx,success,397,"{""sample"":[61661.71,78434.24,81229.99]}",2026-06-10 20:00:52
170,http_5xx,success,402,"{""sample"":[93557.34,39465.16,31638.47]}",2026-06-02 10:21:31
171,restart_total,success,467,"{""sample"":[54402.88,31605.88,42886.3]}",2026-05-24 12:58:14
172,restart_total,success,63,"{""sample"":[80606.59,31194.18,53034.46]}",2026-06-23 03:41:55
173,cpu_usage,timeout,0,"{""sample"":[2638.14,84244.11,40655.87]}",2026-06-08 12:19:54
174,http_5xx,success,136,"{""sample"":[27936.42,63979.99,26561.55]}",2026-06-11 15:07:42
175,mem_working_set,success,467,"{""sample"":[50188.8,70032.76,22554.54]}",2026-06-08 07:48:46
176,mem_working_set,success,162,"{""sample"":[90013.86,69787.69,81377.09]}",2026-06-09 00:25:01
177,http_5xx,success,188,"{""sample"":[23099.21,1299.79,50919.27]}",2026-05-25 07:30:48
178,http_5xx,success,111,"{""sample"":[76880.06,63394.93,93833.84]}",2026-05-28 01:12:07
179,http_5xx,success,161,"{""sample"":[5486.76,26492.57,71419.66]}",2026-05-27 03:55:29
180,net_latency,success,462,"{""sample"":[31949.27,8249.75,95594.2]}",2026-06-03 21:56:32
181,mem_working_set,success,174,"{""sample"":[67954.58,91216.95,74498.09]}",2026-06-04 18:20:28
182,cpu_usage,success,410,"{""sample"":[65142.27,92433.41,6708.19]}",2026-06-09 21:25:23
183,cpu_usage,success,304,"{""sample"":[25794.46,45249.39,52632.45]}",2026-05-28 12:26:17
184,mem_working_set,success,254,"{""sample"":[39935.22,16902.64,89334.04]}",2026-06-09 13:43:56
185,http_5xx,success,57,"{""sample"":[61556.09,9903.92,65749.57]}",2026-06-04 03:45:59
186,net_latency,success,198,"{""sample"":[88975.41,51211.68,95997.98]}",2026-05-31 18:39:26
187,mem_working_set,success,164,"{""sample"":[43893.86,7918.07,90422.83]}",2026-06-14 23:34:29
188,net_latency,success,480,"{""sample"":[87567.63,44347.07,44863.37]}",2026-06-02 17:05:21
189,mem_working_set,success,97,"{""sample"":[6682.08,39700.61,49416.73]}",2026-05-31 22:35:53
190,cpu_usage,success,294,"{""sample"":[46498.57,23238.96,46391.79]}",2026-06-12 16:16:43
191,mem_working_set,success,204,"{""sample"":[2116.82,36356.21,50045.38]}",2026-06-22 19:48:39
192,net_latency,success,290,"{""sample"":[87429.49,19278.2,47476.02]}",2026-05-31 10:21:18
193,mem_working_set,timeout,0,"{""sample"":[33621.91,31065.55,56180.25]}",2026-06-20 08:13:40
194,mem_working_set,success,394,"{""sample"":[53533.54,18651.58,2107.17]}",2026-05-24 14:46:59
195,restart_total,success,395,"{""sample"":[6548.38,12208.78,59179.46]}",2026-06-17 05:03:30
196,mem_working_set,success,390,"{""sample"":[67942.81,10023.71,92901.33]}",2026-05-29 12:08:47
197,net_latency,success,309,"{""sample"":[26268.21,33019.3,5780.5]}",2026-06-15 17:09:48
198,restart_total,success,383,"{""sample"":[44128.84,99245.89,91745.76]}",2026-06-15 02:35:57
199,restart_total,no_data,0,"{""sample"":[49743.9,21302.2,41501.74]}",2026-05-27 15:16:29
200,mem_working_set,success,114,"{""sample"":[59983.83,66618.44,49464.24]}",2026-06-01 11:48:16
201,cpu_usage,success,147,"{""sample"":[56207.42,1190.67,81263.75]}",2026-05-29 21:45:00
202,restart_total,success,395,"{""sample"":[5066.73,29049.94,70376.45]}",2026-05-26 08:58:46
203,http_5xx,success,69,"{""sample"":[95666.46,96230.29,25195.84]}",2026-06-15 06:34:57
204,mem_working_set,success,124,"{""sample"":[16917.91,90425.93,45451.06]}",2026-06-01 16:27:36
205,mem_working_set,success,43,"{""sample"":[21234.09,87444.92,78966.43]}",2026-06-08 01:46:29
206,restart_total,success,18,"{""sample"":[78004.04,93124.77,12237.54]}",2026-06-08 03:02:16
207,http_5xx,success,269,"{""sample"":[10110.83,63732.58,11743.81]}",2026-06-05 05:42:22
208,mem_working_set,success,295,"{""sample"":[86975.89,74550.63,40420.11]}",2026-06-11 12:26:13
209,restart_total,success,23,"{""sample"":[93814.79,32201.6,60945.71]}",2026-06-22 05:12:05
210,cpu_usage,success,194,"{""sample"":[32408.6,42244.3,84510.69]}",2026-06-03 01:53:46
211,restart_total,success,326,"{""sample"":[90968.6,63945.58,55752.27]}",2026-06-06 17:12:06
212,net_latency,success,341,"{""sample"":[64612.52,57336.03,64733.16]}",2026-06-11 18:01:36
213,net_latency,success,257,"{""sample"":[72224.11,75300.95,79407.23]}",2026-06-12 18:21:11
214,net_latency,success,417,"{""sample"":[8316.23,98796.2,42709.13]}",2026-06-18 00:20:34
215,cpu_usage,success,150,"{""sample"":[30181.75,15389.58,69884.83]}",2026-05-27 08:54:05
216,cpu_usage,success,141,"{""sample"":[31139.65,57695.86,14278.14]}",2026-06-14 23:07:43
217,restart_total,success,305,"{""sample"":[78078.73,11864.36,80813.41]}",2026-06-03 08:56:30
218,net_latency,success,80,"{""sample"":[29748.42,12518.46,720.85]}",2026-05-26 15:37:52
219,cpu_usage,success,455,"{""sample"":[58675.49,8843.12,58499.95]}",2026-06-23 04:41:30
220,mem_working_set,success,395,"{""sample"":[79981.71,95736.61,45012.53]}",2026-06-01 14:03:56
221,http_5xx,timeout,0,"{""sample"":[61974.46,26800.68,18068.75]}",2026-06-16 18:51:03
222,mem_working_set,success,110,"{""sample"":[51600.65,29240.52,83746.24]}",2026-06-20 22:51:40
223,restart_total,no_data,0,"{""sample"":[82835.47,23651.51,38293.02]}",2026-06-01 04:59:34
224,restart_total,timeout,0,"{""sample"":[4910.76,80431.14,86315.0]}",2026-06-16 04:04:10
225,cpu_usage,no_data,0,"{""sample"":[55698.31,20398.11,14044.18]}",2026-06-10 06:43:12
226,restart_total,success,207,"{""sample"":[62804.72,1578.05,75797.2]}",2026-06-09 01:26:04
227,http_5xx,success,79,"{""sample"":[16208.17,6811.97,44182.81]}",2026-06-21 12:41:58
228,restart_total,success,379,"{""sample"":[61552.11,87552.73,13864.6]}",2026-06-06 15:54:30
229,mem_working_set,success,332,"{""sample"":[3797.65,70528.42,3958.4]}",2026-05-29 22:40:39
230,mem_working_set,success,276,"{""sample"":[50428.6,9584.69,51210.87]}",2026-06-05 13:27:09
231,restart_total,success,136,"{""sample"":[51788.77,33977.49,30995.29]}",2026-06-22 12:00:50
232,net_latency,success,243,"{""sample"":[28170.11,50629.58,18325.09]}",2026-06-07 00:19:40
233,http_5xx,success,405,"{""sample"":[80209.54,65994.29,83804.87]}",2026-06-06 13:27:39
234,cpu_usage,success,327,"{""sample"":[53362.97,1127.53,60249.23]}",2026-06-14 15:54:31
235,cpu_usage,success,244,"{""sample"":[51894.5,19577.64,11244.8]}",2026-06-02 11:11:26
236,cpu_usage,success,474,"{""sample"":[20211.03,17293.3,33712.88]}",2026-06-10 11:21:01
237,restart_total,success,367,"{""sample"":[58938.13,55629.17,91960.57]}",2026-06-21 05:00:22
238,mem_working_set,success,497,"{""sample"":[5383.88,96321.08,81733.48]}",2026-06-10 22:00:18
239,mem_working_set,success,275,"{""sample"":[74003.29,51819.44,9912.73]}",2026-06-16 21:56:17
240,mem_working_set,success,149,"{""sample"":[37057.47,78347.03,91739.1]}",2026-06-14 18:02:47
241,cpu_usage,success,309,"{""sample"":[62675.37,46652.98,80734.97]}",2026-06-02 19:13:28
242,mem_working_set,success,39,"{""sample"":[56712.44,72973.07,45201.58]}",2026-06-13 06:28:52
243,restart_total,success,67,"{""sample"":[29402.66,73625.55,47572.99]}",2026-06-17 02:00:24
244,http_5xx,success,447,"{""sample"":[33497.51,7862.15,51343.86]}",2026-06-18 03:40:01
245,restart_total,success,274,"{""sample"":[8918.46,66378.78,13254.37]}",2026-06-06 11:54:16
246,restart_total,success,84,"{""sample"":[91210.97,76820.46,45520.69]}",2026-06-04 10:08:59
247,net_latency,success,292,"{""sample"":[49863.08,9990.36,79269.07]}",2026-05-31 12:37:43
248,restart_total,success,340,"{""sample"":[87377.04,65454.44,87931.77]}",2026-06-02 18:09:45
249,cpu_usage,success,435,"{""sample"":[95214.43,91270.6,40609.15]}",2026-05-27 23:20:26
250,net_latency,success,280,"{""sample"":[68999.14,26263.3,20944.68]}",2026-06-07 13:44:13
251,cpu_usage,success,364,"{""sample"":[65049.76,79199.72,20691.63]}",2026-06-02 03:07:16
252,mem_working_set,success,416,"{""sample"":[64823.93,35592.35,49254.75]}",2026-06-11 06:09:24
253,mem_working_set,success,442,"{""sample"":[47324.91,17935.79,26631.11]}",2026-06-21 23:58:25
254,cpu_usage,success,176,"{""sample"":[34770.92,85510.97,13632.88]}",2026-05-30 07:49:34
255,restart_total,success,473,"{""sample"":[97295.98,74576.46,62225.7]}",2026-06-07 10:14:20
256,restart_total,error,0,"{""sample"":[52034.76,72126.74,35235.55]}",2026-06-05 06:34:19
257,mem_working_set,success,376,"{""sample"":[17920.04,31441.05,63030.07]}",2026-06-11 14:42:37
258,mem_working_set,success,34,"{""sample"":[4985.08,54715.14,77103.79]}",2026-06-22 14:45:53
259,mem_working_set,success,407,"{""sample"":[62577.88,34161.94,62876.48]}",2026-06-04 05:25:51
260,cpu_usage,success,228,"{""sample"":[78339.19,38210.61,70994.94]}",2026-06-04 15:49:17
261,http_5xx,success,63,"{""sample"":[4136.86,26977.62,51075.25]}",2026-05-27 23:31:12
262,http_5xx,timeout,0,"{""sample"":[58581.02,53329.72,61753.59]}",2026-06-22 15:41:54
263,http_5xx,success,446,"{""sample"":[67071.32,1858.82,5934.1]}",2026-06-22 04:03:50
264,cpu_usage,error,0,"{""sample"":[24278.49,44174.29,17376.99]}",2026-05-31 00:52:45
265,net_latency,success,104,"{""sample"":[5954.1,62726.15,72239.78]}",2026-05-26 13:55:13
266,net_latency,success,132,"{""sample"":[97661.21,81619.9,2406.0]}",2026-06-11 16:05:32
267,restart_total,success,422,"{""sample"":[1391.3,83413.01,16206.65]}",2026-06-10 07:49:28
268,net_latency,success,92,"{""sample"":[72077.42,12122.74,77648.06]}",2026-05-27 19:42:45
269,mem_working_set,success,330,"{""sample"":[11533.93,43187.11,19735.86]}",2026-06-11 15:50:25
270,restart_total,error,0,"{""sample"":[30584.75,57702.98,27449.42]}",2026-06-06 16:23:56
271,mem_working_set,success,297,"{""sample"":[40957.97,22248.04,59561.25]}",2026-06-15 03:38:59
272,cpu_usage,no_data,0,"{""sample"":[37797.74,23876.28,74018.09]}",2026-05-26 14:53:47
273,restart_total,success,473,"{""sample"":[76990.07,3217.57,91905.69]}",2026-06-19 11:38:15
274,net_latency,success,73,"{""sample"":[46191.57,32998.53,68685.72]}",2026-06-03 13:45:28
275,cpu_usage,success,450,"{""sample"":[84918.91,31652.39,23747.15]}",2026-05-29 21:43:43
276,restart_total,error,0,"{""sample"":[20380.65,38973.99,74227.29]}",2026-06-05 06:40:21
277,cpu_usage,success,464,"{""sample"":[8490.05,95335.44,29013.1]}",2026-05-29 11:28:14
278,http_5xx,success,402,"{""sample"":[58803.74,5008.74,80020.43]}",2026-06-06 08:09:31
