id,agent_name,agent_type,status,cluster_name,last_heartbeat,metadata,created_at,updated_at
11,worker-prod-use2-eks-01,worker,active,prod-use2-eks,2026-06-23 11:58:58,"{""version"":""1.4.2"",""queue_depth"":40,""load"":0.88}",2026-06-09 00:47:43,2026-06-23 12:00:00
12,worker-dr-use1-eks-04,worker,idle,dr-use1-eks,2026-06-23 11:52:51,"{""version"":""1.4.2"",""queue_depth"":33,""load"":0.59}",2026-06-04 05:59:20,2026-06-23 12:00:00
13,worker-dr-use1-eks-01,worker,active,dr-use1-eks,2026-06-23 11:59:56,"{""version"":""1.4.2"",""queue_depth"":10,""load"":0.46}",2026-06-09 02:42:05,2026-06-23 12:00:00
14,cluster_manager-dr-use1-eks-00,cluster_manager,active,dr-use1-eks,2026-06-23 11:51:20,"{""version"":""1.4.2"",""queue_depth"":1,""load"":0.73}",2026-05-29 18:32:42,2026-06-23 12:00:00
15,worker-staging-use2-eks-04,worker,degraded,staging-use2-eks,2026-06-23 11:56:59,"{""version"":""1.4.2"",""queue_depth"":42,""load"":0.57}",2026-06-14 13:09:48,2026-06-23 12:00:00
16,cluster_manager-prod-usw2-eks-01,cluster_manager,active,prod-usw2-eks,2026-06-23 11:51:03,"{""version"":""1.4.2"",""queue_depth"":41,""load"":0.96}",2026-06-14 16:58:28,2026-06-23 12:00:00
17,cluster_manager-dr-use1-eks-01,cluster_manager,degraded,dr-use1-eks,2026-06-23 11:55:06,"{""version"":""1.4.2"",""queue_depth"":38,""load"":0.49}",2026-06-14 12:50:00,2026-06-23 12:00:00
18,cluster_manager-dr-use1-eks-01,cluster_manager,idle,dr-use1-eks,2026-06-23 11:52:53,"{""version"":""1.4.2"",""queue_depth"":13,""load"":0.08}",2026-06-06 05:44:35,2026-06-23 12:00:00
19,worker-prod-usw2-eks-02,worker,active,prod-usw2-eks,2026-06-23 11:56:24,"{""version"":""1.4.2"",""queue_depth"":47,""load"":0.94}",2026-05-26 21:35:21,2026-06-23 12:00:00
20,strategist-prod-usw2-eks-00,strategist,degraded,prod-usw2-eks,2026-06-23 11:57:29,"{""version"":""1.4.2"",""queue_depth"":7,""load"":0.79}",2026-05-31 17:28:12,2026-06-23 12:00:00
21,strategist-prod-use2-eks-00,strategist,active,prod-use2-eks,2026-06-23 11:52:51,"{""version"":""1.4.2"",""queue_depth"":29,""load"":0.43}",2026-05-26 16:29:08,2026-06-23 12:00:00
22,worker-staging-use2-eks-03,worker,degraded,staging-use2-eks,2026-06-23 11:52:48,"{""version"":""1.4.2"",""queue_depth"":34,""load"":0.5}",2026-05-29 03:27:58,2026-06-23 12:00:00
23,strategist-prod-use2-eks-00,strategist,active,prod-use2-eks,2026-06-23 11:55:20,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.13}",2026-06-08 09:52:03,2026-06-23 12:00:00
24,cluster_manager-prod-usw2-eks-01,cluster_manager,active,prod-usw2-eks,2026-06-23 11:51:00,"{""version"":""1.4.2"",""queue_depth"":40,""load"":0.38}",2026-06-08 16:07:35,2026-06-23 12:00:00
25,cluster_manager-staging-use2-eks-01,cluster_manager,active,staging-use2-eks,2026-06-23 11:57:13,"{""version"":""1.4.2"",""queue_depth"":21,""load"":0.25}",2026-06-11 14:23:12,2026-06-23 12:00:00
26,worker-dr-use1-eks-05,worker,active,dr-use1-eks,2026-06-23 11:55:54,"{""version"":""1.4.2"",""queue_depth"":21,""load"":0.63}",2026-05-25 21:58:51,2026-06-23 12:00:00
27,worker-prod-use2-eks-04,worker,active,prod-use2-eks,2026-06-23 11:50:02,"{""version"":""1.4.2"",""queue_depth"":21,""load"":0.06}",2026-06-02 13:58:07,2026-06-23 12:00:00
28,worker-prod-usw2-eks-04,worker,active,prod-usw2-eks,2026-06-23 11:59:48,"{""version"":""1.4.2"",""queue_depth"":1,""load"":0.96}",2026-06-07 02:25:53,2026-06-23 12:00:00
29,worker-prod-use2-eks-04,worker,idle,prod-use2-eks,2026-06-23 11:53:28,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.26}",2026-06-15 11:08:52,2026-06-23 12:00:00
30,strategist-prod-use2-eks-00,strategist,degraded,prod-use2-eks,2026-06-23 11:52:20,"{""version"":""1.4.2"",""queue_depth"":10,""load"":0.2}",2026-06-02 13:03:10,2026-06-23 12:00:00
31,worker-dr-use1-eks-00,worker,active,dr-use1-eks,2026-06-23 11:55:52,"{""version"":""1.4.2"",""queue_depth"":45,""load"":0.75}",2026-05-27 06:59:38,2026-06-23 12:00:00
32,cluster_manager-dr-use1-eks-01,cluster_manager,active,dr-use1-eks,2026-06-23 11:59:35,"{""version"":""1.4.2"",""queue_depth"":38,""load"":0.5}",2026-06-10 15:33:15,2026-06-23 12:00:00
33,worker-dr-use1-eks-01,worker,active,dr-use1-eks,2026-06-23 11:50:57,"{""version"":""1.4.2"",""queue_depth"":8,""load"":0.73}",2026-06-16 02:40:29,2026-06-23 12:00:00
34,strategist-prod-usw2-eks-00,strategist,active,prod-usw2-eks,2026-06-23 11:53:14,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.98}",2026-05-26 15:03:34,2026-06-23 12:00:00
35,worker-prod-usw2-eks-02,worker,active,prod-usw2-eks,2026-06-23 11:50:09,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.51}",2026-06-23 00:44:21,2026-06-23 12:00:00
36,cluster_manager-staging-use2-eks-01,cluster_manager,idle,staging-use2-eks,2026-06-23 11:54:18,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.41}",2026-06-18 10:20:34,2026-06-23 12:00:00
37,cluster_manager-staging-use2-eks-00,cluster_manager,active,staging-use2-eks,2026-06-23 11:50:40,"{""version"":""1.4.2"",""queue_depth"":29,""load"":0.02}",2026-05-25 04:40:56,2026-06-23 12:00:00
38,worker-prod-usw2-eks-00,worker,active,prod-usw2-eks,2026-06-23 11:59:29,"{""version"":""1.4.2"",""queue_depth"":43,""load"":0.54}",2026-06-07 18:47:06,2026-06-23 12:00:00
39,cluster_manager-staging-use2-eks-01,cluster_manager,active,staging-use2-eks,2026-06-23 11:52:12,"{""version"":""1.4.2"",""queue_depth"":34,""load"":0.75}",2026-05-28 03:47:56,2026-06-23 12:00:00
40,cluster_manager-prod-usw2-eks-01,cluster_manager,active,prod-usw2-eks,2026-06-23 11:51:03,"{""version"":""1.4.2"",""queue_depth"":46,""load"":0.39}",2026-06-04 23:38:41,2026-06-23 12:00:00
41,worker-prod-usw2-eks-02,worker,degraded,prod-usw2-eks,2026-06-23 11:53:11,"{""version"":""1.4.2"",""queue_depth"":21,""load"":0.72}",2026-06-18 21:08:59,2026-06-23 12:00:00
42,worker-dr-use1-eks-01,worker,active,dr-use1-eks,2026-06-23 11:58:41,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.29}",2026-06-05 04:56:56,2026-06-23 12:00:00
43,worker-prod-usw2-eks-00,worker,active,prod-usw2-eks,2026-06-23 11:56:27,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.06}",2026-06-22 06:12:31,2026-06-23 12:00:00
44,strategist-dr-use1-eks-00,strategist,degraded,dr-use1-eks,2026-06-23 11:56:32,"{""version"":""1.4.2"",""queue_depth"":11,""load"":0.88}",2026-06-07 22:47:00,2026-06-23 12:00:00
45,cluster_manager-prod-usw2-eks-01,cluster_manager,idle,prod-usw2-eks,2026-06-23 11:53:17,"{""version"":""1.4.2"",""queue_depth"":44,""load"":0.76}",2026-05-25 14:43:03,2026-06-23 12:00:00
46,cluster_manager-dr-use1-eks-01,cluster_manager,degraded,dr-use1-eks,2026-06-23 11:51:39,"{""version"":""1.4.2"",""queue_depth"":4,""load"":0.98}",2026-05-31 07:40:35,2026-06-23 12:00:00
47,worker-prod-use2-eks-01,worker,degraded,prod-use2-eks,2026-06-23 11:53:31,"{""version"":""1.4.2"",""queue_depth"":50,""load"":0.3}",2026-06-11 08:40:17,2026-06-23 12:00:00
48,worker-prod-use2-eks-01,worker,active,prod-use2-eks,2026-06-23 11:51:27,"{""version"":""1.4.2"",""queue_depth"":5,""load"":0.34}",2026-05-28 13:05:17,2026-06-23 12:00:00
49,cluster_manager-dr-use1-eks-00,cluster_manager,idle,dr-use1-eks,2026-06-23 11:57:30,"{""version"":""1.4.2"",""queue_depth"":16,""load"":0.85}",2026-06-14 02:02:39,2026-06-23 12:00:00
50,worker-staging-use2-eks-03,worker,active,staging-use2-eks,2026-06-23 11:58:50,"{""version"":""1.4.2"",""queue_depth"":0,""load"":0.51}",2026-06-02 13:31:24,2026-06-23 12:00:00
51,worker-prod-usw2-eks-05,worker,degraded,prod-usw2-eks,2026-06-23 11:51:16,"{""version"":""1.4.2"",""queue_depth"":50,""load"":0.79}",2026-06-04 18:29:20,2026-06-23 12:00:00
52,worker-dr-use1-eks-05,worker,active,dr-use1-eks,2026-06-23 11:58:45,"{""version"":""1.4.2"",""queue_depth"":36,""load"":0.01}",2026-06-10 00:20:19,2026-06-23 12:00:00
53,worker-dr-use1-eks-03,worker,active,dr-use1-eks,2026-06-23 11:55:24,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.83}",2026-06-16 12:01:13,2026-06-23 12:00:00
54,worker-staging-use2-eks-03,worker,active,staging-use2-eks,2026-06-23 11:50:33,"{""version"":""1.4.2"",""queue_depth"":12,""load"":0.41}",2026-06-06 20:29:50,2026-06-23 12:00:00
55,worker-dr-use1-eks-00,worker,active,dr-use1-eks,2026-06-23 11:54:23,"{""version"":""1.4.2"",""queue_depth"":8,""load"":0.45}",2026-06-08 19:57:44,2026-06-23 12:00:00
56,worker-dr-use1-eks-00,worker,active,dr-use1-eks,2026-06-23 11:50:40,"{""version"":""1.4.2"",""queue_depth"":11,""load"":0.2}",2026-05-24 22:55:02,2026-06-23 12:00:00
57,cluster_manager-prod-usw2-eks-00,cluster_manager,degraded,prod-usw2-eks,2026-06-23 11:58:39,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.12}",2026-05-31 19:42:01,2026-06-23 12:00:00
58,worker-staging-use2-eks-00,worker,idle,staging-use2-eks,2026-06-23 11:54:31,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.26}",2026-06-19 20:24:57,2026-06-23 12:00:00
59,worker-prod-usw2-eks-01,worker,idle,prod-usw2-eks,2026-06-23 11:50:03,"{""version"":""1.4.2"",""queue_depth"":49,""load"":0.44}",2026-05-25 04:26:31,2026-06-23 12:00:00
60,worker-prod-usw2-eks-02,worker,active,prod-usw2-eks,2026-06-23 11:52:41,"{""version"":""1.4.2"",""queue_depth"":4,""load"":0.88}",2026-06-14 02:17:39,2026-06-23 12:00:00
61,worker-prod-use2-eks-02,worker,idle,prod-use2-eks,2026-06-23 11:52:59,"{""version"":""1.4.2"",""queue_depth"":12,""load"":0.73}",2026-06-21 17:17:48,2026-06-23 12:00:00
62,worker-prod-use2-eks-04,worker,degraded,prod-use2-eks,2026-06-23 11:51:44,"{""version"":""1.4.2"",""queue_depth"":27,""load"":0.02}",2026-06-11 07:09:20,2026-06-23 12:00:00
63,worker-prod-use2-eks-04,worker,degraded,prod-use2-eks,2026-06-23 11:55:31,"{""version"":""1.4.2"",""queue_depth"":13,""load"":0.35}",2026-05-27 06:23:00,2026-06-23 12:00:00
64,worker-dr-use1-eks-04,worker,idle,dr-use1-eks,2026-06-23 11:55:47,"{""version"":""1.4.2"",""queue_depth"":23,""load"":0.31}",2026-06-05 23:39:30,2026-06-23 12:00:00
65,strategist-staging-use2-eks-00,strategist,idle,staging-use2-eks,2026-06-23 11:53:49,"{""version"":""1.4.2"",""queue_depth"":44,""load"":0.05}",2026-05-28 15:00:05,2026-06-23 12:00:00
66,cluster_manager-prod-usw2-eks-01,cluster_manager,idle,prod-usw2-eks,2026-06-23 11:53:25,"{""version"":""1.4.2"",""queue_depth"":11,""load"":0.91}",2026-06-18 21:02:32,2026-06-23 12:00:00
67,cluster_manager-staging-use2-eks-00,cluster_manager,active,staging-use2-eks,2026-06-23 11:52:54,"{""version"":""1.4.2"",""queue_depth"":1,""load"":0.94}",2026-05-29 09:36:43,2026-06-23 12:00:00
68,strategist-prod-use2-eks-00,strategist,active,prod-use2-eks,2026-06-23 11:51:46,"{""version"":""1.4.2"",""queue_depth"":12,""load"":0.35}",2026-06-04 06:16:34,2026-06-23 12:00:00
69,strategist-staging-use2-eks-00,strategist,active,staging-use2-eks,2026-06-23 11:52:54,"{""version"":""1.4.2"",""queue_depth"":32,""load"":0.59}",2026-06-17 20:57:21,2026-06-23 12:00:00
70,worker-dr-use1-eks-00,worker,active,dr-use1-eks,2026-06-23 11:57:56,"{""version"":""1.4.2"",""queue_depth"":47,""load"":0.95}",2026-06-22 05:26:08,2026-06-23 12:00:00
71,worker-dr-use1-eks-04,worker,idle,dr-use1-eks,2026-06-23 11:54:31,"{""version"":""1.4.2"",""queue_depth"":50,""load"":0.17}",2026-06-15 19:46:49,2026-06-23 12:00:00
72,worker-dr-use1-eks-05,worker,degraded,dr-use1-eks,2026-06-23 11:50:05,"{""version"":""1.4.2"",""queue_depth"":17,""load"":0.12}",2026-06-19 16:33:28,2026-06-23 12:00:00
73,worker-prod-usw2-eks-01,worker,active,prod-usw2-eks,2026-06-23 11:50:50,"{""version"":""1.4.2"",""queue_depth"":25,""load"":0.99}",2026-06-03 13:22:03,2026-06-23 12:00:00
74,worker-dr-use1-eks-01,worker,idle,dr-use1-eks,2026-06-23 11:50:15,"{""version"":""1.4.2"",""queue_depth"":16,""load"":0.81}",2026-06-04 05:15:02,2026-06-23 12:00:00
75,worker-staging-use2-eks-00,worker,idle,staging-use2-eks,2026-06-23 11:50:56,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.44}",2026-06-22 14:00:46,2026-06-23 12:00:00
76,worker-prod-use2-eks-03,worker,active,prod-use2-eks,2026-06-23 11:56:05,"{""version"":""1.4.2"",""queue_depth"":31,""load"":0.35}",2026-05-28 12:08:35,2026-06-23 12:00:00
77,worker-prod-use2-eks-02,worker,degraded,prod-use2-eks,2026-06-23 11:55:18,"{""version"":""1.4.2"",""queue_depth"":43,""load"":0.65}",2026-05-27 20:36:28,2026-06-23 12:00:00
78,cluster_manager-staging-use2-eks-01,cluster_manager,degraded,staging-use2-eks,2026-06-23 11:52:34,"{""version"":""1.4.2"",""queue_depth"":11,""load"":0.57}",2026-06-01 12:33:58,2026-06-23 12:00:00
79,worker-staging-use2-eks-00,worker,active,staging-use2-eks,2026-06-23 11:56:18,"{""version"":""1.4.2"",""queue_depth"":1,""load"":0.04}",2026-05-30 15:46:04,2026-06-23 12:00:00
80,worker-prod-usw2-eks-01,worker,active,prod-usw2-eks,2026-06-23 11:55:58,"{""version"":""1.4.2"",""queue_depth"":30,""load"":0.52}",2026-06-19 20:09:48,2026-06-23 12:00:00
81,worker-staging-use2-eks-04,worker,degraded,staging-use2-eks,2026-06-23 11:56:37,"{""version"":""1.4.2"",""queue_depth"":44,""load"":0.57}",2026-06-07 15:58:09,2026-06-23 12:00:00
82,worker-dr-use1-eks-02,worker,active,dr-use1-eks,2026-06-23 11:59:20,"{""version"":""1.4.2"",""queue_depth"":49,""load"":0.98}",2026-05-30 07:58:42,2026-06-23 12:00:00
83,worker-prod-use2-eks-05,worker,active,prod-use2-eks,2026-06-23 11:57:02,"{""version"":""1.4.2"",""queue_depth"":5,""load"":0.17}",2026-06-18 13:39:21,2026-06-23 12:00:00
84,worker-prod-usw2-eks-05,worker,active,prod-usw2-eks,2026-06-23 11:52:04,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.92}",2026-06-10 00:22:30,2026-06-23 12:00:00
85,cluster_manager-prod-use2-eks-00,cluster_manager,degraded,prod-use2-eks,2026-06-23 11:52:08,"{""version"":""1.4.2"",""queue_depth"":7,""load"":0.08}",2026-05-26 06:21:45,2026-06-23 12:00:00
86,worker-staging-use2-eks-00,worker,degraded,staging-use2-eks,2026-06-23 11:51:09,"{""version"":""1.4.2"",""queue_depth"":34,""load"":0.24}",2026-06-20 14:09:00,2026-06-23 12:00:00
87,worker-dr-use1-eks-05,worker,active,dr-use1-eks,2026-06-23 11:51:27,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.74}",2026-06-13 02:50:58,2026-06-23 12:00:00
88,worker-prod-usw2-eks-03,worker,idle,prod-usw2-eks,2026-06-23 11:50:33,"{""version"":""1.4.2"",""queue_depth"":46,""load"":0.76}",2026-06-05 10:29:02,2026-06-23 12:00:00
89,worker-dr-use1-eks-03,worker,degraded,dr-use1-eks,2026-06-23 11:58:17,"{""version"":""1.4.2"",""queue_depth"":44,""load"":0.61}",2026-06-01 07:59:47,2026-06-23 12:00:00
90,worker-dr-use1-eks-05,worker,degraded,dr-use1-eks,2026-06-23 11:54:44,"{""version"":""1.4.2"",""queue_depth"":27,""load"":0.16}",2026-06-21 05:58:30,2026-06-23 12:00:00
91,cluster_manager-staging-use2-eks-01,cluster_manager,degraded,staging-use2-eks,2026-06-23 11:56:59,"{""version"":""1.4.2"",""queue_depth"":21,""load"":0.8}",2026-06-20 16:14:45,2026-06-23 12:00:00
92,cluster_manager-prod-use2-eks-00,cluster_manager,degraded,prod-use2-eks,2026-06-23 11:52:47,"{""version"":""1.4.2"",""queue_depth"":40,""load"":0.01}",2026-06-18 08:11:23,2026-06-23 12:00:00
93,worker-staging-use2-eks-05,worker,degraded,staging-use2-eks,2026-06-23 11:55:02,"{""version"":""1.4.2"",""queue_depth"":43,""load"":0.03}",2026-05-31 15:51:41,2026-06-23 12:00:00
94,cluster_manager-staging-use2-eks-01,cluster_manager,active,staging-use2-eks,2026-06-23 11:56:16,"{""version"":""1.4.2"",""queue_depth"":24,""load"":0.74}",2026-06-15 01:46:18,2026-06-23 12:00:00
95,worker-dr-use1-eks-01,worker,active,dr-use1-eks,2026-06-23 11:52:49,"{""version"":""1.4.2"",""queue_depth"":25,""load"":0.31}",2026-06-12 13:02:50,2026-06-23 12:00:00
96,worker-prod-use2-eks-00,worker,active,prod-use2-eks,2026-06-23 11:53:15,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.52}",2026-06-09 18:19:01,2026-06-23 12:00:00
97,worker-staging-use2-eks-00,worker,idle,staging-use2-eks,2026-06-23 11:53:43,"{""version"":""1.4.2"",""queue_depth"":0,""load"":0.29}",2026-06-16 10:16:15,2026-06-23 12:00:00
98,strategist-staging-use2-eks-00,strategist,active,staging-use2-eks,2026-06-23 11:56:40,"{""version"":""1.4.2"",""queue_depth"":34,""load"":0.35}",2026-06-02 23:22:59,2026-06-23 12:00:00
99,cluster_manager-prod-use2-eks-01,cluster_manager,active,prod-use2-eks,2026-06-23 11:58:56,"{""version"":""1.4.2"",""queue_depth"":26,""load"":0.65}",2026-05-28 00:02:13,2026-06-23 12:00:00
100,worker-dr-use1-eks-02,worker,degraded,dr-use1-eks,2026-06-23 11:51:20,"{""version"":""1.4.2"",""queue_depth"":46,""load"":0.31}",2026-06-05 07:08:39,2026-06-23 12:00:00
101,worker-staging-use2-eks-00,worker,active,staging-use2-eks,2026-06-23 11:53:18,"{""version"":""1.4.2"",""queue_depth"":39,""load"":0.32}",2026-05-31 02:55:46,2026-06-23 12:00:00
102,worker-dr-use1-eks-05,worker,degraded,dr-use1-eks,2026-06-23 11:52:19,"{""version"":""1.4.2"",""queue_depth"":6,""load"":0.65}",2026-06-04 20:20:02,2026-06-23 12:00:00
103,worker-prod-use2-eks-05,worker,idle,prod-use2-eks,2026-06-23 11:59:13,"{""version"":""1.4.2"",""queue_depth"":50,""load"":0.44}",2026-06-15 22:49:36,2026-06-23 12:00:00
104,worker-staging-use2-eks-03,worker,degraded,staging-use2-eks,2026-06-23 11:51:53,"{""version"":""1.4.2"",""queue_depth"":49,""load"":0.64}",2026-06-04 22:07:27,2026-06-23 12:00:00
105,worker-prod-use2-eks-01,worker,idle,prod-use2-eks,2026-06-23 11:50:23,"{""version"":""1.4.2"",""queue_depth"":12,""load"":0.76}",2026-05-26 04:33:21,2026-06-23 12:00:00
106,cluster_manager-staging-use2-eks-00,cluster_manager,active,staging-use2-eks,2026-06-23 11:55:27,"{""version"":""1.4.2"",""queue_depth"":20,""load"":0.94}",2026-05-27 06:03:27,2026-06-23 12:00:00
107,worker-staging-use2-eks-02,worker,active,staging-use2-eks,2026-06-23 11:54:12,"{""version"":""1.4.2"",""queue_depth"":26,""load"":0.21}",2026-06-13 00:43:24,2026-06-23 12:00:00
108,worker-dr-use1-eks-02,worker,active,dr-use1-eks,2026-06-23 11:54:59,"{""version"":""1.4.2"",""queue_depth"":46,""load"":0.37}",2026-06-06 15:51:49,2026-06-23 12:00:00
109,cluster_manager-prod-use2-eks-00,cluster_manager,idle,prod-use2-eks,2026-06-23 11:55:41,"{""version"":""1.4.2"",""queue_depth"":22,""load"":0.73}",2026-05-27 05:25:50,2026-06-23 12:00:00
110,worker-prod-use2-eks-02,worker,active,prod-use2-eks,2026-06-23 11:52:28,"{""version"":""1.4.2"",""queue_depth"":14,""load"":0.75}",2026-06-01 04:50:17,2026-06-23 12:00:00
111,worker-prod-usw2-eks-01,worker,active,prod-usw2-eks,2026-06-23 11:51:26,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.21}",2026-06-18 01:34:41,2026-06-23 12:00:00
112,worker-prod-usw2-eks-02,worker,degraded,prod-usw2-eks,2026-06-23 11:54:41,"{""version"":""1.4.2"",""queue_depth"":28,""load"":0.41}",2026-06-22 01:00:52,2026-06-23 12:00:00
113,worker-prod-usw2-eks-03,worker,active,prod-usw2-eks,2026-06-23 11:50:31,"{""version"":""1.4.2"",""queue_depth"":31,""load"":0.82}",2026-05-26 01:35:36,2026-06-23 12:00:00
114,strategist-prod-usw2-eks-00,strategist,idle,prod-usw2-eks,2026-06-23 11:59:18,"{""version"":""1.4.2"",""queue_depth"":6,""load"":0.16}",2026-06-10 14:32:56,2026-06-23 12:00:00
115,worker-prod-usw2-eks-04,worker,degraded,prod-usw2-eks,2026-06-23 11:53:32,"{""version"":""1.4.2"",""queue_depth"":27,""load"":1.0}",2026-06-12 11:53:04,2026-06-23 12:00:00
116,worker-dr-use1-eks-05,worker,degraded,dr-use1-eks,2026-06-23 11:55:34,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.53}",2026-06-04 09:17:58,2026-06-23 12:00:00
117,worker-prod-use2-eks-03,worker,active,prod-use2-eks,2026-06-23 11:50:01,"{""version"":""1.4.2"",""queue_depth"":7,""load"":0.68}",2026-06-05 05:30:29,2026-06-23 12:00:00
118,worker-prod-usw2-eks-05,worker,idle,prod-usw2-eks,2026-06-23 11:57:14,"{""version"":""1.4.2"",""queue_depth"":48,""load"":0.7}",2026-05-30 22:26:03,2026-06-23 12:00:00
119,worker-dr-use1-eks-04,worker,idle,dr-use1-eks,2026-06-23 11:51:56,"{""version"":""1.4.2"",""queue_depth"":49,""load"":0.69}",2026-05-28 04:52:49,2026-06-23 12:00:00
120,strategist-dr-use1-eks-00,strategist,active,dr-use1-eks,2026-06-23 11:57:54,"{""version"":""1.4.2"",""queue_depth"":31,""load"":0.32}",2026-06-10 04:47:55,2026-06-23 12:00:00
121,worker-prod-use2-eks-01,worker,degraded,prod-use2-eks,2026-06-23 11:52:30,"{""version"":""1.4.2"",""queue_depth"":42,""load"":0.8}",2026-06-13 19:28:33,2026-06-23 12:00:00
122,worker-dr-use1-eks-03,worker,idle,dr-use1-eks,2026-06-23 11:59:02,"{""version"":""1.4.2"",""queue_depth"":23,""load"":0.64}",2026-06-05 07:07:08,2026-06-23 12:00:00
123,worker-prod-use2-eks-05,worker,active,prod-use2-eks,2026-06-23 11:54:25,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.35}",2026-05-25 22:34:19,2026-06-23 12:00:00
124,worker-prod-usw2-eks-01,worker,degraded,prod-usw2-eks,2026-06-23 11:50:15,"{""version"":""1.4.2"",""queue_depth"":48,""load"":0.43}",2026-06-18 19:50:55,2026-06-23 12:00:00
125,worker-prod-usw2-eks-01,worker,active,prod-usw2-eks,2026-06-23 11:52:09,"{""version"":""1.4.2"",""queue_depth"":19,""load"":0.26}",2026-06-09 09:48:36,2026-06-23 12:00:00
126,cluster_manager-dr-use1-eks-00,cluster_manager,active,dr-use1-eks,2026-06-23 11:55:27,"{""version"":""1.4.2"",""queue_depth"":49,""load"":0.61}",2026-06-02 05:04:36,2026-06-23 12:00:00
127,strategist-dr-use1-eks-00,strategist,active,dr-use1-eks,2026-06-23 11:55:45,"{""version"":""1.4.2"",""queue_depth"":29,""load"":0.69}",2026-06-19 07:32:56,2026-06-23 12:00:00
128,cluster_manager-prod-usw2-eks-00,cluster_manager,idle,prod-usw2-eks,2026-06-23 11:55:57,"{""version"":""1.4.2"",""queue_depth"":6,""load"":0.04}",2026-06-19 20:52:30,2026-06-23 12:00:00
129,cluster_manager-staging-use2-eks-00,cluster_manager,idle,staging-use2-eks,2026-06-23 11:57:27,"{""version"":""1.4.2"",""queue_depth"":27,""load"":0.94}",2026-06-22 08:38:01,2026-06-23 12:00:00
130,worker-prod-use2-eks-05,worker,idle,prod-use2-eks,2026-06-23 11:51:37,"{""version"":""1.4.2"",""queue_depth"":29,""load"":0.43}",2026-06-07 04:51:55,2026-06-23 12:00:00
131,worker-prod-usw2-eks-01,worker,degraded,prod-usw2-eks,2026-06-23 11:50:27,"{""version"":""1.4.2"",""queue_depth"":17,""load"":0.62}",2026-06-03 08:59:55,2026-06-23 12:00:00
132,worker-staging-use2-eks-04,worker,idle,staging-use2-eks,2026-06-23 11:58:14,"{""version"":""1.4.2"",""queue_depth"":27,""load"":0.5}",2026-06-19 10:41:07,2026-06-23 12:00:00
